index,id,emotion,stimulus_set,intensity,word_count,n_tokens
0,A-admiration-01,admiration,A_standard,high,93,105
1,A-admiration-02,admiration,A_standard,high,126,135
2,A-admiration-03,admiration,A_standard,high,96,101
3,A-admiration-04,admiration,A_standard,high,124,141
4,A-admiration-05,admiration,A_standard,high,81,88
5,A-admiration-06,admiration,A_standard,high,111,124
6,A-admiration-07,admiration,A_standard,high,74,78
7,A-admiration-08,admiration,A_standard,high,86,103
8,A-admiration-09,admiration,A_standard,high,110,118
9,A-admiration-10,admiration,A_standard,high,71,75
10,A-amazement-01,amazement,A_standard,high,91,104
11,A-amazement-02,amazement,A_standard,high,61,70
12,A-amazement-03,amazement,A_standard,high,71,79
13,A-amazement-04,amazement,A_standard,high,69,80
14,A-amazement-05,amazement,A_standard,high,79,89
15,A-amazement-06,amazement,A_standard,high,62,70
16,A-amazement-07,amazement,A_standard,high,95,101
17,A-amazement-08,amazement,A_standard,high,131,151
18,A-amazement-09,amazement,A_standard,high,71,73
19,A-amazement-10,amazement,A_standard,high,87,95
20,A-ecstasy-01,ecstasy,A_standard,high,71,80
21,A-ecstasy-02,ecstasy,A_standard,high,81,95
22,A-ecstasy-03,ecstasy,A_standard,high,84,106
23,A-ecstasy-04,ecstasy,A_standard,high,99,112
24,A-ecstasy-05,ecstasy,A_standard,high,93,103
25,A-ecstasy-06,ecstasy,A_standard,high,74,81
26,A-ecstasy-07,ecstasy,A_standard,high,98,113
27,A-ecstasy-08,ecstasy,A_standard,high,156,172
28,A-ecstasy-09,ecstasy,A_standard,high,70,99
29,A-ecstasy-10,ecstasy,A_standard,high,69,77
30,A-grief-01,grief,A_standard,high,120,145
31,A-grief-02,grief,A_standard,high,68,76
32,A-grief-03,grief,A_standard,high,88,100
33,A-grief-04,grief,A_standard,high,165,196
34,A-grief-05,grief,A_standard,high,166,202
35,A-grief-06,grief,A_standard,high,69,75
36,A-grief-07,grief,A_standard,high,109,118
37,A-grief-08,grief,A_standard,high,68,73
38,A-grief-09,grief,A_standard,high,93,108
39,A-grief-10,grief,A_standard,high,91,105
40,A-loathing-01,loathing,A_standard,high,127,151
41,A-loathing-02,loathing,A_standard,high,85,96
42,A-loathing-03,loathing,A_standard,high,57,63
43,A-loathing-04,loathing,A_standard,high,102,109
44,A-loathing-05,loathing,A_standard,high,156,169
45,A-loathing-06,loathing,A_standard,high,60,73
46,A-loathing-07,loathing,A_standard,high,113,123
47,A-loathing-08,loathing,A_standard,high,61,76
48,A-loathing-09,loathing,A_standard,high,61,69
49,A-loathing-10,loathing,A_standard,high,118,143
50,A-neutral-01,neutral,A_standard,none,52,59
51,A-neutral-02,neutral,A_standard,none,46,54
52,A-neutral-03,neutral,A_standard,none,57,61
53,A-neutral-04,neutral,A_standard,none,55,65
54,A-neutral-05,neutral,A_standard,none,70,90
55,A-neutral-06,neutral,A_standard,none,54,60
56,A-neutral-07,neutral,A_standard,none,53,58
57,A-neutral-08,neutral,A_standard,none,49,59
58,A-neutral-09,neutral,A_standard,none,48,54
59,A-neutral-10,neutral,A_standard,none,61,72
60,A-rage-01,rage,A_standard,high,131,141
61,A-rage-02,rage,A_standard,high,422,470
62,A-rage-03,rage,A_standard,high,93,104
63,A-rage-04,rage,A_standard,high,99,109
64,A-rage-05,rage,A_standard,high,70,80
65,A-rage-06,rage,A_standard,high,164,177
66,A-rage-07,rage,A_standard,high,81,90
67,A-rage-08,rage,A_standard,high,180,205
68,A-rage-09,rage,A_standard,high,84,89
69,A-rage-10,rage,A_standard,high,70,78
70,A-terror-01,terror,A_standard,high,214,239
71,A-terror-02,terror,A_standard,high,83,97
72,A-terror-03,terror,A_standard,high,139,155
73,A-terror-04,terror,A_standard,high,98,115
74,A-terror-05,terror,A_standard,high,133,148
75,A-terror-06,terror,A_standard,high,86,100
76,A-terror-07,terror,A_standard,high,120,130
77,A-terror-08,terror,A_standard,high,174,200
78,A-terror-09,terror,A_standard,high,78,87
79,A-terror-10,terror,A_standard,high,197,217
80,A-vigilance-01,vigilance,A_standard,high,71,83
81,A-vigilance-02,vigilance,A_standard,high,73,87
82,A-vigilance-03,vigilance,A_standard,high,78,95
83,A-vigilance-04,vigilance,A_standard,high,78,90
84,A-vigilance-05,vigilance,A_standard,high,71,82
85,A-vigilance-06,vigilance,A_standard,high,82,96
86,A-vigilance-07,vigilance,A_standard,high,75,88
87,A-vigilance-08,vigilance,A_standard,high,78,93
88,A-vigilance-09,vigilance,A_standard,high,80,96
89,A-vigilance-10,vigilance,A_standard,high,80,94
