layer,auroc_mean,auroc_std
0,0.715179,0.060451
1,0.680357,0.068558
2,0.709821,0.038919
3,0.904464,0.034764
4,0.925,0.029801
5,0.923214,0.030331
6,0.9375,0.032068
7,0.945536,0.031744
8,0.930357,0.042502
9,0.935714,0.034649
10,0.927679,0.030723
11,0.904464,0.047966
12,0.921429,0.026726
13,0.945536,0.025
14,0.945536,0.017723
15,0.95625,0.013061
16,0.970536,0.010022
17,0.971429,0.012177
18,0.976786,0.006561
19,0.975,0.003571
20,0.977679,0.005647
21,0.983036,0.005923
22,0.98125,0.005923
23,0.982143,0.006313
24,0.986607,0.002823
25,0.99375,0.003571
26,0.991964,0.005923
27,0.990179,0.003341
28,0.990179,0.003341
29,0.985714,0.010714
30,0.98125,0.017723
31,0.975,0.021614
