layer,auroc_mean,auroc_std
0,0.69375,0.039387
1,0.644643,0.052716
2,0.690179,0.035106
3,0.894643,0.032267
4,0.922321,0.026875
5,0.925,0.028987
6,0.941071,0.033216
7,0.938393,0.030593
8,0.933929,0.042577
9,0.9375,0.040916
10,0.928571,0.03993
11,0.899107,0.048297
12,0.915179,0.042633
13,0.936607,0.027578
14,0.940179,0.016121
15,0.948214,0.019683
16,0.958036,0.014562
17,0.961607,0.006056
18,0.970536,0.009193
19,0.966964,0.009193
20,0.964286,0.011294
21,0.966071,0.011504
22,0.972321,0.01108
23,0.967857,0.013061
24,0.974107,0.01108
25,0.975893,0.009193
26,0.976786,0.010714
27,0.979464,0.011504
28,0.976786,0.012111
29,0.977679,0.013832
30,0.980357,0.012815
31,0.96875,0.015972
