layer,auroc_mean,auroc_std
0,0.628571,0.058097
1,0.7875,0.067563
2,0.761607,0.057213
3,0.805357,0.063424
4,0.846429,0.036443
5,0.863393,0.027316
6,0.886607,0.05126
7,0.873214,0.030488
8,0.904464,0.044518
9,0.926786,0.04165
10,0.952679,0.033598
11,0.95,0.031237
12,0.949107,0.027462
13,0.946429,0.029342
14,0.933036,0.023453
15,0.930357,0.035558
16,0.924107,0.031058
17,0.935714,0.03336
18,0.940179,0.034418
19,0.936607,0.042577
20,0.941071,0.042107
21,0.947321,0.031869
22,0.954464,0.029532
23,0.963393,0.020825
24,0.961607,0.020084
25,0.976786,0.013947
26,0.976786,0.020633
27,0.977679,0.024614
28,0.979464,0.019885
29,0.982143,0.01572
30,0.976786,0.017723
31,0.979464,0.0151
32,0.980357,0.014562
33,0.98125,0.01423
34,0.983929,0.012177
35,0.9875,0.008657
36,0.9875,0.009105
37,0.986607,0.01018
38,0.983929,0.014286
39,0.988393,0.009193
40,0.984821,0.010788
41,0.98125,0.015567
