index,id,emotion,stimulus_set,domain,matched_control_id,word_count,n_tokens
0,B-admiration-d1-v1,admiration,B_clinical,1,N-admiration-d1-c1,132,157
1,B-admiration-d1-v2,admiration,B_clinical,1,N-admiration-d1-c2,124,148
2,B-admiration-d1-v3,admiration,B_clinical,1,N-admiration-d1-c3,149,170
3,B-admiration-d1-v4,admiration,B_clinical,1,N-admiration-d1-c4,119,135
4,B-admiration-d2-v1,admiration,B_clinical,2,N-admiration-d2-c1,135,159
5,B-admiration-d2-v2,admiration,B_clinical,2,N-admiration-d2-c2,124,151
6,B-admiration-d2-v3,admiration,B_clinical,2,N-admiration-d2-c3,142,170
7,B-admiration-d2-v4,admiration,B_clinical,2,N-admiration-d2-c4,140,160
8,B-admiration-d3-v1,admiration,B_clinical,3,N-admiration-d3-c1,144,167
9,B-admiration-d3-v2,admiration,B_clinical,3,N-admiration-d3-c2,131,155
10,B-admiration-d3-v3,admiration,B_clinical,3,N-admiration-d3-c3,146,165
11,B-admiration-d3-v4,admiration,B_clinical,3,N-admiration-d3-c4,163,182
12,B-amazement-d1-v1,amazement,B_clinical,1,N-amazement-d1-c1,111,129
13,B-amazement-d1-v2,amazement,B_clinical,1,N-amazement-d1-c2,135,150
14,B-amazement-d1-v3,amazement,B_clinical,1,N-amazement-d1-c3,124,139
15,B-amazement-d1-v4,amazement,B_clinical,1,N-amazement-d1-c4,124,145
16,B-amazement-d2-v1,amazement,B_clinical,2,N-amazement-d2-c1,134,150
17,B-amazement-d2-v2,amazement,B_clinical,2,N-amazement-d2-c2,146,166
18,B-amazement-d2-v3,amazement,B_clinical,2,N-amazement-d2-c3,129,150
19,B-amazement-d2-v4,amazement,B_clinical,2,N-amazement-d2-c4,128,147
20,B-amazement-d3-v1,amazement,B_clinical,3,N-amazement-d3-c1,137,153
21,B-amazement-d3-v2,amazement,B_clinical,3,N-amazement-d3-c2,143,165
22,B-amazement-d3-v3,amazement,B_clinical,3,N-amazement-d3-c3,138,153
23,B-amazement-d3-v4,amazement,B_clinical,3,N-amazement-d3-c4,121,143
24,B-ecstasy-d1-v1,ecstasy,B_clinical,1,N-ecstasy-d1-c1,121,143
25,B-ecstasy-d1-v2,ecstasy,B_clinical,1,N-ecstasy-d1-c2,120,135
26,B-ecstasy-d1-v3,ecstasy,B_clinical,1,N-ecstasy-d1-c3,130,148
27,B-ecstasy-d1-v4,ecstasy,B_clinical,1,N-ecstasy-d1-c4,104,125
28,B-ecstasy-d2-v1,ecstasy,B_clinical,2,N-ecstasy-d2-c1,117,135
29,B-ecstasy-d2-v2,ecstasy,B_clinical,2,N-ecstasy-d2-c2,103,123
30,B-ecstasy-d2-v3,ecstasy,B_clinical,2,N-ecstasy-d2-c3,116,134
31,B-ecstasy-d2-v4,ecstasy,B_clinical,2,N-ecstasy-d2-c4,105,121
32,B-ecstasy-d3-v1,ecstasy,B_clinical,3,N-ecstasy-d3-c1,112,129
33,B-ecstasy-d3-v2,ecstasy,B_clinical,3,N-ecstasy-d3-c2,111,125
34,B-ecstasy-d3-v3,ecstasy,B_clinical,3,N-ecstasy-d3-c3,119,138
35,B-ecstasy-d3-v4,ecstasy,B_clinical,3,N-ecstasy-d3-c4,122,149
36,B-grief-d1-v1,grief,B_clinical,1,N-grief-d1-c1,86,103
37,B-grief-d1-v2,grief,B_clinical,1,N-grief-d1-c2,78,90
38,B-grief-d1-v3,grief,B_clinical,1,N-grief-d1-c3,89,107
