layer,auroc_mean,auroc_std
0,0.729636,0.022963
1,0.719353,0.051263
2,0.764103,0.070289
3,0.837868,0.062274
4,0.849112,0.05409
5,0.82454,0.067498
6,0.816003,0.072776
7,0.830933,0.064392
8,0.851072,0.051622
9,0.869781,0.051032
10,0.887459,0.054108
11,0.878074,0.055619
12,0.888194,0.053812
13,0.902032,0.052598
14,0.91155,0.043345
15,0.9202,0.037972
16,0.925786,0.032083
17,0.937898,0.029042
18,0.945558,0.031186
19,0.947529,0.030193
20,0.950776,0.031908
21,0.956219,0.029891
22,0.957373,0.030657
23,0.952962,0.032625
24,0.954432,0.029135
25,0.963205,0.024509
26,0.964216,0.023281
27,0.961101,0.026468
28,0.961336,0.025935
29,0.961969,0.027871
30,0.961172,0.033532
31,0.954146,0.040537
