layer,auroc_mean,auroc_std
0,0.699438,0.042853
1,0.678493,0.049092
2,0.738317,0.086193
3,0.828993,0.060606
4,0.834252,0.050218
5,0.823979,0.057265
6,0.808037,0.065971
7,0.811366,0.053334
8,0.837296,0.045382
9,0.852431,0.04348
10,0.869781,0.054005
11,0.872672,0.054947
12,0.882241,0.054961
13,0.900848,0.047668
14,0.911356,0.038271
15,0.912796,0.036027
16,0.915492,0.031957
17,0.921732,0.028102
18,0.921283,0.035309
19,0.926951,0.034556
20,0.930423,0.02796
21,0.926113,0.030847
22,0.927431,0.028785
23,0.939583,0.027387
24,0.938286,0.022681
25,0.942514,0.028819
26,0.944965,0.025333
27,0.943495,0.026733
28,0.947866,0.025812
29,0.946701,0.030749
30,0.944465,0.033669
31,0.94473,0.034494
