clinical_id,neutral_id,n_clinical,n_neutral,ratio,matched
B-admiration-d1-v1,N-admiration-d1-c1,157,135,0.1401,false
B-admiration-d1-v2,N-admiration-d1-c2,148,122,0.1757,false
B-admiration-d1-v3,N-admiration-d1-c3,170,133,0.2176,false
B-admiration-d1-v4,N-admiration-d1-c4,135,130,0.037,true
B-admiration-d2-v1,N-admiration-d2-c1,159,128,0.195,false
B-admiration-d2-v2,N-admiration-d2-c2,151,129,0.1457,false
B-admiration-d2-v3,N-admiration-d2-c3,170,138,0.1882,false
B-admiration-d2-v4,N-admiration-d2-c4,160,132,0.175,false
B-admiration-d3-v1,N-admiration-d3-c1,167,128,0.2335,false
B-admiration-d3-v2,N-admiration-d3-c2,155,128,0.1742,false
B-admiration-d3-v3,N-admiration-d3-c3,165,144,0.1273,false
B-admiration-d3-v4,N-admiration-d3-c4,182,141,0.2253,false
B-amazement-d1-v1,N-amazement-d1-c1,129,134,0.0373,true
B-amazement-d1-v2,N-amazement-d1-c2,150,134,0.1067,false
B-amazement-d1-v3,N-amazement-d1-c3,139,138,0.0072,true
B-amazement-d1-v4,N-amazement-d1-c4,145,144,0.0069,true
B-amazement-d2-v1,N-amazement-d2-c1,150,129,0.14,false
B-amazement-d2-v2,N-amazement-d2-c2,166,130,0.2169,false
B-amazement-d2-v3,N-amazement-d2-c3,150,145,0.0333,true
B-amazement-d2-v4,N-amazement-d2-c4,147,142,0.034,true
B-amazement-d3-v1,N-amazement-d3-c1,153,134,0.1242,false
B-amazement-d3-v2,N-amazement-d3-c2,165,127,0.2303,false
B-amazement-d3-v3,N-amazement-d3-c3,153,128,0.1634,false
B-amazement-d3-v4,N-amazement-d3-c4,143,126,0.1189,false
B-ecstasy-d1-v1,N-ecstasy-d1-c1,143,130,0.0909,true
B-ecstasy-d1-v2,N-ecstasy-d1-c2,135,104,0.2296,false
B-ecstasy-d1-v3,N-ecstasy-d1-c3,148,126,0.1486,false
B-ecstasy-d1-v4,N-ecstasy-d1-c4,125,115,0.08,true
B-ecstasy-d2-v1,N-ecstasy-d2-c1,135,122,0.0963,true
B-ecstasy-d2-v2,N-ecstasy-d2-c2,123,111,0.0976,true
B-ecstasy-d2-v3,N-ecstasy-d2-c3,134,119,0.1119,false
B-ecstasy-d2-v4,N-ecstasy-d2-c4,121,123,0.0163,true
B-ecstasy-d3-v1,N-ecstasy-d3-c1,129,112,0.1318,false
B-ecstasy-d3-v2,N-ecstasy-d3-c2,125,113,0.096,true
B-ecstasy-d3-v3,N-ecstasy-d3-c3,138,111,0.1957,false
B-ecstasy-d3-v4,N-ecstasy-d3-c4,149,126,0.1544,false
B-grief-d1-v1,N-grief-d1-c1,103,99,0.0388,true
B-grief-d1-v2,N-grief-d1-c2,90,93,0.0323,true
B-grief-d1-v3,N-grief-d1-c3,107,99,0.0748,true
B-grief-d1-v4,N-grief-d1-c4,110,98,0.1091,false
B-grief-d2-v1,N-grief-d2-c1,114,108,0.0526,true
B-grief-d2-v2,N-grief-d2-c2,118,114,0.0339,true
B-grief-d2-v3,N-grief-d2-c3,107,97,0.0935,true
B-grief-d2-v4,N-grief-d2-c4,118,106,0.1017,false
B-grief-d3-v1,N-grief-d3-c1,113,101,0.1062,false
B-grief-d3-v2,N-grief-d3-c2,107,108,0.0093,true
B-grief-d3-v3,N-grief-d3-c3,109,101,0.0734,true
B-grief-d3-v4,N-grief-d3-c4,109,100,0.0826,true
B-loathing-d1-v1,N-loathing-d1-c1,115,102,0.113,false
B-loathing-d1-v2,N-loathing-d1-c2,127,114,0.1024,false
B-loathing-d1-v3,N-loathing-d1-c3,131,109,0.1679,false
B-loathing-d1-v4,N-loathing-d1-c4,129,119,0.0775,true
B-loathing-d2-v1,N-loathing-d2-c1,120,114,0.05,true
B-loathing-d2-v2,N-loathing-d2-c2,145,122,0.1586,false
B-loathing-d2-v3,N-loathing-d2-c3,163,133,0.184,false
B-loathing-d2-v4,N-loathing-d2-c4,142,124,0.1268,false
B-loathing-d3-v1,N-loathing-d3-c1,121,112,0.0744,true
B-loathing-d3-v2,N-loathing-d3-c2,115,100,0.1304,false
B-loathing-d3-v3,N-loathing-d3-c3,129,111,0.1395,false
B-loathing-d3-v4,N-loathing-d3-c4,136,112,0.1765,false
B-rage-d1-v1,N-rage-d1-c1,96,95,0.0104,true
B-rage-d1-v2,N-rage-d1-c2,113,99,0.1239,false
B-rage-d1-v3,N-rage-d1-c3,113,101,0.1062,false
B-rage-d1-v4,N-rage-d1-c4,115,96,0.1652,false
B-rage-d2-v1,N-rage-d2-c1,104,84,0.1923,false
B-rage-d2-v2,N-rage-d2-c2,111,92,0.1712,false
B-rage-d2-v3,N-rage-d2-c3,116,98,0.1552,false
B-rage-d2-v4,N-rage-d2-c4,112,94,0.1607,false
B-rage-d3-v1,N-rage-d3-c1,113,93,0.177,false
B-rage-d3-v2,N-rage-d3-c2,99,100,0.01,true
B-rage-d3-v3,N-rage-d3-c3,109,96,0.1193,false
B-rage-d3-v4,N-rage-d3-c4,125,100,0.2,false
B-terror-d1-v1,N-terror-d1-c1,113,116,0.0259,true
B-terror-d1-v2,N-terror-d1-c2,120,111,0.075,true
B-terror-d1-v3,N-terror-d1-c3,118,117,0.0085,true
B-terror-d1-v4,N-terror-d1-c4,119,117,0.0168,true
B-terror-d2-v1,N-terror-d2-c1,129,117,0.093,true
B-terror-d2-v2,N-terror-d2-c2,126,118,0.0635,true
B-terror-d2-v3,N-terror-d2-c3,135,127,0.0593,true
B-terror-d2-v4,N-terror-d2-c4,132,118,0.1061,false
B-terror-d3-v1,N-terror-d3-c1,142,119,0.162,false
B-terror-d3-v2,N-terror-d3-c2,116,113,0.0259,true
B-terror-d3-v3,N-terror-d3-c3,142,137,0.0352,true
B-terror-d3-v4,N-terror-d3-c4,137,126,0.0803,true
B-vigilance-d1-v1,N-vigilance-d1-c1,156,137,0.1218,false
B-vigilance-d1-v2,N-vigilance-d1-c2,157,132,0.1592,false
B-vigilance-d1-v3,N-vigilance-d1-c3,150,129,0.14,false
B-vigilance-d1-v4,N-vigilance-d1-c4,139,141,0.0142,true
B-vigilance-d2-v1,N-vigilance-d2-c1,172,137,0.2035,false
B-vigilance-d2-v2,N-vigilance-d2-c2,154,132,0.1429,false
B-vigilance-d2-v3,N-vigilance-d2-c3,149,129,0.1342,false
B-vigilance-d2-v4,N-vigilance-d2-c4,159,132,0.1698,false
B-vigilance-d3-v1,N-vigilance-d3-c1,176,148,0.1591,false
B-vigilance-d3-v2,N-vigilance-d3-c2,156,136,0.1282,false
B-vigilance-d3-v3,N-vigilance-d3-c3,171,145,0.152,false
B-vigilance-d3-v4,N-vigilance-d3-c4,168,135,0.1964,false
