index,id,emotion,stimulus_set,domain,matched_control_id,word_count,n_tokens
0,B-admiration-d1-v1,admiration,B_clinical,1,N-admiration-d1-c1,132,155
1,B-admiration-d1-v2,admiration,B_clinical,1,N-admiration-d1-c2,124,150
2,B-admiration-d1-v3,admiration,B_clinical,1,N-admiration-d1-c3,149,173
3,B-admiration-d1-v4,admiration,B_clinical,1,N-admiration-d1-c4,119,136
4,B-admiration-d2-v1,admiration,B_clinical,2,N-admiration-d2-c1,135,157
5,B-admiration-d2-v2,admiration,B_clinical,2,N-admiration-d2-c2,124,153
6,B-admiration-d2-v3,admiration,B_clinical,2,N-admiration-d2-c3,142,174
7,B-admiration-d2-v4,admiration,B_clinical,2,N-admiration-d2-c4,140,160
8,B-admiration-d3-v1,admiration,B_clinical,3,N-admiration-d3-c1,144,168
9,B-admiration-d3-v2,admiration,B_clinical,3,N-admiration-d3-c2,131,155
10,B-admiration-d3-v3,admiration,B_clinical,3,N-admiration-d3-c3,146,165
11,B-admiration-d3-v4,admiration,B_clinical,3,N-admiration-d3-c4,163,182
12,B-amazement-d1-v1,amazement,B_clinical,1,N-amazement-d1-c1,111,128
13,B-amazement-d1-v2,amazement,B_clinical,1,N-amazement-d1-c2,135,150
14,B-amazement-d1-v3,amazement,B_clinical,1,N-amazement-d1-c3,124,139
15,B-amazement-d1-v4,amazement,B_clinical,1,N-amazement-d1-c4,124,143
16,B-amazement-d2-v1,amazement,B_clinical,2,N-amazement-d2-c1,134,151
17,B-amazement-d2-v2,amazement,B_clinical,2,N-amazement-d2-c2,146,164
18,B-amazement-d2-v3,amazement,B_clinical,2,N-amazement-d2-c3,129,152
19,B-amazement-d2-v4,amazement,B_clinical,2,N-amazement-d2-c4,128,147
20,B-amazement-d3-v1,amazement,B_clinical,3,N-amazement-d3-c1,137,154
21,B-amazement-d3-v2,amazement,B_clinical,3,N-amazement-d3-c2,143,167
22,B-amazement-d3-v3,amazement,B_clinical,3,N-amazement-d3-c3,138,153
23,B-amazement-d3-v4,amazement,B_clinical,3,N-amazement-d3-c4,121,144
24,B-ecstasy-d1-v1,ecstasy,B_clinical,1,N-ecstasy-d1-c1,121,146
25,B-ecstasy-d1-v2,ecstasy,B_clinical,1,N-ecstasy-d1-c2,120,136
26,B-ecstasy-d1-v3,ecstasy,B_clinical,1,N-ecstasy-d1-c3,130,150
27,B-ecstasy-d1-v4,ecstasy,B_clinical,1,N-ecstasy-d1-c4,104,126
28,B-ecstasy-d2-v1,ecstasy,B_clinical,2,N-ecstasy-d2-c1,117,137
29,B-ecstasy-d2-v2,ecstasy,B_clinical,2,N-ecstasy-d2-c2,103,127
30,B-ecstasy-d2-v3,ecstasy,B_clinical,2,N-ecstasy-d2-c3,116,136
31,B-ecstasy-d2-v4,ecstasy,B_clinical,2,N-ecstasy-d2-c4,105,121
32,B-ecstasy-d3-v1,ecstasy,B_clinical,3,N-ecstasy-d3-c1,112,130
33,B-ecstasy-d3-v2,ecstasy,B_clinical,3,N-ecstasy-d3-c2,111,125
34,B-ecstasy-d3-v3,ecstasy,B_clinical,3,N-ecstasy-d3-c3,119,139
35,B-ecstasy-d3-v4,ecstasy,B_clinical,3,N-ecstasy-d3-c4,122,145
36,B-grief-d1-v1,grief,B_clinical,1,N-grief-d1-c1,86,104
37,B-grief-d1-v2,grief,B_clinical,1,N-grief-d1-c2,78,90
38,B-grief-d1-v3,grief,B_clinical,1,N-grief-d1-c3,89,108
39,B-grief-d1-v4,grief,B_clinical,1,N-grief-d1-c4,95,111
40,B-grief-d2-v1,grief,B_clinical,2,N-grief-d2-c1,91,123
41,B-grief-d2-v2,grief,B_clinical,2,N-grief-d2-c2,100,115
42,B-grief-d2-v3,grief,B_clinical,2,N-grief-d2-c3,94,108
43,B-grief-d2-v4,grief,B_clinical,2,N-grief-d2-c4,104,121
44,B-grief-d3-v1,grief,B_clinical,3,N-grief-d3-c1,99,113
45,B-grief-d3-v2,grief,B_clinical,3,N-grief-d3-c2,88,108
46,B-grief-d3-v3,grief,B_clinical,3,N-grief-d3-c3,94,113
47,B-grief-d3-v4,grief,B_clinical,3,N-grief-d3-c4,90,110
48,B-loathing-d1-v1,loathing,B_clinical,1,N-loathing-d1-c1,93,115
49,B-loathing-d1-v2,loathing,B_clinical,1,N-loathing-d1-c2,99,132
50,B-loathing-d1-v3,loathing,B_clinical,1,N-loathing-d1-c3,111,135
51,B-loathing-d1-v4,loathing,B_clinical,1,N-loathing-d1-c4,112,130
52,B-loathing-d2-v1,loathing,B_clinical,2,N-loathing-d2-c1,110,119
53,B-loathing-d2-v2,loathing,B_clinical,2,N-loathing-d2-c2,132,144
54,B-loathing-d2-v3,loathing,B_clinical,2,N-loathing-d2-c3,145,162
55,B-loathing-d2-v4,loathing,B_clinical,2,N-loathing-d2-c4,123,142
56,B-loathing-d3-v1,loathing,B_clinical,3,N-loathing-d3-c1,107,120
57,B-loathing-d3-v2,loathing,B_clinical,3,N-loathing-d3-c2,97,114
58,B-loathing-d3-v3,loathing,B_clinical,3,N-loathing-d3-c3,102,123
