layer,auroc_mean,auroc_std
0,0.709109,0.055122
1,0.84327,0.077346
2,0.814297,0.076541
3,0.821661,0.063034
4,0.852543,0.059269
5,0.819475,0.046258
6,0.794904,0.044689
7,0.774877,0.06162
8,0.787643,0.040809
9,0.79665,0.059593
10,0.821078,0.057323
11,0.812745,0.054335
12,0.817688,0.056219
13,0.819618,0.050199
14,0.837766,0.049506
15,0.838113,0.055134
16,0.827655,0.051275
17,0.866207,0.054451
18,0.884242,0.056112
19,0.905045,0.040449
20,0.904851,0.045992
21,0.916881,0.035403
22,0.916381,0.044202
23,0.908721,0.049197
24,0.919894,0.039803
25,0.932904,0.030616
26,0.939154,0.028284
27,0.936499,0.03317
28,0.930923,0.037949
29,0.945844,0.028774
30,0.940145,0.027767
31,0.93268,0.031674
32,0.928932,0.032996
33,0.924152,0.029337
34,0.926808,0.02726
35,0.927022,0.027015
36,0.924571,0.032394
37,0.926665,0.036009
38,0.931291,0.031111
39,0.932414,0.032968
40,0.927635,0.040844
41,0.92598,0.033833
