layer,auroc_mean,auroc_std
0,0.930831,0.017119
1,0.97795,0.01101
2,0.972936,0.008809
3,0.983934,0.010405
4,0.99205,0.008791
5,0.99205,0.008615
6,0.995208,0.005599
7,0.993019,0.003489
8,0.997285,0.001753
9,0.997313,0.001666
10,0.997812,0.002066
11,0.997812,0.002066
12,0.997812,0.002066
13,0.997313,0.001666
14,0.997285,0.002417
15,0.997812,0.002066
16,0.99892,0.001324
17,1.0,0.0
18,1.0,0.0
19,1.0,0.0
20,1.0,0.0
21,1.0,0.0
22,1.0,0.0
23,1.0,0.0
24,1.0,0.0
25,1.0,0.0
26,1.0,0.0
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
40,0.999474,0.001053
41,0.999474,0.001053
