clinical_id,neutral_id,n_clinical,n_neutral,ratio,matched
B-admiration-d1-v1,N-admiration-d1-c1,155,134,0.1355,false
B-admiration-d1-v2,N-admiration-d1-c2,150,121,0.1933,false
B-admiration-d1-v3,N-admiration-d1-c3,173,135,0.2197,false
B-admiration-d1-v4,N-admiration-d1-c4,136,133,0.0221,true
B-admiration-d2-v1,N-admiration-d2-c1,157,131,0.1656,false
B-admiration-d2-v2,N-admiration-d2-c2,153,128,0.1634,false
B-admiration-d2-v3,N-admiration-d2-c3,174,143,0.1782,false
B-admiration-d2-v4,N-admiration-d2-c4,160,134,0.1625,false
B-admiration-d3-v1,N-admiration-d3-c1,168,126,0.25,false
B-admiration-d3-v2,N-admiration-d3-c2,155,129,0.1677,false
B-admiration-d3-v3,N-admiration-d3-c3,165,144,0.1273,false
B-admiration-d3-v4,N-admiration-d3-c4,182,143,0.2143,false
B-amazement-d1-v1,N-amazement-d1-c1,128,132,0.0303,true
B-amazement-d1-v2,N-amazement-d1-c2,150,129,0.14,false
B-amazement-d1-v3,N-amazement-d1-c3,139,138,0.0072,true
B-amazement-d1-v4,N-amazement-d1-c4,143,142,0.007,true
B-amazement-d2-v1,N-amazement-d2-c1,151,129,0.1457,false
B-amazement-d2-v2,N-amazement-d2-c2,164,127,0.2256,false
B-amazement-d2-v3,N-amazement-d2-c3,152,143,0.0592,true
B-amazement-d2-v4,N-amazement-d2-c4,147,140,0.0476,true
B-amazement-d3-v1,N-amazement-d3-c1,154,136,0.1169,false
B-amazement-d3-v2,N-amazement-d3-c2,167,129,0.2275,false
B-amazement-d3-v3,N-amazement-d3-c3,153,129,0.1569,false
B-amazement-d3-v4,N-amazement-d3-c4,144,126,0.125,false
B-ecstasy-d1-v1,N-ecstasy-d1-c1,146,133,0.089,true
B-ecstasy-d1-v2,N-ecstasy-d1-c2,136,106,0.2206,false
B-ecstasy-d1-v3,N-ecstasy-d1-c3,150,130,0.1333,false
B-ecstasy-d1-v4,N-ecstasy-d1-c4,126,112,0.1111,false
B-ecstasy-d2-v1,N-ecstasy-d2-c1,137,125,0.0876,true
B-ecstasy-d2-v2,N-ecstasy-d2-c2,127,111,0.126,false
B-ecstasy-d2-v3,N-ecstasy-d2-c3,136,119,0.125,false
B-ecstasy-d2-v4,N-ecstasy-d2-c4,121,124,0.0242,true
B-ecstasy-d3-v1,N-ecstasy-d3-c1,130,114,0.1231,false
B-ecstasy-d3-v2,N-ecstasy-d3-c2,125,111,0.112,false
B-ecstasy-d3-v3,N-ecstasy-d3-c3,139,111,0.2014,false
B-ecstasy-d3-v4,N-ecstasy-d3-c4,145,125,0.1379,false
B-grief-d1-v1,N-grief-d1-c1,104,97,0.0673,true
B-grief-d1-v2,N-grief-d1-c2,90,93,0.0323,true
B-grief-d1-v3,N-grief-d1-c3,108,98,0.0926,true
B-grief-d1-v4,N-grief-d1-c4,111,98,0.1171,false
B-grief-d2-v1,N-grief-d2-c1,123,113,0.0813,true
B-grief-d2-v2,N-grief-d2-c2,115,110,0.0435,true
B-grief-d2-v3,N-grief-d2-c3,108,97,0.1019,false
B-grief-d2-v4,N-grief-d2-c4,121,109,0.0992,true
B-grief-d3-v1,N-grief-d3-c1,113,103,0.0885,true
B-grief-d3-v2,N-grief-d3-c2,108,108,0.0,true
B-grief-d3-v3,N-grief-d3-c3,113,104,0.0796,true
B-grief-d3-v4,N-grief-d3-c4,110,101,0.0818,true
B-loathing-d1-v1,N-loathing-d1-c1,115,105,0.087,true
B-loathing-d1-v2,N-loathing-d1-c2,132,119,0.0985,true
B-loathing-d1-v3,N-loathing-d1-c3,135,112,0.1704,false
B-loathing-d1-v4,N-loathing-d1-c4,130,123,0.0538,true
B-loathing-d2-v1,N-loathing-d2-c1,119,113,0.0504,true
B-loathing-d2-v2,N-loathing-d2-c2,144,123,0.1458,false
B-loathing-d2-v3,N-loathing-d2-c3,162,135,0.1667,false
B-loathing-d2-v4,N-loathing-d2-c4,142,121,0.1479,false
B-loathing-d3-v1,N-loathing-d3-c1,120,112,0.0667,true
B-loathing-d3-v2,N-loathing-d3-c2,114,100,0.1228,false
