index,id,emotion,stimulus_set,suffix,n_tokens_original,n_tokens_suffixed,final_token_str,intensity,word_count
0,A-admiration-01,admiration,A_standard,"

Emotion:",107,110,:,high,93
1,A-admiration-02,admiration,A_standard,"

Emotion:",135,138,:,high,126
2,A-admiration-03,admiration,A_standard,"

Emotion:",101,104,:,high,96
3,A-admiration-04,admiration,A_standard,"

Emotion:",146,149,:,high,124
4,A-admiration-05,admiration,A_standard,"

Emotion:",86,89,:,high,81
5,A-admiration-06,admiration,A_standard,"

Emotion:",123,126,:,high,111
6,A-admiration-07,admiration,A_standard,"

Emotion:",78,81,:,high,74
7,A-admiration-08,admiration,A_standard,"

Emotion:",102,105,:,high,86
8,A-admiration-09,admiration,A_standard,"

Emotion:",118,121,:,high,110
9,A-admiration-10,admiration,A_standard,"

Emotion:",75,78,:,high,71
10,A-amazement-01,amazement,A_standard,"

Emotion:",106,109,:,high,91
11,A-amazement-02,amazement,A_standard,"

Emotion:",71,74,:,high,61
12,A-amazement-03,amazement,A_standard,"

Emotion:",77,80,:,high,71
13,A-amazement-04,amazement,A_standard,"

Emotion:",83,86,:,high,69
14,A-amazement-05,amazement,A_standard,"

Emotion:",90,93,:,high,79
15,A-amazement-06,amazement,A_standard,"

Emotion:",69,72,:,high,62
16,A-amazement-07,amazement,A_standard,"

Emotion:",102,105,:,high,95
17,A-amazement-08,amazement,A_standard,"

Emotion:",149,152,:,high,131
18,A-amazement-09,amazement,A_standard,"

Emotion:",73,76,:,high,71
19,A-amazement-10,amazement,A_standard,"

Emotion:",95,98,:,high,87
20,A-ecstasy-01,ecstasy,A_standard,"

Emotion:",78,81,:,high,71
21,A-ecstasy-02,ecstasy,A_standard,"

Emotion:",97,100,:,high,81
22,A-ecstasy-03,ecstasy,A_standard,"

Emotion:",109,112,:,high,84
23,A-ecstasy-04,ecstasy,A_standard,"

Emotion:",112,115,:,high,99
24,A-ecstasy-05,ecstasy,A_standard,"

Emotion:",103,106,:,high,93
25,A-ecstasy-06,ecstasy,A_standard,"

Emotion:",81,84,:,high,74
26,A-ecstasy-07,ecstasy,A_standard,"

Emotion:",110,113,:,high,98
27,A-ecstasy-08,ecstasy,A_standard,"

Emotion:",175,178,:,high,156
28,A-ecstasy-09,ecstasy,A_standard,"

Emotion:",109,112,:,high,70
29,A-ecstasy-10,ecstasy,A_standard,"

Emotion:",76,79,:,high,69
30,A-grief-01,grief,A_standard,"

Emotion:",145,148,:,high,120
31,A-grief-02,grief,A_standard,"

Emotion:",77,80,:,high,68
32,A-grief-03,grief,A_standard,"

Emotion:",103,106,:,high,88
33,A-grief-04,grief,A_standard,"

Emotion:",200,203,:,high,165
34,A-grief-05,grief,A_standard,"

Emotion:",205,208,:,high,166
35,A-grief-06,grief,A_standard,"

Emotion:",77,80,:,high,69
36,A-grief-07,grief,A_standard,"

Emotion:",116,119,:,high,109
37,A-grief-08,grief,A_standard,"

Emotion:",73,76,:,high,68
38,A-grief-09,grief,A_standard,"

Emotion:",109,112,:,high,93
39,A-grief-10,grief,A_standard,"

Emotion:",107,110,:,high,91
40,A-loathing-01,loathing,A_standard,"

Emotion:",154,157,:,high,127
41,A-loathing-02,loathing,A_standard,"

Emotion:",99,102,:,high,85
42,A-loathing-03,loathing,A_standard,"

Emotion:",65,68,:,high,57
43,A-loathing-04,loathing,A_standard,"

Emotion:",109,112,:,high,102
44,A-loathing-05,loathing,A_standard,"

Emotion:",167,170,:,high,156
45,A-loathing-06,loathing,A_standard,"

Emotion:",71,74,:,high,60
46,A-loathing-07,loathing,A_standard,"

Emotion:",124,127,:,high,113
47,A-loathing-08,loathing,A_standard,"

Emotion:",75,78,:,high,61
48,A-loathing-09,loathing,A_standard,"

Emotion:",67,70,:,high,61
49,A-loathing-10,loathing,A_standard,"

Emotion:",142,145,:,high,118
50,A-rage-01,rage,A_standard,"

Emotion:",143,146,:,high,131
51,A-rage-02,rage,A_standard,"

Emotion:",474,477,:,high,422
52,A-rage-03,rage,A_standard,"

Emotion:",108,111,:,high,93
53,A-rage-04,rage,A_standard,"

Emotion:",110,113,:,high,99
54,A-rage-05,rage,A_standard,"

Emotion:",81,84,:,high,70
55,A-rage-06,rage,A_standard,"

Emotion:",177,180,:,high,164
56,A-rage-07,rage,A_standard,"

Emotion:",89,92,:,high,81
57,A-rage-08,rage,A_standard,"

Emotion:",203,206,:,high,180
58,A-rage-09,rage,A_standard,"

Emotion:",89,92,:,high,84
59,A-rage-10,rage,A_standard,"

Emotion:",79,82,:,high,70
60,A-terror-01,terror,A_standard,"

Emotion:",242,245,:,high,214
61,A-terror-02,terror,A_standard,"

Emotion:",100,103,:,high,83
62,A-terror-03,terror,A_standard,"

Emotion:",155,158,:,high,139
63,A-terror-04,terror,A_standard,"

Emotion:",114,117,:,high,98
64,A-terror-05,terror,A_standard,"

Emotion:",152,155,:,high,133
65,A-terror-06,terror,A_standard,"

Emotion:",100,103,:,high,86
66,A-terror-07,terror,A_standard,"

Emotion:",130,133,:,high,120
67,A-terror-08,terror,A_standard,"

Emotion:",204,207,:,high,174
68,A-terror-09,terror,A_standard,"

Emotion:",88,91,:,high,78
69,A-terror-10,terror,A_standard,"

Emotion:",217,220,:,high,197
70,A-vigilance-01,vigilance,A_standard,"

Emotion:",84,87,:,high,71
71,A-vigilance-02,vigilance,A_standard,"

Emotion:",89,92,:,high,73
72,A-vigilance-03,vigilance,A_standard,"

Emotion:",95,98,:,high,78
73,A-vigilance-04,vigilance,A_standard,"

Emotion:",91,94,:,high,78
74,A-vigilance-05,vigilance,A_standard,"

Emotion:",80,83,:,high,71
75,A-vigilance-06,vigilance,A_standard,"

Emotion:",96,99,:,high,82
76,A-vigilance-07,vigilance,A_standard,"

Emotion:",85,88,:,high,75
77,A-vigilance-08,vigilance,A_standard,"

Emotion:",93,96,:,high,78
78,A-vigilance-09,vigilance,A_standard,"

Emotion:",95,98,:,high,80
79,A-vigilance-10,vigilance,A_standard,"

Emotion:",93,96,:,high,80
