layer,rel_depth,auroc_p0_znorm,std_p0_znorm,auroc_v2_znorm,std_v2_znorm
0,0.0,0.6125,0.058915,0.825,0.021015
1,0.0244,0.785714,0.044464,0.834821,0.052443
2,0.0488,0.766964,0.060253,0.819643,0.053243
3,0.0732,0.803571,0.064447,0.819643,0.051878
4,0.0976,0.873214,0.014286,0.891964,0.029667
5,0.122,0.891071,0.021614,0.875,0.045352
6,0.1463,0.892857,0.051678,0.917857,0.038153
7,0.1707,0.891964,0.029532,0.91875,0.041917
8,0.1951,0.915179,0.033048,0.947321,0.029261
9,0.2195,0.932143,0.032854,0.952679,0.025032
10,0.2439,0.950893,0.033288,0.966071,0.018856
11,0.2683,0.945536,0.033574,0.949107,0.028599
12,0.2927,0.953571,0.025505,0.930357,0.038362
13,0.3171,0.949107,0.029424,0.944643,0.024223
14,0.3415,0.924107,0.026184,0.959821,0.020555
15,0.3659,0.923214,0.036857,0.98125,0.013658
16,0.3902,0.895536,0.030878,0.983036,0.012753
17,0.4146,0.926786,0.031643,0.995536,0.006916
18,0.439,0.923214,0.035084,0.99375,0.006056
19,0.4634,0.925893,0.043246,0.992857,0.006056
20,0.4878,0.922321,0.047043,0.990179,0.007681
21,0.5122,0.946429,0.035826,0.992857,0.007254
22,0.5366,0.947321,0.033574,0.991071,0.01018
23,0.561,0.957143,0.019274,0.994643,0.006561
24,0.5854,0.953571,0.023555,0.997321,0.005357
25,0.6098,0.972321,0.017496,0.996429,0.007143
26,0.6341,0.972321,0.021761,0.997321,0.005357
27,0.6585,0.974107,0.021761,0.997321,0.005357
28,0.6829,0.978571,0.017723,0.999107,0.001786
29,0.7073,0.979464,0.017768,0.999107,0.001786
30,0.7317,0.980357,0.016121,0.999107,0.001786
31,0.7561,0.979464,0.016121,0.999107,0.001786
32,0.7805,0.980357,0.014562,1.0,0.0
33,0.8049,0.985714,0.01423,1.0,0.0
34,0.8293,0.986607,0.012627,1.0,0.0
35,0.8537,0.9875,0.013061,1.0,0.0
36,0.878,0.9875,0.010714,1.0,0.0
37,0.9024,0.984821,0.012815,1.0,0.0
38,0.9268,0.982143,0.014117,1.0,0.0
39,0.9512,0.9875,0.008183,1.0,0.0
40,0.9756,0.983036,0.012436,1.0,0.0
41,1.0,0.983036,0.013658,1.0,0.0
