layer,rel_depth,auroc_setc_mean,auroc_setc_std,auroc_phase0_mean
0,0.0,0.732143,0.050508,0.648214
1,0.0667,0.770536,0.040485,0.738393
2,0.1333,0.785714,0.05807,0.774107
3,0.2,0.79375,0.064533,0.916964
4,0.2667,0.81875,0.061704,0.933036
5,0.3333,0.841071,0.056229,0.941964
6,0.4,0.859821,0.053542,0.941071
7,0.4667,0.884821,0.047279,0.94375
8,0.5333,0.883929,0.04254,0.947321
9,0.6,0.9125,0.043246,0.96875
10,0.6667,0.941964,0.036705,0.963393
11,0.7333,0.98125,0.02484,0.958929
12,0.8,0.983036,0.020825,0.95625
13,0.8667,0.994643,0.010714,0.98125
14,0.9333,0.997321,0.005357,0.9875
15,1.0,0.997321,0.005357,0.984821
