layer,rel_depth,auroc_p0_znorm,std_p0_znorm,auroc_v2_znorm,std_v2_znorm
0,0.0,0.83125,0.06227,0.820536,0.039367
1,0.0323,0.788393,0.096064,0.854464,0.044518
2,0.0645,0.830357,0.046907,0.860714,0.029261
3,0.0968,0.936607,0.02563,0.899107,0.030619
4,0.129,0.941964,0.031314,0.908929,0.038153
5,0.1613,0.93125,0.034418,0.908036,0.03567
6,0.1935,0.941071,0.036965,0.91875,0.030593
7,0.2258,0.94375,0.034302,0.905357,0.051166
8,0.2581,0.932143,0.054559,0.908036,0.045052
9,0.2903,0.938393,0.034279,0.952679,0.040583
10,0.3226,0.920536,0.032488,0.971429,0.025348
11,0.3548,0.900893,0.044589,0.964286,0.030278
12,0.3871,0.916071,0.035647,0.983929,0.025505
13,0.4194,0.942857,0.026845,0.991071,0.017857
14,0.4516,0.947321,0.02419,0.991964,0.009533
15,0.4839,0.959821,0.019357,0.997321,0.005357
16,0.5161,0.975,0.012815,0.998214,0.003571
17,0.5484,0.974107,0.01108,1.0,0.0
18,0.5806,0.979464,0.009616,1.0,0.0
19,0.6129,0.978571,0.007143,1.0,0.0
20,0.6452,0.982143,0.007986,1.0,0.0
21,0.6774,0.983929,0.005357,1.0,0.0
22,0.7097,0.98125,0.004374,1.0,0.0
23,0.7419,0.983929,0.007254,1.0,0.0
24,0.7742,0.990179,0.001786,1.0,0.0
25,0.8065,0.99375,0.003571,1.0,0.0
26,0.8387,0.99375,0.005357,1.0,0.0
27,0.871,0.991964,0.004374,1.0,0.0
28,0.9032,0.991071,0.002823,1.0,0.0
29,0.9355,0.9875,0.006561,1.0,0.0
30,0.9677,0.982143,0.01915,1.0,0.0
31,1.0,0.982143,0.018298,1.0,0.0
