layer,rel_depth,auroc_p0_znorm,std_p0_znorm,auroc_v2_znorm,std_v2_znorm
0,0.0,0.777679,0.084204,0.786607,0.033336
1,0.0323,0.76875,0.086446,0.834821,0.011979
2,0.0645,0.810714,0.058725,0.838393,0.016318
3,0.0968,0.939286,0.031007,0.904464,0.017313
4,0.129,0.936607,0.028987,0.9,0.028036
5,0.1613,0.934821,0.03239,0.907143,0.025474
6,0.1935,0.94375,0.038465,0.903571,0.025032
7,0.2258,0.944643,0.039286,0.947321,0.032242
8,0.2581,0.935714,0.051724,0.959821,0.033645
9,0.2903,0.933929,0.041052,0.979464,0.022868
10,0.3226,0.93125,0.035892,0.997321,0.005357
11,0.3548,0.901786,0.051832,0.988393,0.019066
12,0.3871,0.907143,0.050223,0.9875,0.025
13,0.4194,0.933929,0.027865,0.994643,0.006561
14,0.4516,0.940179,0.033834,0.995536,0.008929
15,0.4839,0.950893,0.022411,0.996429,0.007143
16,0.5161,0.954464,0.016318,0.996429,0.005206
17,0.5484,0.95625,0.012111,0.995536,0.006916
18,0.5806,0.966964,0.012177,0.997321,0.005357
19,0.6129,0.964286,0.015465,0.996429,0.007143
20,0.6452,0.967857,0.008657,0.997321,0.003571
21,0.6774,0.967857,0.01108,0.997321,0.003571
22,0.7097,0.969643,0.009942,0.997321,0.003571
23,0.7419,0.967857,0.014507,0.997321,0.003571
24,0.7742,0.975,0.011152,0.997321,0.003571
25,0.8065,0.98125,0.008657,0.997321,0.003571
26,0.8387,0.978571,0.009105,0.997321,0.003571
27,0.871,0.978571,0.009942,0.998214,0.002187
28,0.9032,0.975,0.011152,0.998214,0.002187
29,0.9355,0.975893,0.013122,0.999107,0.001786
30,0.9677,0.978571,0.013658,0.999107,0.001786
31,1.0,0.978571,0.011434,1.0,0.0
