layer,rel_depth,auroc_setc_mean,auroc_setc_std,auroc_phase0_mean
0,0.0,0.752679,0.046617,0.69375
1,0.0323,0.742857,0.05369,0.644643
2,0.0645,0.797321,0.02717,0.690179
3,0.0968,0.867857,0.029424,0.894643
4,0.129,0.894643,0.041168,0.922321
5,0.1613,0.93125,0.026577,0.925
6,0.1935,0.950893,0.023453,0.941071
7,0.2258,0.957143,0.027316,0.938393
8,0.2581,0.954464,0.021761,0.933929
9,0.2903,0.945536,0.030067,0.9375
10,0.3226,0.950893,0.03041,0.928571
11,0.3548,0.951786,0.028987,0.899107
12,0.3871,0.949107,0.032019,0.915179
13,0.4194,0.952679,0.024711,0.936607
14,0.4516,0.96875,0.027228,0.940179
15,0.4839,0.978571,0.031869,0.948214
16,0.5161,0.986607,0.022588,0.958036
17,0.5484,0.990179,0.019643,0.961607
18,0.5806,0.990179,0.019643,0.970536
19,0.6129,0.990179,0.019643,0.966964
20,0.6452,0.991964,0.016071,0.964286
21,0.6774,0.994643,0.010714,0.966071
22,0.7097,0.995536,0.008929,0.972321
23,0.7419,0.995536,0.008929,0.967857
24,0.7742,0.995536,0.008929,0.974107
25,0.8065,0.999107,0.001786,0.975893
26,0.8387,0.999107,0.001786,0.976786
27,0.871,0.998214,0.003571,0.979464
28,0.9032,0.999107,0.001786,0.976786
29,0.9355,0.999107,0.001786,0.977679
30,0.9677,0.998214,0.003571,0.980357
31,1.0,0.997321,0.005357,0.96875
