layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0625,llama1b_inst,h,within_A,0.7848214285714287,0.0259389982970249,0.4375,0.08838834764831845
1,0.125,llama1b_inst,h,within_A,0.8205357142857143,0.047531541622164865,0.4,0.049999999999999996
2,0.1875,llama1b_inst,h,within_A,0.8383928571428572,0.022124128023864053,0.4875,0.024999999999999998
3,0.25,llama1b_inst,h,within_A,0.8732142857142857,0.03948811497767139,0.4875,0.046770717334674264
4,0.3125,llama1b_inst,h,within_A,0.8696428571428572,0.027865154525584364,0.525,0.08477912478906585
5,0.375,llama1b_inst,h,within_A,0.90625,0.02603103524484507,0.5875,0.049999999999999996
6,0.4375,llama1b_inst,h,within_A,0.925,0.023351244340396496,0.6125,0.12747548783981963
7,0.5,llama1b_inst,h,within_A,0.9419642857142858,0.032561754515732996,0.6625,0.1457737973711325
8,0.5625,llama1b_inst,h,within_A,0.9875,0.011777594605600815,0.8375,0.1159202311936963
9,0.625,llama1b_inst,h,within_A,0.9955357142857142,0.0056469243931578355,0.9,0.0637377439199098
10,0.6875,llama1b_inst,h,within_A,0.9964285714285716,0.0033407655239052927,0.9125,0.0637377439199098
11,0.75,llama1b_inst,h,within_A,0.9991071428571429,0.0017857142857142794,0.9125,0.0637377439199098
12,0.8125,llama1b_inst,h,within_A,0.9982142857142857,0.0021870444131992586,0.9,0.1015504800579495
13,0.875,llama1b_inst,h,within_A,0.9991071428571429,0.0017857142857142794,0.9125,0.09354143466934853
14,0.9375,llama1b_inst,h,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.06123724356957945
15,1.0,llama1b_inst,h,within_A,0.9991071428571429,0.0017857142857142794,0.925,0.07288689868556626
0,0.0625,llama1b_inst,h,within_B_clinical,0.8460069444444445,0.07089243057272812,0.45736842105263154,0.060569778445540234
1,0.125,llama1b_inst,h,within_B_clinical,0.9012663398692811,0.07009027978834709,0.6647368421052631,0.10588762139953363
2,0.1875,llama1b_inst,h,within_B_clinical,0.909313725490196,0.0736140622821582,0.6652631578947369,0.12497534382868068
3,0.25,llama1b_inst,h,within_B_clinical,0.9103962418300654,0.07371387905001081,0.6757894736842106,0.06536494608951592
4,0.3125,llama1b_inst,h,within_B_clinical,0.907843137254902,0.06757099181708923,0.6342105263157894,0.07824246709115004
5,0.375,llama1b_inst,h,within_B_clinical,0.9105698529411764,0.05426068026896338,0.6136842105263158,0.0819161114035525
6,0.4375,llama1b_inst,h,within_B_clinical,0.8935355392156863,0.04783043648971054,0.5931578947368421,0.04376973239219325
7,0.5,llama1b_inst,h,within_B_clinical,0.9031862745098038,0.03012703209551959,0.6452631578947369,0.027368421052631577
8,0.5625,llama1b_inst,h,within_B_clinical,0.9233864379084966,0.031186735777452342,0.6131578947368421,0.06842105263157894
9,0.625,llama1b_inst,h,within_B_clinical,0.9334558823529413,0.02364029034945664,0.6573684210526316,0.09762271203883433
10,0.6875,llama1b_inst,h,within_B_clinical,0.9314644607843137,0.022239059763115975,0.6563157894736842,0.05272623067944501
11,0.75,llama1b_inst,h,within_B_clinical,0.9305044934640524,0.02378158462356092,0.6563157894736842,0.05272623067944501
12,0.8125,llama1b_inst,h,within_B_clinical,0.9217422385620914,0.03077077387302367,0.6663157894736842,0.05526065157223867
13,0.875,llama1b_inst,h,within_B_clinical,0.9153288398692808,0.030456222365015235,0.6347368421052633,0.08378841575634695
14,0.9375,llama1b_inst,h,within_B_clinical,0.9061478758169933,0.03478006943630706,0.6447368421052632,0.0934117860489413
15,1.0,llama1b_inst,h,within_B_clinical,0.9088643790849673,0.0363692792701177,0.6457894736842105,0.09042221676843894
0,0.0625,llama1b_inst,h,A_to_B,0.5303819444444444,NaN,0.125,
0,0.0625,llama1b_inst,h,B_to_A,0.5214285714285714,NaN,0.15,
1,0.125,llama1b_inst,h,A_to_B,0.5372023809523809,NaN,0.10416666666666667,
1,0.125,llama1b_inst,h,B_to_A,0.5233928571428571,NaN,0.125,
2,0.1875,llama1b_inst,h,A_to_B,0.5706845238095237,NaN,0.13541666666666666,
2,0.1875,llama1b_inst,h,B_to_A,0.5239285714285714,NaN,0.1375,
3,0.25,llama1b_inst,h,A_to_B,0.566468253968254,NaN,0.16666666666666666,
3,0.25,llama1b_inst,h,B_to_A,0.5196428571428571,NaN,0.15,
4,0.3125,llama1b_inst,h,A_to_B,0.5405505952380952,NaN,0.1875,
4,0.3125,llama1b_inst,h,B_to_A,0.5064285714285715,NaN,0.125,
5,0.375,llama1b_inst,h,A_to_B,0.5665922619047619,NaN,0.14583333333333334,
5,0.375,llama1b_inst,h,B_to_A,0.5166071428571428,NaN,0.125,
6,0.4375,llama1b_inst,h,A_to_B,0.5509672619047619,NaN,0.13541666666666666,
6,0.4375,llama1b_inst,h,B_to_A,0.48946428571428574,NaN,0.15,
7,0.5,llama1b_inst,h,A_to_B,0.5906498015873016,NaN,0.14583333333333334,
7,0.5,llama1b_inst,h,B_to_A,0.50125,NaN,0.15,
8,0.5625,llama1b_inst,h,A_to_B,0.6789434523809524,NaN,0.2604166666666667,
8,0.5625,llama1b_inst,h,B_to_A,0.5923214285714286,NaN,0.175,
9,0.625,llama1b_inst,h,A_to_B,0.7517361111111112,NaN,0.3125,
9,0.625,llama1b_inst,h,B_to_A,0.7278571428571429,NaN,0.225,
10,0.6875,llama1b_inst,h,A_to_B,0.7735615079365079,NaN,0.34375,
10,0.6875,llama1b_inst,h,B_to_A,0.7616071428571428,NaN,0.35,
11,0.75,llama1b_inst,h,A_to_B,0.8049355158730158,NaN,0.375,
11,0.75,llama1b_inst,h,B_to_A,0.8341071428571429,NaN,0.45,
12,0.8125,llama1b_inst,h,A_to_B,0.8092757936507936,NaN,0.3645833333333333,
12,0.8125,llama1b_inst,h,B_to_A,0.8676785714285714,NaN,0.4,
13,0.875,llama1b_inst,h,A_to_B,0.8074156746031745,NaN,0.4270833333333333,
13,0.875,llama1b_inst,h,B_to_A,0.9076785714285714,NaN,0.5375,
14,0.9375,llama1b_inst,h,A_to_B,0.8048115079365079,NaN,0.4270833333333333,
14,0.9375,llama1b_inst,h,B_to_A,0.906607142857143,NaN,0.525,
15,1.0,llama1b_inst,h,A_to_B,0.8082837301587302,NaN,0.4583333333333333,
15,1.0,llama1b_inst,h,B_to_A,0.9235714285714285,NaN,0.5875,
0,0.0625,llama1b_inst,a,within_A,0.7991071428571427,0.03912303982179758,0.4375,0.10458250331675945
1,0.125,llama1b_inst,a,within_A,0.8294642857142858,0.03946792161660779,0.45,0.07288689868556625
2,0.1875,llama1b_inst,a,within_A,0.8392857142857142,0.012626906806902606,0.5,0.03952847075210474
3,0.25,llama1b_inst,a,within_A,0.9107142857142858,0.03713684704122399,0.575,0.08291561975888499
4,0.3125,llama1b_inst,a,within_A,0.8517857142857143,0.01582146888095479,0.5125,0.12119199643540823
5,0.375,llama1b_inst,a,within_A,0.91875,0.023007319154866313,0.625,0.03952847075210474
6,0.4375,llama1b_inst,a,within_A,0.9410714285714284,0.035535265610950724,0.725,0.1286953767623375
7,0.5,llama1b_inst,a,within_A,0.9696428571428571,0.019024353350591543,0.7625,0.09185586535436918
8,0.5625,llama1b_inst,a,within_A,0.9892857142857142,0.010412414097937998,0.875,0.10458250331675945
9,0.625,llama1b_inst,a,within_A,0.99375,0.0066815310478105855,0.875,0.07905694150420949
10,0.6875,llama1b_inst,a,within_A,0.9973214285714285,0.005357142857142882,0.875,0.06846531968814576
11,0.75,llama1b_inst,a,within_A,1.0,0.0,0.95,0.06123724356957945
12,0.8125,llama1b_inst,a,within_A,0.9973214285714285,0.003571428571428559,0.9125,0.03061862178478973
13,0.875,llama1b_inst,a,within_A,1.0,0.0,0.95,0.07288689868556626
14,0.9375,llama1b_inst,a,within_A,1.0,0.0,0.975,0.03061862178478973
15,1.0,llama1b_inst,a,within_A,1.0,0.0,0.95,0.024999999999999998
0,0.0625,llama1b_inst,a,within_B_clinical,0.8406862745098038,0.05412051783777064,0.4894736842105263,0.021052631578947368
1,0.125,llama1b_inst,a,within_B_clinical,0.8838031045751633,0.07290182997478245,0.6026315789473684,0.11177242411365948
2,0.1875,llama1b_inst,a,within_B_clinical,0.8969975490196077,0.07465819393503113,0.591578947368421,0.17352784029469373
3,0.25,llama1b_inst,a,within_B_clinical,0.8892258986928103,0.06226352898020319,0.6242105263157894,0.055660227648009625
4,0.3125,llama1b_inst,a,within_B_clinical,0.9267054738562092,0.060785413540831106,0.6557894736842107,0.030069172330706745
5,0.375,llama1b_inst,a,within_B_clinical,0.8953431372549019,0.047434881233502466,0.5826315789473684,0.0515574606158251
6,0.4375,llama1b_inst,a,within_B_clinical,0.8884906045751633,0.04933315182174114,0.6563157894736842,0.070683250375577
7,0.5,llama1b_inst,a,within_B_clinical,0.9171977124183007,0.02652990116499021,0.6347368421052632,0.07689255733789335
8,0.5625,llama1b_inst,a,within_B_clinical,0.9270220588235294,0.02591513377346781,0.5621052631578947,0.05593823265510073
9,0.625,llama1b_inst,a,within_B_clinical,0.9260416666666667,0.00963462513114672,0.6568421052631578,0.048283557647072484
10,0.6875,llama1b_inst,a,within_B_clinical,0.9303921568627451,0.011688263320413663,0.6657894736842105,0.07424597884034674
11,0.75,llama1b_inst,a,within_B_clinical,0.8731004901960784,0.030803714459307997,0.5410526315789473,0.0647518168388619
12,0.8125,llama1b_inst,a,within_B_clinical,0.8952103758169934,0.020709600888247682,0.5826315789473684,0.08420394711141084
13,0.875,llama1b_inst,a,within_B_clinical,0.8950265522875818,0.03948951346144372,0.5826315789473684,0.07734514508451094
14,0.9375,llama1b_inst,a,within_B_clinical,0.9179227941176471,0.03525606651506878,0.6668421052631579,0.10226791169165846
15,1.0,llama1b_inst,a,within_B_clinical,0.8976919934640524,0.04432444374996916,0.5936842105263158,0.1019695245331565
0,0.0625,llama1b_inst,a,A_to_B,0.5487351190476191,NaN,0.10416666666666667,
0,0.0625,llama1b_inst,a,B_to_A,0.53,NaN,0.1375,
1,0.125,llama1b_inst,a,A_to_B,0.5636160714285714,NaN,0.125,
1,0.125,llama1b_inst,a,B_to_A,0.5128571428571429,NaN,0.1,
2,0.1875,llama1b_inst,a,A_to_B,0.5933779761904763,NaN,0.15625,
2,0.1875,llama1b_inst,a,B_to_A,0.5441071428571428,NaN,0.1125,
3,0.25,llama1b_inst,a,A_to_B,0.603546626984127,NaN,0.17708333333333334,
3,0.25,llama1b_inst,a,B_to_A,0.5487500000000001,NaN,0.1375,
4,0.3125,llama1b_inst,a,A_to_B,0.5796130952380952,NaN,0.22916666666666666,
4,0.3125,llama1b_inst,a,B_to_A,0.5341071428571429,NaN,0.15,
5,0.375,llama1b_inst,a,A_to_B,0.5853174603174602,NaN,0.125,
5,0.375,llama1b_inst,a,B_to_A,0.5348214285714286,NaN,0.075,
6,0.4375,llama1b_inst,a,A_to_B,0.6049107142857143,NaN,0.19791666666666666,
6,0.4375,llama1b_inst,a,B_to_A,0.5158928571428572,NaN,0.0875,
7,0.5,llama1b_inst,a,A_to_B,0.5926339285714286,NaN,0.14583333333333334,
7,0.5,llama1b_inst,a,B_to_A,0.5658928571428572,NaN,0.1125,
8,0.5625,llama1b_inst,a,A_to_B,0.6987847222222223,NaN,0.3229166666666667,
8,0.5625,llama1b_inst,a,B_to_A,0.6598214285714286,NaN,0.225,
9,0.625,llama1b_inst,a,A_to_B,0.7281746031746033,NaN,0.28125,
9,0.625,llama1b_inst,a,B_to_A,0.7758928571428572,NaN,0.325,
10,0.6875,llama1b_inst,a,A_to_B,0.6770833333333333,NaN,0.23958333333333334,
10,0.6875,llama1b_inst,a,B_to_A,0.69625,NaN,0.2,
11,0.75,llama1b_inst,a,A_to_B,0.7161458333333334,NaN,0.2604166666666667,
11,0.75,llama1b_inst,a,B_to_A,0.8246428571428571,NaN,0.45,
12,0.8125,llama1b_inst,a,A_to_B,0.6493055555555556,NaN,0.23958333333333334,
12,0.8125,llama1b_inst,a,B_to_A,0.7053571428571429,NaN,0.3375,
13,0.875,llama1b_inst,a,A_to_B,0.8260168650793651,NaN,0.4479166666666667,
13,0.875,llama1b_inst,a,B_to_A,0.9342857142857143,NaN,0.5375,
14,0.9375,llama1b_inst,a,A_to_B,0.7254464285714286,NaN,0.2708333333333333,
14,0.9375,llama1b_inst,a,B_to_A,0.7326785714285715,NaN,0.275,
15,1.0,llama1b_inst,a,A_to_B,0.7248263888888888,NaN,0.2604166666666667,
15,1.0,llama1b_inst,a,B_to_A,0.7255357142857143,NaN,0.3125,
0,0.0625,llama1b_inst,m,within_A,0.7910714285714285,0.03439528622188967,0.4375,0.03952847075210474
1,0.125,llama1b_inst,m,within_A,0.7767857142857143,0.05532833351724883,0.4125,0.08477912478906585
2,0.1875,llama1b_inst,m,within_A,0.8196428571428571,0.02161378292305394,0.475,0.08477912478906585
3,0.25,llama1b_inst,m,within_A,0.8982142857142857,0.032365301714985494,0.55,0.06123724356957946
4,0.3125,llama1b_inst,m,within_A,0.8830357142857143,0.019844741759725826,0.5625,0.10458250331675945
5,0.375,llama1b_inst,m,within_A,0.8973214285714285,0.022410536425019906,0.6,0.030618621784789725
6,0.4375,llama1b_inst,m,within_A,0.9383928571428571,0.028710598555024155,0.65,0.1286953767623375
7,0.5,llama1b_inst,m,within_A,0.9455357142857143,0.030330870984755405,0.675,0.07288689868556626
8,0.5625,llama1b_inst,m,within_A,0.9883928571428571,0.010412414097938003,0.8375,0.1159202311936963
9,0.625,llama1b_inst,m,within_A,0.9928571428571429,0.006055651770647563,0.8625,0.11456439237389601
10,0.6875,llama1b_inst,m,within_A,0.9973214285714287,0.0035714285714285587,0.925,0.046770717334674264
11,0.75,llama1b_inst,m,within_A,0.9991071428571429,0.0017857142857142794,0.9,0.0637377439199098
12,0.8125,llama1b_inst,m,within_A,0.9982142857142857,0.0035714285714285587,0.9,0.1015504800579495
13,0.875,llama1b_inst,m,within_A,0.9982142857142857,0.0035714285714285587,0.925,0.07288689868556626
