layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0238,gemma9b_base,a,within_A,0.8151785714285715,0.044428054659374015,0.4375,0.03952847075210474
1,0.0476,gemma9b_base,a,within_A,0.80625,0.05913114532070872,0.425,0.046770717334674264
2,0.0714,gemma9b_base,a,within_A,0.80625,0.04846166694682824,0.475,0.075
3,0.0952,gemma9b_base,a,within_A,0.8535714285714284,0.03392857142857144,0.475,0.030618621784789725
4,0.119,gemma9b_base,a,within_A,0.9098214285714284,0.01582146888095476,0.575,0.09999999999999999
5,0.1429,gemma9b_base,a,within_A,0.8517857142857143,0.045997310258540224,0.45,0.1334634781503914
6,0.1667,gemma9b_base,a,within_A,0.9446428571428571,0.030488162641006934,0.75,0.1479019945774904
7,0.1905,gemma9b_base,a,within_A,0.8401785714285716,0.04529875319273512,0.4875,0.12119199643540823
8,0.2143,gemma9b_base,a,within_A,0.9616071428571429,0.032635119433030435,0.75,0.08838834764831845
9,0.2381,gemma9b_base,a,within_A,0.94375,0.020477401680678065,0.6625,0.08477912478906585
10,0.2619,gemma9b_base,a,within_A,0.9830357142857142,0.004374088826398544,0.8,0.07288689868556626
11,0.2857,gemma9b_base,a,within_A,0.9258928571428571,0.03720119045714222,0.575,0.07288689868556625
12,0.3095,gemma9b_base,a,within_A,0.8973214285714285,0.040128937596864735,0.6,0.1224744871391589
13,0.3333,gemma9b_base,a,within_A,0.9491071428571427,0.013716331692622508,0.675,0.024999999999999998
14,0.3571,gemma9b_base,a,within_A,0.9607142857142857,0.035647258531566334,0.7625,0.13919410907075055
15,0.381,gemma9b_base,a,within_A,0.9821428571428571,0.019764235376052378,0.8875,0.082915619758885
16,0.4048,gemma9b_base,a,within_A,0.9758928571428573,0.017541859557489756,0.825,0.046770717334674264
17,0.4286,gemma9b_base,a,within_A,0.9973214285714285,0.005357142857142838,0.95,0.09999999999999999
18,0.4524,gemma9b_base,a,within_A,0.9955357142857142,0.004890379977724721,0.9125,0.0637377439199098
19,0.4762,gemma9b_base,a,within_A,0.9892857142857142,0.013422586052118667,0.875,0.08838834764831845
20,0.5,gemma9b_base,a,within_A,0.9875,0.01631755971651522,0.8375,0.075
21,0.5238,gemma9b_base,a,within_A,0.9973214285714287,0.0035714285714285587,0.9125,0.075
22,0.5476,gemma9b_base,a,within_A,0.9973214285714287,0.0035714285714285587,0.925,0.06123724356957946
23,0.5714,gemma9b_base,a,within_A,1.0,0.0,0.9875,0.024999999999999998
24,0.5952,gemma9b_base,a,within_A,0.9982142857142857,0.0035714285714285587,0.9,0.0637377439199098
25,0.619,gemma9b_base,a,within_A,0.9964285714285716,0.0033407655239052927,0.9375,0.05590169943749474
26,0.6429,gemma9b_base,a,within_A,0.9928571428571429,0.008280016513835461,0.95,0.046770717334674264
27,0.6667,gemma9b_base,a,within_A,0.9919642857142857,0.0071428571428571175,0.9,0.075
28,0.6905,gemma9b_base,a,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.046770717334674264
29,0.7143,gemma9b_base,a,within_A,0.9982142857142857,0.0035714285714285587,0.9625,0.049999999999999996
30,0.7381,gemma9b_base,a,within_A,1.0,0.0,0.9625,0.03061862178478973
31,0.7619,gemma9b_base,a,within_A,1.0,0.0,0.975,0.049999999999999996
32,0.7857,gemma9b_base,a,within_A,1.0,0.0,0.9875,0.024999999999999998
33,0.8095,gemma9b_base,a,within_A,1.0,0.0,0.975,0.03061862178478973
34,0.8333,gemma9b_base,a,within_A,1.0,0.0,0.975,0.03061862178478973
35,0.8571,gemma9b_base,a,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.024999999999999998
36,0.881,gemma9b_base,a,within_A,0.9991071428571429,0.0017857142857142794,0.9625,0.049999999999999996
37,0.9048,gemma9b_base,a,within_A,1.0,0.0,0.9625,0.049999999999999996
38,0.9286,gemma9b_base,a,within_A,1.0,0.0,0.9625,0.049999999999999996
39,0.9524,gemma9b_base,a,within_A,1.0,0.0,0.95,0.046770717334674264
40,0.9762,gemma9b_base,a,within_A,1.0,0.0,0.9625,0.049999999999999996
41,1.0,gemma9b_base,a,within_A,1.0,0.0,0.9375,0.03952847075210474
