layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0238,gemma9b_base,h,within_A,0.825,0.02101536124274971,0.425,0.07288689868556625
1,0.0476,gemma9b_base,h,within_A,0.8348214285714286,0.052443482698530046,0.45,0.10752906583803283
2,0.0714,gemma9b_base,h,within_A,0.8196428571428571,0.05324304112812706,0.4625,0.075
3,0.0952,gemma9b_base,h,within_A,0.8196428571428569,0.05187799659404977,0.5125,0.046770717334674264
4,0.119,gemma9b_base,h,within_A,0.8919642857142858,0.029666513796135982,0.5375,0.1286953767623375
5,0.1429,gemma9b_base,h,within_A,0.875,0.04535151821142967,0.525,0.1159202311936963
6,0.1667,gemma9b_base,h,within_A,0.9178571428571429,0.038153322534324074,0.65,0.1159202311936963
7,0.1905,gemma9b_base,h,within_A,0.91875,0.041916766408233934,0.5875,0.1403121520040228
8,0.2143,gemma9b_base,h,within_A,0.9473214285714284,0.029260660014596308,0.6625,0.08477912478906585
9,0.2381,gemma9b_base,h,within_A,0.9526785714285715,0.02503186744442178,0.675,0.10752906583803283
10,0.2619,gemma9b_base,h,within_A,0.9660714285714287,0.01885599293030616,0.775,0.09354143466934853
11,0.2857,gemma9b_base,h,within_A,0.9491071428571429,0.028599316746512466,0.6875,0.14252192813739226
12,0.3095,gemma9b_base,h,within_A,0.9303571428571427,0.03836169831953725,0.6125,0.12119199643540823
13,0.3333,gemma9b_base,h,within_A,0.9446428571428571,0.024222607082590282,0.6375,0.09185586535436917
14,0.3571,gemma9b_base,h,within_A,0.9598214285714285,0.020555115059323812,0.7375,0.10752906583803283
15,0.381,gemma9b_base,h,within_A,0.98125,0.013658087982837809,0.8625,0.12747548783981963
16,0.4048,gemma9b_base,h,within_A,0.9830357142857142,0.012752550765255093,0.825,0.13919410907075053
17,0.4286,gemma9b_base,h,within_A,0.9955357142857142,0.0069160416896560765,0.95,0.06123724356957945
18,0.4524,gemma9b_base,h,within_A,0.99375,0.006055651770647566,0.9,0.05
19,0.4762,gemma9b_base,h,within_A,0.9928571428571429,0.006055651770647539,0.875,0.07905694150420949
20,0.5,gemma9b_base,h,within_A,0.9901785714285716,0.007680647559859497,0.85,0.0637377439199098
21,0.5238,gemma9b_base,h,within_A,0.9928571428571429,0.007253605718424957,0.925,0.046770717334674264
22,0.5476,gemma9b_base,h,within_A,0.9910714285714285,0.01018013772409942,0.9,0.075
23,0.5714,gemma9b_base,h,within_A,0.9946428571428572,0.006561133239597802,0.95,0.046770717334674264
24,0.5952,gemma9b_base,h,within_A,0.9973214285714285,0.005357142857142838,0.95,0.046770717334674264
25,0.619,gemma9b_base,h,within_A,0.9964285714285716,0.0071428571428571175,0.9625,0.049999999999999996
26,0.6429,gemma9b_base,h,within_A,0.9973214285714285,0.005357142857142838,0.9375,0.05590169943749474
27,0.6667,gemma9b_base,h,within_A,0.9973214285714285,0.005357142857142838,0.95,0.046770717334674264
28,0.6905,gemma9b_base,h,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.046770717334674264
29,0.7143,gemma9b_base,h,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.046770717334674264
30,0.7381,gemma9b_base,h,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.046770717334674264
31,0.7619,gemma9b_base,h,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.046770717334674264
32,0.7857,gemma9b_base,h,within_A,1.0,0.0,0.9375,0.0
33,0.8095,gemma9b_base,h,within_A,1.0,0.0,0.9625,0.03061862178478973
34,0.8333,gemma9b_base,h,within_A,1.0,0.0,0.9375,0.0
35,0.8571,gemma9b_base,h,within_A,1.0,0.0,0.95,0.025
36,0.881,gemma9b_base,h,within_A,1.0,0.0,0.95,0.025
37,0.9048,gemma9b_base,h,within_A,1.0,0.0,0.9375,0.03952847075210474
38,0.9286,gemma9b_base,h,within_A,1.0,0.0,0.95,0.025
39,0.9524,gemma9b_base,h,within_A,1.0,0.0,0.95,0.025
40,0.9762,gemma9b_base,h,within_A,1.0,0.0,0.9375,0.03952847075210474
41,1.0,gemma9b_base,h,within_A,1.0,0.0,0.925,0.024999999999999998
