layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0238,gemma9b_base,m,within_A,0.7125,0.0277504826212858,0.3625,0.06123724356957945
1,0.0476,gemma9b_base,m,within_A,0.8098214285714287,0.06896418399045541,0.5,0.07905694150420949
2,0.0714,gemma9b_base,m,within_A,0.782142857142857,0.05642687610473201,0.4125,0.1159202311936963
3,0.0952,gemma9b_base,m,within_A,0.7660714285714286,0.05742119711004832,0.4125,0.1015504800579495
4,0.119,gemma9b_base,m,within_A,0.8964285714285716,0.027286976410600197,0.6,0.08477912478906585
5,0.1429,gemma9b_base,m,within_A,0.8803571428571428,0.04105201404490232,0.5375,0.1457737973711325
6,0.1667,gemma9b_base,m,within_A,0.925,0.03631196322796918,0.6125,0.1334634781503914
7,0.1905,gemma9b_base,m,within_A,0.9035714285714285,0.03453407072466734,0.575,0.10752906583803283
8,0.2143,gemma9b_base,m,within_A,0.9491071428571429,0.03275702915686453,0.6625,0.0637377439199098
9,0.2381,gemma9b_base,m,within_A,0.9491071428571429,0.03287848685628925,0.7,0.10752906583803283
10,0.2619,gemma9b_base,m,within_A,0.9767857142857144,0.01422980129509752,0.7875,0.10897247358851683
11,0.2857,gemma9b_base,m,within_A,0.9428571428571428,0.028986934072764165,0.6625,0.1286953767623375
12,0.3095,gemma9b_base,m,within_A,0.9214285714285714,0.034534070724667354,0.6125,0.10752906583803283
13,0.3333,gemma9b_base,m,within_A,0.9321428571428572,0.027577580734786597,0.6,0.08477912478906585
14,0.3571,gemma9b_base,m,within_A,0.9517857142857142,0.022833414022400744,0.6125,0.12747548783981963
15,0.381,gemma9b_base,m,within_A,0.9705357142857143,0.021053260933127874,0.7375,0.09185586535436918
16,0.4048,gemma9b_base,m,within_A,0.9598214285714286,0.02328286573286661,0.725,0.1015504800579495
17,0.4286,gemma9b_base,m,within_A,0.9955357142857142,0.0056469243931578,0.95,0.07288689868556626
18,0.4524,gemma9b_base,m,within_A,0.9973214285714287,0.0035714285714285587,0.9125,0.0637377439199098
19,0.4762,gemma9b_base,m,within_A,0.99375,0.0066815310478105855,0.9,0.075
20,0.5,gemma9b_base,m,within_A,0.9910714285714286,0.007470178808339934,0.8375,0.08477912478906585
21,0.5238,gemma9b_base,m,within_A,0.9901785714285714,0.009533105582170787,0.9125,0.0637377439199098
22,0.5476,gemma9b_base,m,within_A,0.9919642857142857,0.009942436362196433,0.875,0.08838834764831845
23,0.5714,gemma9b_base,m,within_A,0.99375,0.0066815310478105855,0.9,0.049999999999999996
24,0.5952,gemma9b_base,m,within_A,0.9946428571428572,0.008656571173957742,0.9125,0.08477912478906585
25,0.619,gemma9b_base,m,within_A,0.9973214285714285,0.005357142857142838,0.9625,0.049999999999999996
26,0.6429,gemma9b_base,m,within_A,0.9982142857142857,0.0021870444131992586,0.95,0.046770717334674264
27,0.6667,gemma9b_base,m,within_A,0.9955357142857142,0.0069160416896560765,0.9375,0.05590169943749474
28,0.6905,gemma9b_base,m,within_A,0.9973214285714287,0.002187044413199258,0.9375,0.05590169943749474
29,0.7143,gemma9b_base,m,within_A,0.9982142857142857,0.002187044413199258,0.95,0.046770717334674264
30,0.7381,gemma9b_base,m,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.06123724356957946
31,0.7619,gemma9b_base,m,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.046770717334674264
32,0.7857,gemma9b_base,m,within_A,1.0,0.0,0.9375,0.0
33,0.8095,gemma9b_base,m,within_A,1.0,0.0,0.9375,0.03952847075210474
34,0.8333,gemma9b_base,m,within_A,1.0,0.0,0.925,0.06123724356957946
35,0.8571,gemma9b_base,m,within_A,1.0,0.0,0.95,0.046770717334674264
36,0.881,gemma9b_base,m,within_A,1.0,0.0,0.9375,0.03952847075210474
37,0.9048,gemma9b_base,m,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.046770717334674264
38,0.9286,gemma9b_base,m,within_A,1.0,0.0,0.9375,0.03952847075210474
39,0.9524,gemma9b_base,m,within_A,1.0,0.0,0.95,0.046770717334674264
40,0.9762,gemma9b_base,m,within_A,1.0,0.0,0.925,0.04677071733467427
41,1.0,gemma9b_base,m,within_A,1.0,0.0,0.9375,0.03952847075210474
