layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0238,gemma9b_base,a,within_B_clinical,0.8497344771241829,0.024266184402920152,0.5010526315789473,0.060505717318736475
1,0.0476,gemma9b_base,a,within_B_clinical,0.89015522875817,0.05778016606532695,0.5621052631578947,0.09888015634372528
2,0.0714,gemma9b_base,a,within_B_clinical,0.8935559640522875,0.029113482134477328,0.5615789473684212,0.09496463841070767
3,0.0952,gemma9b_base,a,within_B_clinical,0.905953839869281,0.053332680426031454,0.6047368421052631,0.13745208180396454
4,0.119,gemma9b_base,a,within_B_clinical,0.9298508986928103,0.034430065332723754,0.6057894736842105,0.09903131936951298
5,0.1429,gemma9b_base,a,within_B_clinical,0.89484272875817,0.051293039814400594,0.5105263157894736,0.07735230766683722
6,0.1667,gemma9b_base,a,within_B_clinical,0.9243872549019608,0.030703451769660956,0.5926315789473685,0.14113116431237363
7,0.1905,gemma9b_base,a,within_B_clinical,0.898845996732026,0.039200417864402023,0.52,0.0811550958627216
8,0.2143,gemma9b_base,a,within_B_clinical,0.946017156862745,0.021097170549054564,0.6663157894736842,0.0984984216024386
9,0.2381,gemma9b_base,a,within_B_clinical,0.925030637254902,0.03404646884835352,0.6147368421052631,0.07001384904554059
10,0.2619,gemma9b_base,a,within_B_clinical,0.9398794934640522,0.035111886244494635,0.6984210526315789,0.05793300170870322
11,0.2857,gemma9b_base,a,within_B_clinical,0.9159722222222222,0.015776206461443426,0.6042105263157895,0.08489197959434083
12,0.3095,gemma9b_base,a,within_B_clinical,0.9437908496732026,0.019314040197730708,0.6547368421052632,0.12950363367772377
13,0.3333,gemma9b_base,a,within_B_clinical,0.9307700163398692,0.030488257654942223,0.6652631578947368,0.16675491661737138
14,0.3571,gemma9b_base,a,within_B_clinical,0.9452410130718955,0.020867361955200486,0.728421052631579,0.06364722719086728
15,0.381,gemma9b_base,a,within_B_clinical,0.9521139705882353,0.011780253589781596,0.6978947368421052,0.0696329911938578
16,0.4048,gemma9b_base,a,within_B_clinical,0.9531352124183007,0.014010767981659704,0.6663157894736842,0.05526065157223867
17,0.4286,gemma9b_base,a,within_B_clinical,0.9834252450980392,0.008963373860231709,0.8436842105263158,0.03343658984056545
18,0.4524,gemma9b_base,a,within_B_clinical,0.9805249183006536,0.008110782081057356,0.801578947368421,0.041160452202141366
19,0.4762,gemma9b_base,a,within_B_clinical,0.9873468137254902,0.011341413546646782,0.8326315789473684,0.10272735072636506
20,0.5,gemma9b_base,a,within_B_clinical,0.9903696895424836,0.004043472872281314,0.8547368421052631,0.05932211706781207
21,0.5238,gemma9b_base,a,within_B_clinical,0.9775735294117647,0.01625120834755596,0.8331578947368421,0.07763113291575702
22,0.5476,gemma9b_base,a,within_B_clinical,0.9786458333333334,0.017730634661316576,0.8647368421052631,0.041428776114009316
23,0.5714,gemma9b_base,a,within_B_clinical,0.9859477124183007,0.010835101493142395,0.844736842105263,0.07080854761617741
24,0.5952,gemma9b_base,a,within_B_clinical,0.9791768790849673,0.014732042590577765,0.8231578947368423,0.07058128258627455
25,0.619,gemma9b_base,a,within_B_clinical,0.9785845588235293,0.014285110860649219,0.8126315789473685,0.05300917184005968
26,0.6429,gemma9b_base,a,within_B_clinical,0.9750102124183005,0.012043277625231085,0.7710526315789474,0.07788762414183548
27,0.6667,gemma9b_base,a,within_B_clinical,0.9889093137254902,0.009726351367480138,0.8536842105263158,0.04055023217738574
28,0.6905,gemma9b_base,a,within_B_clinical,0.9805453431372548,0.0217817739392811,0.8536842105263158,0.0910632789637144
29,0.7143,gemma9b_base,a,within_B_clinical,0.9738970588235294,0.027558649307402625,0.8336842105263157,0.037305358203514404
30,0.7381,gemma9b_base,a,within_B_clinical,0.9610906862745099,0.01944826299902782,0.7715789473684211,0.06786004825804713
31,0.7619,gemma9b_base,a,within_B_clinical,0.982751225490196,0.012795080160624278,0.8531578947368421,0.08480709738761855
32,0.7857,gemma9b_base,a,within_B_clinical,0.9838337418300653,0.017520700562582595,0.8547368421052631,0.04910275279869724
33,0.8095,gemma9b_base,a,within_B_clinical,0.965982434640523,0.021245939184318562,0.781578947368421,0.03684210526315789
34,0.8333,gemma9b_base,a,within_B_clinical,0.9793198529411764,0.021180737743526613,0.8021052631578947,0.03904681471787664
35,0.8571,gemma9b_base,a,within_B_clinical,0.9744485294117646,0.03163589945684304,0.811578947368421,0.12349481579842074
36,0.881,gemma9b_base,a,within_B_clinical,0.978890931372549,0.017597469558342346,0.8326315789473684,0.062487671914340355
37,0.9048,gemma9b_base,a,within_B_clinical,0.9801164215686274,0.024667347532511374,0.8642105263157894,0.0718878782272163
38,0.9286,gemma9b_base,a,within_B_clinical,0.9763786764705881,0.023119945193463387,0.7910526315789473,0.08260978592940389
39,0.9524,gemma9b_base,a,within_B_clinical,0.9814950980392156,0.021835874619332188,0.8857894736842106,0.050361573532234465
40,0.9762,gemma9b_base,a,within_B_clinical,0.974234068627451,0.02488933328468664,0.811578947368421,0.0726544586388943
41,1.0,gemma9b_base,a,within_B_clinical,0.9830575980392157,0.01551939514210206,0.8636842105263158,0.07201877256040978
