layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0238,gemma9b_base,h,within_B_clinical,0.8427491830065359,0.03024630739488166,0.5205263157894737,0.05337371509089357
1,0.0476,gemma9b_base,h,within_B_clinical,0.8913500816993464,0.05139269405093364,0.5731578947368421,0.0888273871570096
2,0.0714,gemma9b_base,h,within_B_clinical,0.9008680555555557,0.03958342555062542,0.6236842105263157,0.08791206888678983
3,0.0952,gemma9b_base,h,within_B_clinical,0.9093852124183005,0.045003180885300295,0.6136842105263158,0.09447918177817631
4,0.119,gemma9b_base,h,within_B_clinical,0.9078227124183007,0.0404555306233352,0.5736842105263158,0.12718995761678498
5,0.1429,gemma9b_base,h,within_B_clinical,0.9061172385620914,0.05244436854807416,0.5526315789473684,0.08806947647727112
6,0.1667,gemma9b_base,h,within_B_clinical,0.9259599673202615,0.04456305481613436,0.5731578947368421,0.11100647581618918
7,0.1905,gemma9b_base,h,within_B_clinical,0.9203941993464053,0.043819748331143285,0.5936842105263158,0.12624559453107326
8,0.2143,gemma9b_base,h,within_B_clinical,0.9448835784313726,0.027472650432211213,0.6457894736842106,0.09635460822563593
9,0.2381,gemma9b_base,h,within_B_clinical,0.9257761437908497,0.029436090697038293,0.6352631578947369,0.11554519687453747
10,0.2619,gemma9b_base,h,within_B_clinical,0.934752859477124,0.025268284288308365,0.6773684210526316,0.06796609876782285
11,0.2857,gemma9b_base,h,within_B_clinical,0.9319546568627451,0.026553575886292542,0.6657894736842105,0.08136644649337005
12,0.3095,gemma9b_base,h,within_B_clinical,0.9367238562091504,0.02003757148109598,0.6868421052631579,0.07645178445438922
13,0.3333,gemma9b_base,h,within_B_clinical,0.9333333333333332,0.023028212980802463,0.6342105263157894,0.07824246709115004
14,0.3571,gemma9b_base,h,within_B_clinical,0.9431985294117646,0.021664113989344022,0.6868421052631579,0.060239595485576815
15,0.381,gemma9b_base,h,within_B_clinical,0.9564236111111111,0.025391830411560946,0.6768421052631578,0.08483975444046268
16,0.4048,gemma9b_base,h,within_B_clinical,0.9565257352941178,0.02287567110130878,0.718421052631579,0.0983239036435232
17,0.4286,gemma9b_base,h,within_B_clinical,0.9809436274509805,0.011336032721178627,0.7810526315789474,0.04016586111229246
18,0.4524,gemma9b_base,h,within_B_clinical,0.9872651143790849,0.010406529413096784,0.8221052631578948,0.06440866754011941
19,0.4762,gemma9b_base,h,within_B_clinical,0.9844464869281044,0.009673246603580864,0.8226315789473684,0.07925553888034133
20,0.5,gemma9b_base,h,within_B_clinical,0.9892565359477125,0.006299795756799156,0.8126315789473685,0.07089456101255888
21,0.5238,gemma9b_base,h,within_B_clinical,0.9889501633986928,0.008866743626833932,0.8442105263157895,0.06502503246939159
22,0.5476,gemma9b_base,h,within_B_clinical,0.986703431372549,0.011733468665868179,0.874736842105263,0.07173357910484557
23,0.5714,gemma9b_base,h,within_B_clinical,0.9869178921568628,0.013301509202298178,0.8536842105263156,0.07795161508030997
24,0.5952,gemma9b_base,h,within_B_clinical,0.9856924019607842,0.012582030914059036,0.8336842105263157,0.07631397457007097
25,0.619,gemma9b_base,h,within_B_clinical,0.9856311274509804,0.012362198790428165,0.8231578947368421,0.0525894568286181
26,0.6429,gemma9b_base,h,within_B_clinical,0.9877144607843137,0.011132922501640262,0.8436842105263158,0.06664912049800728
27,0.6667,gemma9b_base,h,within_B_clinical,0.9871629901960783,0.012859401536493772,0.8331578947368421,0.07013244296890492
28,0.6905,gemma9b_base,h,within_B_clinical,0.9861213235294116,0.012330343768564669,0.8231578947368421,0.07058128258627455
29,0.7143,gemma9b_base,h,within_B_clinical,0.9814031862745098,0.016300516848524422,0.8226315789473684,0.05438143727616628
30,0.7381,gemma9b_base,h,within_B_clinical,0.9810968137254902,0.015131702667100504,0.8331578947368421,0.07013244296890492
31,0.7619,gemma9b_base,h,within_B_clinical,0.982781862745098,0.016397544249680263,0.8331578947368421,0.07013244296890492
32,0.7857,gemma9b_base,h,within_B_clinical,0.9818014705882353,0.017038666304547298,0.8331578947368421,0.0519855083152242
33,0.8095,gemma9b_base,h,within_B_clinical,0.9778186274509804,0.01794318117349204,0.8636842105263158,0.07933937762615272
34,0.8333,gemma9b_base,h,within_B_clinical,0.9785539215686274,0.017702130588143045,0.8636842105263158,0.07933937762615272
35,0.8571,gemma9b_base,h,within_B_clinical,0.9792892156862745,0.01671104287254174,0.8426315789473684,0.07518030036071198
36,0.881,gemma9b_base,h,within_B_clinical,0.9792892156862745,0.01671104287254174,0.8326315789473684,0.062487671914340355
37,0.9048,gemma9b_base,h,within_B_clinical,0.9772977941176471,0.019135265181916782,0.853157894736842,0.07054202495901687
38,0.9286,gemma9b_base,h,within_B_clinical,0.9758272058823529,0.02131820244200989,0.843157894736842,0.05864584537761736
39,0.9524,gemma9b_base,h,within_B_clinical,0.9768075980392157,0.018570473278109328,0.843157894736842,0.05864584537761736
40,0.9762,gemma9b_base,h,within_B_clinical,0.9758272058823529,0.02131820244200989,0.843157894736842,0.05864584537761736
41,1.0,gemma9b_base,h,within_B_clinical,0.9763480392156862,0.021015147034182745,0.843157894736842,0.05864584537761736
