layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0238,gemma9b_inst,a,within_A,0.8330357142857142,0.030225555142519223,0.375,0.05590169943749474
1,0.0476,gemma9b_inst,a,within_A,0.8428571428571429,0.03696471704372224,0.5125,0.12119199643540822
2,0.0714,gemma9b_inst,a,within_A,0.7866071428571428,0.05085368166392195,0.4,0.0637377439199098
3,0.0952,gemma9b_inst,a,within_A,0.8776785714285713,0.03998963513671196,0.525,0.1015504800579495
4,0.119,gemma9b_inst,a,within_A,0.8589285714285715,0.055227382479257535,0.5,0.05590169943749474
5,0.1429,gemma9b_inst,a,within_A,0.8151785714285715,0.02901442287369982,0.45,0.07288689868556625
6,0.1667,gemma9b_inst,a,within_A,0.9339285714285713,0.009533105582170812,0.65,0.05
7,0.1905,gemma9b_inst,a,within_A,0.7794642857142857,0.058657384663060134,0.425,0.10752906583803283
8,0.2143,gemma9b_inst,a,within_A,0.9571428571428571,0.023214285714285715,0.725,0.08477912478906585
9,0.2381,gemma9b_inst,a,within_A,0.9214285714285715,0.02996064595636164,0.6625,0.05
10,0.2619,gemma9b_inst,a,within_A,0.9767857142857143,0.005206207048969045,0.7375,0.1
11,0.2857,gemma9b_inst,a,within_A,0.9196428571428571,0.028655011671216476,0.6,0.06373774391990981
12,0.3095,gemma9b_inst,a,within_A,0.9508928571428571,0.017174450055063684,0.75,0.05590169943749474
13,0.3333,gemma9b_inst,a,within_A,0.9348214285714285,0.06304608372824905,0.75,0.07905694150420949
14,0.3571,gemma9b_inst,a,within_A,0.9455357142857143,0.03427920325080801,0.7125,0.1286953767623375
15,0.381,gemma9b_inst,a,within_A,0.9750000000000002,0.013422586052118674,0.75,0.06846531968814576
16,0.4048,gemma9b_inst,a,within_A,0.9955357142857142,0.0056469243931578,0.875,0.07905694150420949
17,0.4286,gemma9b_inst,a,within_A,1.0,0.0,0.9875,0.024999999999999998
18,0.4524,gemma9b_inst,a,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.046770717334674264
19,0.4762,gemma9b_inst,a,within_A,0.9982142857142857,0.002187044413199258,0.95,0.025
20,0.5,gemma9b_inst,a,within_A,0.99375,0.010412414097937998,0.925,0.06123724356957946
21,0.5238,gemma9b_inst,a,within_A,0.99375,0.0066815310478105855,0.9125,0.09354143466934853
22,0.5476,gemma9b_inst,a,within_A,0.9928571428571429,0.01428571428571428,0.9125,0.0637377439199098
23,0.5714,gemma9b_inst,a,within_A,0.9955357142857142,0.005646924393157835,0.925,0.07288689868556625
24,0.5952,gemma9b_inst,a,within_A,0.9919642857142857,0.0071428571428571175,0.925,0.06123724356957946
25,0.619,gemma9b_inst,a,within_A,0.9892857142857142,0.012176947943737365,0.9,0.0637377439199098
26,0.6429,gemma9b_inst,a,within_A,0.9866071428571429,0.018298126367784974,0.8875,0.09999999999999999
27,0.6667,gemma9b_inst,a,within_A,0.9955357142857142,0.0069160416896560765,0.9375,0.05590169943749474
28,0.6905,gemma9b_inst,a,within_A,0.9946428571428572,0.0071428571428571175,0.925,0.06123724356957945
29,0.7143,gemma9b_inst,a,within_A,0.99375,0.006681531047810586,0.9375,0.05590169943749474
30,0.7381,gemma9b_inst,a,within_A,0.9973214285714285,0.005357142857142838,0.9375,0.05590169943749474
31,0.7619,gemma9b_inst,a,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.06123724356957946
32,0.7857,gemma9b_inst,a,within_A,0.9973214285714285,0.005357142857142838,0.95,0.07288689868556626
33,0.8095,gemma9b_inst,a,within_A,0.9982142857142857,0.0035714285714285587,0.975,0.049999999999999996
34,0.8333,gemma9b_inst,a,within_A,1.0,0.0,0.975,0.049999999999999996
35,0.8571,gemma9b_inst,a,within_A,0.9964285714285713,0.005206207048968999,0.9375,0.07905694150420949
36,0.881,gemma9b_inst,a,within_A,0.9982142857142857,0.0035714285714285587,0.9625,0.049999999999999996
37,0.9048,gemma9b_inst,a,within_A,0.9991071428571429,0.0017857142857142794,0.975,0.049999999999999996
38,0.9286,gemma9b_inst,a,within_A,0.9982142857142857,0.0035714285714285587,0.975,0.049999999999999996
39,0.9524,gemma9b_inst,a,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.046770717334674264
40,0.9762,gemma9b_inst,a,within_A,0.9991071428571429,0.0017857142857142794,0.975,0.049999999999999996
41,1.0,gemma9b_inst,a,within_A,1.0,0.0,0.975,0.049999999999999996
