layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0238,gemma9b_inst,h,within_A,0.8285714285714285,0.01660810289083772,0.3625,0.024999999999999998
1,0.0476,gemma9b_inst,h,within_A,0.8571428571428571,0.02412367158233271,0.5125,0.046770717334674264
2,0.0714,gemma9b_inst,h,within_A,0.8196428571428571,0.04388644902658751,0.4625,0.1015504800579495
3,0.0952,gemma9b_inst,h,within_A,0.8482142857142858,0.05357142857142858,0.525,0.08477912478906585
4,0.119,gemma9b_inst,h,within_A,0.85,0.049599801472611255,0.5,0.06846531968814576
5,0.1429,gemma9b_inst,h,within_A,0.8348214285714285,0.02328286573286659,0.4375,0.08838834764831845
6,0.1667,gemma9b_inst,h,within_A,0.8991071428571429,0.015618621146907073,0.575,0.06123724356957946
7,0.1905,gemma9b_inst,h,within_A,0.8758928571428571,0.03404584993738858,0.5125,0.06123724356957946
8,0.2143,gemma9b_inst,h,within_A,0.9294642857142857,0.031109377482472014,0.6,0.10897247358851683
9,0.2381,gemma9b_inst,h,within_A,0.9357142857142857,0.03335989587905251,0.6625,0.03061862178478973
10,0.2619,gemma9b_inst,h,within_A,0.9535714285714285,0.03201860906614487,0.7625,0.07288689868556625
11,0.2857,gemma9b_inst,h,within_A,0.9446428571428571,0.03555769241382122,0.725,0.09354143466934853
12,0.3095,gemma9b_inst,h,within_A,0.95,0.028986934072764155,0.7125,0.08477912478906585
13,0.3333,gemma9b_inst,h,within_A,0.9517857142857142,0.038444732395733906,0.725,0.09354143466934853
14,0.3571,gemma9b_inst,h,within_A,0.9580357142857142,0.02831919915563164,0.7,0.1
15,0.381,gemma9b_inst,h,within_A,0.9642857142857144,0.017174450055063736,0.6875,0.08838834764831845
16,0.4048,gemma9b_inst,h,within_A,0.9848214285714286,0.007253605718424939,0.775,0.08477912478906585
17,0.4286,gemma9b_inst,h,within_A,0.9982142857142857,0.0035714285714285587,0.9375,0.05590169943749474
18,0.4524,gemma9b_inst,h,within_A,0.9982142857142857,0.0035714285714285587,0.975,0.03061862178478973
19,0.4762,gemma9b_inst,h,within_A,0.9982142857142857,0.0035714285714285587,0.975,0.03061862178478973
20,0.5,gemma9b_inst,h,within_A,0.9982142857142857,0.0035714285714285587,0.925,0.04677071733467427
21,0.5238,gemma9b_inst,h,within_A,1.0,0.0,0.9,0.049999999999999996
22,0.5476,gemma9b_inst,h,within_A,0.9982142857142857,0.0035714285714285587,0.9375,0.06846531968814576
23,0.5714,gemma9b_inst,h,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.046770717334674264
24,0.5952,gemma9b_inst,h,within_A,0.9982142857142857,0.0035714285714285587,0.925,0.07288689868556626
25,0.619,gemma9b_inst,h,within_A,0.9973214285714287,0.0035714285714285587,0.9375,0.05590169943749474
26,0.6429,gemma9b_inst,h,within_A,0.99375,0.006681531047810586,0.9,0.08477912478906585
27,0.6667,gemma9b_inst,h,within_A,0.9928571428571429,0.006055651770647539,0.9,0.08477912478906585
28,0.6905,gemma9b_inst,h,within_A,0.9964285714285716,0.0071428571428571175,0.9375,0.05590169943749474
29,0.7143,gemma9b_inst,h,within_A,0.9955357142857142,0.0069160416896560765,0.925,0.07288689868556626
30,0.7381,gemma9b_inst,h,within_A,0.9955357142857142,0.0069160416896560765,0.9375,0.05590169943749474
31,0.7619,gemma9b_inst,h,within_A,0.9973214285714285,0.005357142857142838,0.925,0.07288689868556626
32,0.7857,gemma9b_inst,h,within_A,0.9973214285714285,0.005357142857142838,0.9375,0.07905694150420949
33,0.8095,gemma9b_inst,h,within_A,0.9973214285714285,0.005357142857142838,0.9625,0.049999999999999996
34,0.8333,gemma9b_inst,h,within_A,0.9973214285714285,0.005357142857142838,0.9625,0.049999999999999996
35,0.8571,gemma9b_inst,h,within_A,0.9973214285714285,0.005357142857142838,0.9625,0.049999999999999996
36,0.881,gemma9b_inst,h,within_A,0.9973214285714285,0.005357142857142838,0.9625,0.049999999999999996
37,0.9048,gemma9b_inst,h,within_A,0.9973214285714285,0.005357142857142838,0.95,0.046770717334674264
38,0.9286,gemma9b_inst,h,within_A,0.9973214285714285,0.005357142857142838,0.95,0.046770717334674264
39,0.9524,gemma9b_inst,h,within_A,0.9964285714285716,0.0071428571428571175,0.9625,0.049999999999999996
40,0.9762,gemma9b_inst,h,within_A,0.9964285714285716,0.0071428571428571175,0.9625,0.049999999999999996
41,1.0,gemma9b_inst,h,within_A,0.9964285714285716,0.0071428571428571175,0.95,0.04677071733467427
