layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0238,gemma9b_inst,m,within_A,0.7410714285714286,0.053048038491117645,0.4125,0.03061862178478973
1,0.0476,gemma9b_inst,m,within_A,0.80625,0.05913114532070876,0.5375,0.09354143466934853
2,0.0714,gemma9b_inst,m,within_A,0.7428571428571429,0.04268940388529252,0.325,0.06123724356957945
3,0.0952,gemma9b_inst,m,within_A,0.7875,0.0829252337214379,0.4625,0.08477912478906585
4,0.119,gemma9b_inst,m,within_A,0.8473214285714287,0.024189673543114423,0.4875,0.07288689868556625
5,0.1429,gemma9b_inst,m,within_A,0.8089285714285716,0.032610682799553016,0.4,0.08477912478906585
6,0.1667,gemma9b_inst,m,within_A,0.9080357142857143,0.020671137326411154,0.5625,0.03952847075210474
7,0.1905,gemma9b_inst,m,within_A,0.85625,0.03110937748247206,0.4875,0.046770717334674264
8,0.2143,gemma9b_inst,m,within_A,0.9294642857142857,0.03345534641999141,0.55,0.12119199643540823
9,0.2381,gemma9b_inst,m,within_A,0.9080357142857143,0.058657384663060155,0.575,0.07288689868556625
10,0.2619,gemma9b_inst,m,within_A,0.9482142857142858,0.03464929984273621,0.7375,0.082915619758885
11,0.2857,gemma9b_inst,m,within_A,0.9383928571428573,0.03802774899829797,0.7,0.10752906583803283
12,0.3095,gemma9b_inst,m,within_A,0.9526785714285715,0.02789374884252376,0.7125,0.075
13,0.3333,gemma9b_inst,m,within_A,0.93125,0.04415808221027943,0.6375,0.10752906583803283
14,0.3571,gemma9b_inst,m,within_A,0.9517857142857142,0.03519714882933399,0.7,0.18708286933869706
15,0.381,gemma9b_inst,m,within_A,0.9526785714285715,0.031516718919147875,0.7125,0.075
16,0.4048,gemma9b_inst,m,within_A,0.9660714285714287,0.024549512651549154,0.725,0.15103807466993216
17,0.4286,gemma9b_inst,m,within_A,0.9982142857142857,0.0035714285714285587,0.9375,0.05590169943749474
18,0.4524,gemma9b_inst,m,within_A,0.9982142857142857,0.0035714285714285587,0.975,0.03061862178478973
19,0.4762,gemma9b_inst,m,within_A,0.9982142857142857,0.0035714285714285587,0.9625,0.030618621784789725
20,0.5,gemma9b_inst,m,within_A,0.9964285714285716,0.004374088826398516,0.875,0.03952847075210474
21,0.5238,gemma9b_inst,m,within_A,0.9982142857142857,0.0035714285714285587,0.925,0.06123724356957946
22,0.5476,gemma9b_inst,m,within_A,0.9982142857142857,0.0035714285714285587,0.95,0.07288689868556626
23,0.5714,gemma9b_inst,m,within_A,0.9973214285714285,0.005357142857142838,0.9125,0.0637377439199098
24,0.5952,gemma9b_inst,m,within_A,0.99375,0.008748177652797033,0.9375,0.09682458365518543
25,0.619,gemma9b_inst,m,within_A,0.9982142857142857,0.0035714285714285587,0.925,0.07288689868556626
26,0.6429,gemma9b_inst,m,within_A,0.9973214285714287,0.0035714285714285587,0.9,0.075
27,0.6667,gemma9b_inst,m,within_A,0.9901785714285716,0.01033556866320555,0.9,0.075
28,0.6905,gemma9b_inst,m,within_A,0.9901785714285716,0.013363062095621216,0.9125,0.075
29,0.7143,gemma9b_inst,m,within_A,0.9892857142857144,0.012814910798577965,0.8875,0.07288689868556626
30,0.7381,gemma9b_inst,m,within_A,0.9883928571428571,0.013122266479195592,0.8625,0.07288689868556626
31,0.7619,gemma9b_inst,m,within_A,0.9928571428571429,0.0066815310478105855,0.9125,0.06373774391990981
32,0.7857,gemma9b_inst,m,within_A,0.9973214285714287,0.002187044413199258,0.85,0.049999999999999996
33,0.8095,gemma9b_inst,m,within_A,0.9964285714285716,0.0071428571428571175,0.925,0.04677071733467427
34,0.8333,gemma9b_inst,m,within_A,0.9964285714285716,0.0071428571428571175,0.925,0.07288689868556625
35,0.8571,gemma9b_inst,m,within_A,0.9919642857142857,0.01394687442126188,0.9,0.0637377439199098
36,0.881,gemma9b_inst,m,within_A,0.9964285714285716,0.0071428571428571175,0.95,0.046770717334674264
37,0.9048,gemma9b_inst,m,within_A,0.9973214285714285,0.005357142857142838,0.95,0.046770717334674264
38,0.9286,gemma9b_inst,m,within_A,0.9955357142857142,0.0069160416896560765,0.9125,0.049999999999999996
39,0.9524,gemma9b_inst,m,within_A,0.9982142857142857,0.0035714285714285587,0.9375,0.05590169943749474
40,0.9762,gemma9b_inst,m,within_A,0.9982142857142857,0.0035714285714285587,0.9375,0.05590169943749474
41,1.0,gemma9b_inst,m,within_A,0.9964285714285716,0.0071428571428571175,0.9625,0.049999999999999996
