layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0238,gemma9b_inst,a,within_B_clinical,0.8419321895424836,0.02249892403630315,0.47736842105263155,0.12498864214327617
1,0.0476,gemma9b_inst,a,within_B_clinical,0.8500612745098041,0.05381374301633287,0.5521052631578948,0.09705354492092216
2,0.0714,gemma9b_inst,a,within_B_clinical,0.8744995915032681,0.040629980109910015,0.5205263157894737,0.0629029943929628
3,0.0952,gemma9b_inst,a,within_B_clinical,0.9001225490196078,0.05603326943322676,0.6047368421052631,0.06699733322513497
4,0.119,gemma9b_inst,a,within_B_clinical,0.890359477124183,0.03844298535785832,0.541578947368421,0.1020075495549471
5,0.1429,gemma9b_inst,a,within_B_clinical,0.8901245915032678,0.05882611260043842,0.5536842105263158,0.12764215908399257
6,0.1667,gemma9b_inst,a,within_B_clinical,0.9086090686274509,0.04236165274989187,0.5926315789473684,0.09972816237749062
7,0.1905,gemma9b_inst,a,within_B_clinical,0.8595996732026144,0.04338923039244362,0.51,0.15203513225713067
8,0.2143,gemma9b_inst,a,within_B_clinical,0.933782679738562,0.02824593920714988,0.6263157894736843,0.07517293082676683
9,0.2381,gemma9b_inst,a,within_B_clinical,0.909875408496732,0.03122191992077763,0.5815789473684211,0.1092659973264563
10,0.2619,gemma9b_inst,a,within_B_clinical,0.9146037581699347,0.031640811131138466,0.6657894736842105,0.06636589585746575
11,0.2857,gemma9b_inst,a,within_B_clinical,0.9344771241830065,0.01938333135259276,0.6136842105263157,0.09447918177817631
12,0.3095,gemma9b_inst,a,within_B_clinical,0.9251940359477124,0.04131371943964881,0.6352631578947368,0.1374440203346867
13,0.3333,gemma9b_inst,a,within_B_clinical,0.9299428104575164,0.02987021498138565,0.6552631578947368,0.07461814146714643
14,0.3571,gemma9b_inst,a,within_B_clinical,0.9360396241830065,0.03346641731631371,0.6352631578947369,0.10013287570914925
15,0.381,gemma9b_inst,a,within_B_clinical,0.9330575980392156,0.027821765230743246,0.6657894736842105,0.12443779386880935
16,0.4048,gemma9b_inst,a,within_B_clinical,0.9434027777777778,0.024385249114206167,0.6978947368421053,0.06116142756351138
17,0.4286,gemma9b_inst,a,within_B_clinical,0.973968545751634,0.008525773059088117,0.8221052631578948,0.0644086675401194
18,0.4524,gemma9b_inst,a,within_B_clinical,0.9774101307189541,0.012492530354467414,0.7810526315789474,0.05216636502468995
19,0.4762,gemma9b_inst,a,within_B_clinical,0.9833537581699346,0.011284930165475377,0.8021052631578949,0.020411283610173993
20,0.5,gemma9b_inst,a,within_B_clinical,0.9772671568627451,0.005686162260132742,0.7910526315789473,0.05916313893219533
21,0.5238,gemma9b_inst,a,within_B_clinical,0.9854779411764707,0.00876643171394117,0.874736842105263,0.05412614792497868
22,0.5476,gemma9b_inst,a,within_B_clinical,0.9836499183006536,0.012231919489991295,0.8126315789473683,0.07089456101255888
23,0.5714,gemma9b_inst,a,within_B_clinical,0.9875408496732027,0.007529191534053087,0.8021052631578949,0.06963299119385778
24,0.5952,gemma9b_inst,a,within_B_clinical,0.9801470588235294,0.014791354452737632,0.76,0.08639277696287659
25,0.619,gemma9b_inst,a,within_B_clinical,0.9738766339869281,0.02361252896917737,0.811578947368421,0.07991685429937814
26,0.6429,gemma9b_inst,a,within_B_clinical,0.9742442810457517,0.012452141967050506,0.781578947368421,0.05977798258737127
27,0.6667,gemma9b_inst,a,within_B_clinical,0.9880821078431372,0.012392154196528032,0.8121052631578948,0.11385464806685142
28,0.6905,gemma9b_inst,a,within_B_clinical,0.9774918300653596,0.009762527075481227,0.7926315789473684,0.05195352707053923
29,0.7143,gemma9b_inst,a,within_B_clinical,0.9764399509803923,0.019702494434891724,0.801578947368421,0.06253198627485954
30,0.7381,gemma9b_inst,a,within_B_clinical,0.9726919934640523,0.01923685669645191,0.76,0.092583719693878
31,0.7619,gemma9b_inst,a,within_B_clinical,0.9829044117647058,0.008094615539090319,0.8126315789473683,0.09725313231537767
32,0.7857,gemma9b_inst,a,within_B_clinical,0.9834048202614378,0.013303453560209342,0.8010526315789473,0.07126867738867686
33,0.8095,gemma9b_inst,a,within_B_clinical,0.974969362745098,0.00738961442729477,0.7494736842105263,0.04178828050795624
34,0.8333,gemma9b_inst,a,within_B_clinical,0.9579758986928104,0.027483361406752827,0.7710526315789474,0.05236775984771682
35,0.8571,gemma9b_inst,a,within_B_clinical,0.977328431372549,0.02295852938214492,0.7910526315789472,0.10609669973797893
36,0.881,gemma9b_inst,a,within_B_clinical,0.9717524509803923,0.026053846632618696,0.8121052631578948,0.07215710775416363
37,0.9048,gemma9b_inst,a,within_B_clinical,0.9791973039215687,0.01893555856952897,0.8431578947368422,0.09476023103096336
38,0.9286,gemma9b_inst,a,within_B_clinical,0.970343137254902,0.027806680405143426,0.7921052631578948,0.09281680046604421
39,0.9524,gemma9b_inst,a,within_B_clinical,0.9680759803921568,0.03269134355322633,0.8326315789473684,0.05288360710349672
40,0.9762,gemma9b_inst,a,within_B_clinical,0.9863970588235293,0.011798088234173904,0.8121052631578948,0.08615517791427535
41,1.0,gemma9b_inst,a,within_B_clinical,0.9757659313725491,0.021116470962275292,0.7905263157894737,0.07593553177630077
