layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0238,gemma9b_inst,h,within_B_clinical,0.841625816993464,0.02850727744182377,0.47789473684210526,0.11465472677212717
1,0.0476,gemma9b_inst,h,within_B_clinical,0.8734783496732026,0.03456601734486706,0.5421052631578946,0.05668594533825794
2,0.0714,gemma9b_inst,h,within_B_clinical,0.8573018790849674,0.03546957682545651,0.48894736842105263,0.06523768603093126
3,0.0952,gemma9b_inst,h,within_B_clinical,0.9065972222222222,0.05657239518278391,0.5836842105263158,0.08571679194330965
4,0.119,gemma9b_inst,h,within_B_clinical,0.8939338235294118,0.05477411681542166,0.5094736842105263,0.11151934853178128
5,0.1429,gemma9b_inst,h,within_B_clinical,0.8943218954248365,0.04531440687638829,0.541578947368421,0.09642358075288303
6,0.1667,gemma9b_inst,h,within_B_clinical,0.9076491013071895,0.043465491984362635,0.5615789473684211,0.11109627478663786
7,0.1905,gemma9b_inst,h,within_B_clinical,0.904125816993464,0.041272052948816015,0.5421052631578946,0.08743814592545343
8,0.2143,gemma9b_inst,h,within_B_clinical,0.9261948529411764,0.02359792669637636,0.5726315789473684,0.041361858325028415
9,0.2381,gemma9b_inst,h,within_B_clinical,0.9194648692810456,0.01653249536290947,0.5615789473684211,0.08247554829452179
10,0.2619,gemma9b_inst,h,within_B_clinical,0.9257863562091503,0.02809452051556666,0.6042105263157895,0.09707066849177688
11,0.2857,gemma9b_inst,h,within_B_clinical,0.9395118464052288,0.02256169369027135,0.6042105263157895,0.09707066849177687
12,0.3095,gemma9b_inst,h,within_B_clinical,0.9478451797385621,0.0305841826540561,0.6147368421052631,0.10747157067873868
13,0.3333,gemma9b_inst,h,within_B_clinical,0.9452614379084967,0.03791956315522165,0.6457894736842105,0.09042221676843895
14,0.3571,gemma9b_inst,h,within_B_clinical,0.9450367647058823,0.04002161388758643,0.6547368421052632,0.14936986757950957
15,0.381,gemma9b_inst,h,within_B_clinical,0.9398386437908497,0.03463067636794636,0.6863157894736841,0.11246914011952068
16,0.4048,gemma9b_inst,h,within_B_clinical,0.951000816993464,0.035958468663341306,0.7178947368421051,0.09928274629517135
17,0.4286,gemma9b_inst,h,within_B_clinical,0.9778799019607842,0.014707669417561377,0.8010526315789473,0.06301738756671903
18,0.4524,gemma9b_inst,h,within_B_clinical,0.9839460784313726,0.005931613084573448,0.8326315789473684,0.04109309746514344
19,0.4762,gemma9b_inst,h,within_B_clinical,0.9865808823529412,0.007017603512525946,0.8226315789473684,0.04300357519119052
20,0.5,gemma9b_inst,h,within_B_clinical,0.9819444444444445,0.006244173535840568,0.8226315789473684,0.07192640128781691
21,0.5238,gemma9b_inst,h,within_B_clinical,0.986642156862745,0.0090736977413121,0.843157894736842,0.048283557647072484
22,0.5476,gemma9b_inst,h,within_B_clinical,0.9833333333333332,0.01162254863195806,0.8226315789473684,0.05438143727616628
23,0.5714,gemma9b_inst,h,within_B_clinical,0.9806066176470589,0.01179180141632572,0.8021052631578947,0.03904681471787664
24,0.5952,gemma9b_inst,h,within_B_clinical,0.9813419117647058,0.01319445234879061,0.8331578947368421,0.0519855083152242
25,0.619,gemma9b_inst,h,within_B_clinical,0.9791053921568628,0.017329044540140233,0.8436842105263158,0.06664912049800728
26,0.6429,gemma9b_inst,h,within_B_clinical,0.9780943627450981,0.016255655124583945,0.8331578947368421,0.08446671556761964
27,0.6667,gemma9b_inst,h,within_B_clinical,0.9778799019607843,0.01753580766698383,0.8226315789473684,0.043003575191190524
28,0.6905,gemma9b_inst,h,within_B_clinical,0.9733149509803922,0.020028986767635072,0.8121052631578948,0.04338834493794726
29,0.7143,gemma9b_inst,h,within_B_clinical,0.9733762254901961,0.01656010937350701,0.8331578947368421,0.0519855083152242
30,0.7381,gemma9b_inst,h,within_B_clinical,0.9771446078431373,0.01350731213591597,0.8331578947368421,0.07013244296890492
31,0.7619,gemma9b_inst,h,within_B_clinical,0.9778799019607843,0.012661973815577956,0.8331578947368421,0.07013244296890492
32,0.7857,gemma9b_inst,h,within_B_clinical,0.9764093137254901,0.015989301261464573,0.8121052631578947,0.07215710775416363
33,0.8095,gemma9b_inst,h,within_B_clinical,0.9738970588235294,0.01826083198842949,0.7915789473684212,0.06670728218002045
34,0.8333,gemma9b_inst,h,within_B_clinical,0.9716911764705882,0.01998465107813786,0.801578947368421,0.06253198627485954
35,0.8571,gemma9b_inst,h,within_B_clinical,0.9733762254901961,0.016178211247703418,0.801578947368421,0.06253198627485954
36,0.881,gemma9b_inst,h,within_B_clinical,0.9751531862745096,0.017081856351601907,0.801578947368421,0.06253198627485954
37,0.9048,gemma9b_inst,h,within_B_clinical,0.9731617647058824,0.0204390677545886,0.801578947368421,0.06253198627485954
38,0.9286,gemma9b_inst,h,within_B_clinical,0.9711703431372548,0.022126886416950993,0.801578947368421,0.06253198627485954
39,0.9524,gemma9b_inst,h,within_B_clinical,0.9731617647058822,0.02351424781995494,0.8010526315789473,0.07865912291481854
40,0.9762,gemma9b_inst,h,within_B_clinical,0.9734375,0.02373262304664946,0.8010526315789473,0.07865912291481854
41,1.0,gemma9b_inst,h,within_B_clinical,0.9734375,0.02373262304664946,0.8010526315789473,0.07865912291481854
