layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0625,llama1b_base,h,within_A,0.7401785714285715,0.04467855715427428,0.375,0.05590169943749474
1,0.125,llama1b_base,h,within_A,0.7910714285714285,0.06051701143868058,0.4,0.10897247358851683
2,0.1875,llama1b_base,h,within_A,0.8375,0.004552695994279295,0.45,0.11456439237389598
3,0.25,llama1b_base,h,within_A,0.8839285714285715,0.018514679779756876,0.5125,0.10752906583803283
4,0.3125,llama1b_base,h,within_A,0.86875,0.04829688691535183,0.55,0.16488632447841148
5,0.375,llama1b_base,h,within_A,0.8946428571428571,0.017081362919383045,0.5,0.125
6,0.4375,llama1b_base,h,within_A,0.9544642857142858,0.019232731454051803,0.7875,0.049999999999999996
7,0.5,llama1b_base,h,within_A,0.9696428571428571,0.021576867809990324,0.8125,0.10458250331675945
8,0.5625,llama1b_base,h,within_A,0.9848214285714286,0.013716331692622518,0.7875,0.1286953767623375
9,0.625,llama1b_base,h,within_A,0.9928571428571429,0.008280016513835461,0.9125,0.05
10,0.6875,llama1b_base,h,within_A,0.9982142857142857,0.0035714285714285587,0.9,0.05
11,0.75,llama1b_base,h,within_A,1.0,0.0,0.925,0.07288689868556626
12,0.8125,llama1b_base,h,within_A,0.9991071428571429,0.0017857142857142794,0.9375,0.03952847075210474
13,0.875,llama1b_base,h,within_A,1.0,0.0,0.9375,0.03952847075210474
14,0.9375,llama1b_base,h,within_A,1.0,0.0,0.9375,0.03952847075210474
15,1.0,llama1b_base,h,within_A,0.9982142857142857,0.0035714285714285587,0.925,0.06123724356957945
