layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0625,llama1b_base,a,within_B_clinical,0.8705065359477124,0.04041948215730512,0.5621052631578947,0.0803317222245849
1,0.125,llama1b_base,a,within_B_clinical,0.8965686274509803,0.04263858431548676,0.6557894736842105,0.05585894383756461
2,0.1875,llama1b_base,a,within_B_clinical,0.8987234477124183,0.04452548325797761,0.5842105263157895,0.10578816443285148
3,0.25,llama1b_base,a,within_B_clinical,0.9010110294117647,0.05153769114413158,0.6036842105263157,0.03085126503105861
4,0.3125,llama1b_base,a,within_B_clinical,0.952062908496732,0.03431541839992132,0.7494736842105263,0.09162128482942712
5,0.375,llama1b_base,a,within_B_clinical,0.9148999183006536,0.04380415142362548,0.6557894736842105,0.06502503246939155
6,0.4375,llama1b_base,a,within_B_clinical,0.9462622549019606,0.021087113108923937,0.7489473684210526,0.08602647276635544
7,0.5,llama1b_base,a,within_B_clinical,0.9525531045751634,0.029123722154908844,0.6978947368421051,0.07718022223083519
8,0.5625,llama1b_base,a,within_B_clinical,0.9510825163398693,0.017522289831127486,0.7289473684210527,0.07041625347505079
9,0.625,llama1b_base,a,within_B_clinical,0.9517156862745099,0.02128250822412794,0.7705263157894737,0.027770328333206175
10,0.6875,llama1b_base,a,within_B_clinical,0.9641135620915033,0.007640731816941843,0.6773684210526316,0.03599014946795527
11,0.75,llama1b_base,a,within_B_clinical,0.891891339869281,0.028117319242320707,0.5094736842105263,0.0830445596771201
12,0.8125,llama1b_base,a,within_B_clinical,0.940247140522876,0.023930234882565914,0.6757894736842105,0.0805521114514063
13,0.875,llama1b_base,a,within_B_clinical,0.9069138071895425,0.026045050561896228,0.6452631578947369,0.07930445558668363
14,0.9375,llama1b_base,a,within_B_clinical,0.9332720588235294,0.027784730363087554,0.6663157894736843,0.05526065157223867
15,1.0,llama1b_base,a,within_B_clinical,0.9332618464052288,0.03536178687690368,0.6136842105263158,0.04772961704738791
