layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0625,llama1b_base,h,within_B_clinical,0.8746936274509804,0.038479099321044694,0.5094736842105263,0.08946749204579275
1,0.125,llama1b_base,h,within_B_clinical,0.8969056372549019,0.049565454339336575,0.6126315789473684,0.13437451281880378
2,0.1875,llama1b_base,h,within_B_clinical,0.9047589869281045,0.04117500151376138,0.6236842105263158,0.1102754044197735
3,0.25,llama1b_base,h,within_B_clinical,0.9118668300653594,0.0543674564346612,0.6563157894736842,0.07068325037557703
4,0.3125,llama1b_base,h,within_B_clinical,0.9312908496732026,0.03965797223077094,0.7073684210526315,0.08110046435477147
5,0.375,llama1b_base,h,within_B_clinical,0.9371119281045752,0.03906926897864043,0.6968421052631578,0.09861084992530839
6,0.4375,llama1b_base,h,within_B_clinical,0.9405535130718954,0.029694393548086177,0.6878947368421053,0.07215710775416363
7,0.5,llama1b_base,h,within_B_clinical,0.9508680555555555,0.02220698284712872,0.6768421052631578,0.07058128258627457
8,0.5625,llama1b_base,h,within_B_clinical,0.9541156045751634,0.010226532322057221,0.6878947368421052,0.05468621140151807
9,0.625,llama1b_base,h,within_B_clinical,0.9494383169934639,0.023978497203822044,0.7394736842105263,0.05789473684210524
10,0.6875,llama1b_base,h,within_B_clinical,0.9424428104575163,0.01192456292830565,0.7073684210526315,0.04631578947368423
11,0.75,llama1b_base,h,within_B_clinical,0.9446486928104575,0.010964304551197287,0.7389473684210527,0.05969451317371718
12,0.8125,llama1b_base,h,within_B_clinical,0.9418607026143789,0.017755651259784434,0.7178947368421053,0.05664683809294196
13,0.875,llama1b_base,h,within_B_clinical,0.9392156862745097,0.017532274520730102,0.6968421052631579,0.07274590544493051
14,0.9375,llama1b_base,h,within_B_clinical,0.9432291666666666,0.01838556957151064,0.7068421052631579,0.09414434605825694
15,1.0,llama1b_base,h,within_B_clinical,0.9321078431372548,0.023885743927618785,0.6857894736842105,0.09091105512861643
