layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0625,llama1b_base,m,within_B_clinical,0.8705473856209152,0.045632959030482756,0.5615789473684211,0.11597592643503812
1,0.125,llama1b_base,m,within_B_clinical,0.8805044934640522,0.04032267548349156,0.5921052631578947,0.08238145180262384
2,0.1875,llama1b_base,m,within_B_clinical,0.9047589869281045,0.04111770471568454,0.5621052631578947,0.09888015634372528
3,0.25,llama1b_base,m,within_B_clinical,0.9067299836601308,0.05512633317571283,0.6457894736842105,0.06118859633403631
4,0.3125,llama1b_base,m,within_B_clinical,0.9400326797385621,0.0370599162375574,0.718421052631579,0.10901218514319988
5,0.375,llama1b_base,m,within_B_clinical,0.9360702614379086,0.035659506906194655,0.6757894736842105,0.09329903076278039
6,0.4375,llama1b_base,m,within_B_clinical,0.9419934640522876,0.02775044987072799,0.6968421052631578,0.08
7,0.5,llama1b_base,m,within_B_clinical,0.9456903594771241,0.026707975098127883,0.6668421052631579,0.134962803945211
8,0.5625,llama1b_base,m,within_B_clinical,0.9489276960784313,0.02104661229807066,0.6878947368421053,0.07215710775416363
9,0.625,llama1b_base,m,within_B_clinical,0.9577614379084967,0.02486599920077274,0.6978947368421052,0.0696329911938578
10,0.6875,llama1b_base,m,within_B_clinical,0.9536560457516341,0.009734186560903663,0.7384210526315789,0.06055148218218801
11,0.75,llama1b_base,m,within_B_clinical,0.9346405228758169,0.020144962601126835,0.7494736842105263,0.04178828050795624
12,0.8125,llama1b_base,m,within_B_clinical,0.9303717320261438,0.020618404664219762,0.6652631578947369,0.09471344740380629
13,0.875,llama1b_base,m,within_B_clinical,0.9443933823529411,0.01949189253488492,0.6868421052631579,0.07645178445438922
14,0.9375,llama1b_base,m,within_B_clinical,0.924908088235294,0.03079347426773883,0.7068421052631579,0.09414434605825694
15,1.0,llama1b_base,m,within_B_clinical,0.9243259803921567,0.03148892826002824,0.6652631578947369,0.08218619493028688
