layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0625,llama1b_inst,m,within_B_clinical,0.8346915849673202,0.07164943160404327,0.4473684210526316,0.04707511531578505
1,0.125,llama1b_inst,m,within_B_clinical,0.8881331699346406,0.06672517310668909,0.6236842105263157,0.0940030057867987
2,0.1875,llama1b_inst,m,within_B_clinical,0.9032781862745098,0.07152566206702529,0.6536842105263159,0.1598614358447969
3,0.25,llama1b_inst,m,within_B_clinical,0.8999080882352942,0.07828532664759008,0.6852631578947369,0.11241001325652628
4,0.3125,llama1b_inst,m,within_B_clinical,0.9204963235294118,0.0630345419022218,0.6231578947368421,0.09447918177817634
5,0.375,llama1b_inst,m,within_B_clinical,0.9021037581699346,0.06362050876671548,0.5826315789473684,0.06981574483701235
6,0.4375,llama1b_inst,m,within_B_clinical,0.8962111928104575,0.050084698009151093,0.6031578947368421,0.058759097839801516
7,0.5,llama1b_inst,m,within_B_clinical,0.9048100490196077,0.03357130242235381,0.6342105263157894,0.07824246709115004
8,0.5625,llama1b_inst,m,within_B_clinical,0.9130718954248367,0.02946052758611801,0.6026315789473684,0.0764517844543892
9,0.625,llama1b_inst,m,within_B_clinical,0.9551981209150326,0.016640056842468977,0.698421052631579,0.05793300170870321
10,0.6875,llama1b_inst,m,within_B_clinical,0.9424325980392159,0.013405120733154,0.6568421052631578,0.048283557647072484
11,0.75,llama1b_inst,m,within_B_clinical,0.9331495098039214,0.02119482548365933,0.6568421052631578,0.048283557647072484
12,0.8125,llama1b_inst,m,within_B_clinical,0.9115093954248366,0.038549342804940136,0.6773684210526316,0.1007946267749606
13,0.875,llama1b_inst,m,within_B_clinical,0.9090379901960783,0.02990726533027978,0.6657894736842105,0.0997226069552443
14,0.9375,llama1b_inst,m,within_B_clinical,0.8963031045751635,0.03635314529573614,0.6657894736842105,0.07424597884034678
15,1.0,llama1b_inst,m,within_B_clinical,0.9096507352941176,0.030148740089417297,0.6147368421052631,0.08436827330321633
