layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0312,llama8b_base,a,within_A,0.8455357142857143,0.027606472917393376,0.4875,0.082915619758885
1,0.0625,llama8b_base,a,within_A,0.8571428571428571,0.05206207048969018,0.525,0.1457737973711325
2,0.0938,llama8b_base,a,within_A,0.8482142857142858,0.027081698014469798,0.525,0.06373774391990981
3,0.125,llama8b_base,a,within_A,0.9098214285714287,0.030722590239437967,0.6375,0.06123724356957945
4,0.1562,llama8b_base,a,within_A,0.8964285714285716,0.046083885359156924,0.4875,0.024999999999999998
5,0.1875,llama8b_base,a,within_A,0.9008928571428573,0.01749635530559415,0.5375,0.09354143466934853
6,0.2188,llama8b_base,a,within_A,0.9294642857142857,0.027865154525584357,0.6375,0.10752906583803283
7,0.25,llama8b_base,a,within_A,0.9232142857142858,0.06064859892050608,0.6125,0.1334634781503914
8,0.2812,llama8b_base,a,within_A,0.9401785714285713,0.028036282978763545,0.6375,0.04677071733467427
9,0.3125,llama8b_base,a,within_A,0.9830357142857142,0.012436060961771543,0.8,0.07288689868556626
10,0.3438,llama8b_base,a,within_A,0.9857142857142858,0.018166955311942658,0.8375,0.1015504800579495
11,0.375,llama8b_base,a,within_A,0.9732142857142858,0.028655011671216434,0.8125,0.125
12,0.4062,llama8b_base,a,within_A,0.9883928571428571,0.021053260933127864,0.85,0.075
13,0.4375,llama8b_base,a,within_A,0.9964285714285716,0.005206207048969,0.8875,0.046770717334674264
14,0.4688,llama8b_base,a,within_A,0.9964285714285713,0.005206207048968999,0.9,0.0637377439199098
15,0.5,llama8b_base,a,within_A,1.0,0.0,0.9375,0.0
16,0.5312,llama8b_base,a,within_A,1.0,0.0,0.975,0.049999999999999996
17,0.5625,llama8b_base,a,within_A,0.9982142857142857,0.0035714285714285587,0.95,0.046770717334674264
18,0.5938,llama8b_base,a,within_A,1.0,0.0,0.975,0.049999999999999996
19,0.625,llama8b_base,a,within_A,1.0,0.0,0.9625,0.049999999999999996
20,0.6562,llama8b_base,a,within_A,1.0,0.0,0.975,0.030618621784789725
21,0.6875,llama8b_base,a,within_A,0.9991071428571429,0.0017857142857142794,0.9125,0.09354143466934853
22,0.7188,llama8b_base,a,within_A,1.0,0.0,0.9625,0.030618621784789725
23,0.75,llama8b_base,a,within_A,0.9928571428571429,0.009192526911595555,0.9625,0.049999999999999996
24,0.7812,llama8b_base,a,within_A,0.9991071428571429,0.0017857142857142794,0.9375,0.03952847075210474
25,0.8125,llama8b_base,a,within_A,1.0,0.0,0.9875,0.024999999999999998
26,0.8438,llama8b_base,a,within_A,1.0,0.0,0.975,0.03061862178478973
27,0.875,llama8b_base,a,within_A,1.0,0.0,0.9625,0.049999999999999996
28,0.9062,llama8b_base,a,within_A,1.0,0.0,0.9875,0.024999999999999998
29,0.9375,llama8b_base,a,within_A,1.0,0.0,0.9625,0.049999999999999996
30,0.9688,llama8b_base,a,within_A,1.0,0.0,0.9875,0.024999999999999998
31,1.0,llama8b_base,a,within_A,1.0,0.0,0.95,0.024999999999999998
