layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0312,llama8b_base,m,within_A,0.8107142857142857,0.03773311894484898,0.4625,0.10897247358851683
1,0.0625,llama8b_base,m,within_A,0.8419642857142857,0.04406772385447524,0.5375,0.08477912478906585
2,0.0938,llama8b_base,m,within_A,0.8508928571428571,0.03164293776190953,0.5125,0.046770717334674264
3,0.125,llama8b_base,m,within_A,0.8946428571428571,0.025969713521873206,0.55,0.082915619758885
4,0.1562,llama8b_base,m,within_A,0.9089285714285715,0.042030722485499356,0.55,0.082915619758885
5,0.1875,llama8b_base,m,within_A,0.9089285714285713,0.0399896351367119,0.6,0.1015504800579495
6,0.2188,llama8b_base,m,within_A,0.9196428571428573,0.03571428571428574,0.5375,0.10897247358851683
7,0.25,llama8b_base,m,within_A,0.9035714285714285,0.05721256908428855,0.5625,0.10458250331675945
8,0.2812,llama8b_base,m,within_A,0.9125,0.056652471711483264,0.575,0.12747548783981963
9,0.3125,llama8b_base,m,within_A,0.9589285714285716,0.031237242293814103,0.75,0.11180339887498948
10,0.3438,llama8b_base,m,within_A,0.9651785714285716,0.032365301714985466,0.775,0.1457737973711325
11,0.375,llama8b_base,m,within_A,0.9589285714285714,0.030330870984755384,0.75,0.13693063937629152
12,0.4062,llama8b_base,m,within_A,0.9723214285714284,0.02993402609685754,0.825,0.07288689868556625
13,0.4375,llama8b_base,m,within_A,0.99375,0.007783748113465481,0.875,0.05590169943749474
14,0.4688,llama8b_base,m,within_A,0.9892857142857142,0.011503659577433161,0.8625,0.07288689868556626
15,0.5,llama8b_base,m,within_A,0.9964285714285716,0.0071428571428571175,0.9,0.08477912478906585
16,0.5312,llama8b_base,m,within_A,0.9982142857142857,0.0035714285714285587,0.925,0.024999999999999998
17,0.5625,llama8b_base,m,within_A,1.0,0.0,0.9375,0.05590169943749474
18,0.5938,llama8b_base,m,within_A,0.9982142857142857,0.0035714285714285587,0.9625,0.049999999999999996
19,0.625,llama8b_base,m,within_A,1.0,0.0,0.9375,0.03952847075210474
20,0.6562,llama8b_base,m,within_A,1.0,0.0,0.9375,0.05590169943749474
21,0.6875,llama8b_base,m,within_A,1.0,0.0,0.925,0.06123724356957945
22,0.7188,llama8b_base,m,within_A,1.0,0.0,0.9375,0.03952847075210474
23,0.75,llama8b_base,m,within_A,1.0,0.0,0.9375,0.05590169943749474
24,0.7812,llama8b_base,m,within_A,1.0,0.0,0.925,0.04677071733467427
25,0.8125,llama8b_base,m,within_A,1.0,0.0,0.95,0.046770717334674264
26,0.8438,llama8b_base,m,within_A,1.0,0.0,0.925,0.024999999999999998
27,0.875,llama8b_base,m,within_A,1.0,0.0,0.9375,0.03952847075210474
28,0.9062,llama8b_base,m,within_A,1.0,0.0,0.9375,0.03952847075210474
29,0.9375,llama8b_base,m,within_A,1.0,0.0,0.95,0.046770717334674264
30,0.9688,llama8b_base,m,within_A,1.0,0.0,0.9375,0.03952847075210474
31,1.0,llama8b_base,m,within_A,0.9982142857142857,0.0035714285714285587,0.9375,0.03952847075210474
