layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0312,llama8b_inst,a,within_A,0.7892857142857143,0.03631196322796915,0.45,0.082915619758885
1,0.0625,llama8b_inst,a,within_A,0.8473214285714284,0.025158933577866728,0.4625,0.09354143466934853
2,0.0938,llama8b_inst,a,within_A,0.8375,0.030488162641006927,0.5,0.03952847075210474
3,0.125,llama8b_inst,a,within_A,0.9214285714285714,0.01342258605211865,0.65,0.05
4,0.1562,llama8b_inst,a,within_A,0.8901785714285715,0.03347916653437978,0.5125,0.08291561975888499
5,0.1875,llama8b_inst,a,within_A,0.8973214285714285,0.027081698014469798,0.5625,0.06846531968814576
6,0.2188,llama8b_inst,a,within_A,0.9303571428571429,0.027169864383398065,0.625,0.08838834764831845
7,0.25,llama8b_inst,a,within_A,0.975,0.017313142347915478,0.7375,0.07288689868556626
8,0.2812,llama8b_inst,a,within_A,0.9741071428571428,0.027865154525584333,0.8625,0.12747548783981963
9,0.3125,llama8b_inst,a,within_A,0.9946428571428572,0.008656571173957742,0.875,0.10458250331675945
10,0.3438,llama8b_inst,a,within_A,0.9973214285714285,0.005357142857142882,0.925,0.06123724356957946
11,0.375,llama8b_inst,a,within_A,0.9946428571428572,0.005206207048968999,0.9125,0.09354143466934853
12,0.4062,llama8b_inst,a,within_A,0.9964285714285716,0.005206207048969042,0.9125,0.0637377439199098
13,0.4375,llama8b_inst,a,within_A,0.9946428571428572,0.005206207048969035,0.925,0.046770717334674264
14,0.4688,llama8b_inst,a,within_A,0.9946428571428572,0.010714285714285676,0.9125,0.09354143466934853
15,0.5,llama8b_inst,a,within_A,0.9928571428571429,0.014285714285714235,0.95,0.046770717334674264
16,0.5312,llama8b_inst,a,within_A,0.9973214285714285,0.005357142857142838,0.925,0.07288689868556626
17,0.5625,llama8b_inst,a,within_A,0.9964285714285716,0.0071428571428571175,0.9375,0.06846531968814576
18,0.5938,llama8b_inst,a,within_A,1.0,0.0,0.95,0.046770717334674264
19,0.625,llama8b_inst,a,within_A,0.9991071428571429,0.0017857142857142794,0.925,0.024999999999999998
20,0.6562,llama8b_inst,a,within_A,1.0,0.0,0.95,0.046770717334674264
21,0.6875,llama8b_inst,a,within_A,0.9982142857142857,0.0035714285714285587,0.9625,0.049999999999999996
22,0.7188,llama8b_inst,a,within_A,1.0,0.0,0.975,0.03061862178478973
23,0.75,llama8b_inst,a,within_A,0.9982142857142857,0.0035714285714285587,0.975,0.049999999999999996
24,0.7812,llama8b_inst,a,within_A,0.9964285714285716,0.004374088826398517,0.9375,0.03952847075210474
25,0.8125,llama8b_inst,a,within_A,1.0,0.0,0.95,0.024999999999999998
26,0.8438,llama8b_inst,a,within_A,1.0,0.0,0.9625,0.049999999999999996
27,0.875,llama8b_inst,a,within_A,0.9955357142857142,0.005646924393157835,0.9625,0.049999999999999996
28,0.9062,llama8b_inst,a,within_A,0.9955357142857142,0.008928571428571442,0.9625,0.05
29,0.9375,llama8b_inst,a,within_A,0.9973214285714287,0.0035714285714285587,0.9,0.049999999999999996
30,0.9688,llama8b_inst,a,within_A,0.9982142857142857,0.0035714285714285587,0.95,0.046770717334674264
31,1.0,llama8b_inst,a,within_A,1.0,0.0,0.95,0.024999999999999998
