layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0312,llama8b_inst,h,within_A,0.7866071428571428,0.03333599054034729,0.4125,0.08477912478906585
1,0.0625,llama8b_inst,h,within_A,0.8348214285714286,0.01197893559374884,0.45,0.082915619758885
2,0.0938,llama8b_inst,h,within_A,0.8383928571428572,0.01631755971651523,0.5,0.03952847075210474
3,0.125,llama8b_inst,h,within_A,0.9044642857142857,0.01731314234791548,0.575,0.07288689868556626
4,0.1562,llama8b_inst,h,within_A,0.9,0.02803628297876356,0.55,0.1446979612848778
5,0.1875,llama8b_inst,h,within_A,0.9071428571428571,0.025473826103012714,0.5375,0.08477912478906585
6,0.2188,llama8b_inst,h,within_A,0.9035714285714285,0.025031867444421752,0.5625,0.06846531968814576
7,0.25,llama8b_inst,h,within_A,0.9473214285714286,0.03224191086654964,0.7125,0.08477912478906585
8,0.2812,llama8b_inst,h,within_A,0.9598214285714286,0.03364543514538708,0.825,0.15
9,0.3125,llama8b_inst,h,within_A,0.9794642857142858,0.022868300847974463,0.8625,0.09185586535436918
10,0.3438,llama8b_inst,h,within_A,0.9973214285714285,0.005357142857142838,0.8875,0.07288689868556625
11,0.375,llama8b_inst,h,within_A,0.9883928571428571,0.019066211164341602,0.9,0.049999999999999996
12,0.4062,llama8b_inst,h,within_A,0.9875,0.024999999999999998,0.9,0.08477912478906585
13,0.4375,llama8b_inst,h,within_A,0.9946428571428573,0.006561133239597775,0.9,0.049999999999999996
14,0.4688,llama8b_inst,h,within_A,0.9955357142857142,0.008928571428571442,0.9,0.049999999999999996
15,0.5,llama8b_inst,h,within_A,0.9964285714285716,0.0071428571428571175,0.925,0.09185586535436917
16,0.5312,llama8b_inst,h,within_A,0.9964285714285716,0.005206207048969,0.9375,0.05590169943749474
17,0.5625,llama8b_inst,h,within_A,0.9955357142857142,0.0069160416896560765,0.95,0.06123724356957946
18,0.5938,llama8b_inst,h,within_A,0.9973214285714285,0.005357142857142838,0.925,0.07288689868556626
19,0.625,llama8b_inst,h,within_A,0.9964285714285716,0.0071428571428571175,0.9375,0.07905694150420949
20,0.6562,llama8b_inst,h,within_A,0.9973214285714285,0.0035714285714285587,0.975,0.03061862178478973
21,0.6875,llama8b_inst,h,within_A,0.9973214285714287,0.0035714285714285587,0.95,0.046770717334674264
22,0.7188,llama8b_inst,h,within_A,0.9973214285714287,0.0035714285714285587,0.95,0.046770717334674264
23,0.75,llama8b_inst,h,within_A,0.9973214285714287,0.0035714285714285587,0.9375,0.05590169943749474
24,0.7812,llama8b_inst,h,within_A,0.9973214285714287,0.0035714285714285587,0.925,0.04677071733467427
25,0.8125,llama8b_inst,h,within_A,0.9973214285714287,0.0035714285714285587,0.9375,0.05590169943749474
26,0.8438,llama8b_inst,h,within_A,0.9973214285714287,0.0035714285714285587,0.9375,0.05590169943749474
27,0.875,llama8b_inst,h,within_A,0.9982142857142857,0.002187044413199258,0.95,0.046770717334674264
28,0.9062,llama8b_inst,h,within_A,0.9982142857142857,0.002187044413199258,0.9375,0.03952847075210474
29,0.9375,llama8b_inst,h,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.046770717334674264
30,0.9688,llama8b_inst,h,within_A,0.9991071428571429,0.0017857142857142794,0.95,0.046770717334674264
31,1.0,llama8b_inst,h,within_A,1.0,0.0,0.925,0.04677071733467427
