layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0312,llama8b_inst,m,within_A,0.7616071428571429,0.042595930149559175,0.3875,0.09185586535436918
1,0.0625,llama8b_inst,m,within_A,0.8241071428571427,0.022693330405605047,0.475,0.09354143466934853
2,0.0938,llama8b_inst,m,within_A,0.8482142857142858,0.02276347997139639,0.4875,0.082915619758885
3,0.125,llama8b_inst,m,within_A,0.9071428571428571,0.01881366741580852,0.6125,0.09185586535436918
4,0.1562,llama8b_inst,m,within_A,0.9071428571428571,0.024999999999999994,0.5875,0.1286953767623375
5,0.1875,llama8b_inst,m,within_A,0.9017857142857142,0.019964892656248102,0.525,0.0637377439199098
6,0.2188,llama8b_inst,m,within_A,0.8973214285714285,0.03745745886321974,0.525,0.1224744871391589
7,0.25,llama8b_inst,m,within_A,0.9517857142857142,0.021391336697698132,0.75,0.05590169943749474
8,0.2812,llama8b_inst,m,within_A,0.9705357142857144,0.025660906898571267,0.8125,0.11858541225631422
9,0.3125,llama8b_inst,m,within_A,0.9830357142857145,0.021391336697698073,0.85,0.1286953767623375
10,0.3438,llama8b_inst,m,within_A,0.9973214285714285,0.005357142857142882,0.9,0.075
11,0.375,llama8b_inst,m,within_A,0.9866071428571429,0.024614372771589683,0.9125,0.0637377439199098
12,0.4062,llama8b_inst,m,within_A,0.9857142857142858,0.02418967354311441,0.9125,0.049999999999999996
13,0.4375,llama8b_inst,m,within_A,0.9955357142857142,0.003992978531249611,0.925,0.024999999999999998
14,0.4688,llama8b_inst,m,within_A,0.9946428571428572,0.010714285714285676,0.8875,0.04677071733467427
15,0.5,llama8b_inst,m,within_A,0.9946428571428572,0.010714285714285676,0.9125,0.049999999999999996
16,0.5312,llama8b_inst,m,within_A,0.99375,0.007783748113465461,0.9,0.0637377439199098
17,0.5625,llama8b_inst,m,within_A,0.9919642857142857,0.0071428571428571175,0.9,0.0637377439199098
18,0.5938,llama8b_inst,m,within_A,0.9955357142857142,0.0056469243931578,0.9125,0.05
19,0.625,llama8b_inst,m,within_A,0.9973214285714285,0.005357142857142838,0.9375,0.05590169943749474
20,0.6562,llama8b_inst,m,within_A,0.9973214285714285,0.0035714285714285587,0.95,0.046770717334674264
21,0.6875,llama8b_inst,m,within_A,0.9973214285714287,0.0035714285714285587,0.9375,0.05590169943749474
22,0.7188,llama8b_inst,m,within_A,0.9955357142857142,0.0069160416896560765,0.95,0.046770717334674264
23,0.75,llama8b_inst,m,within_A,0.9964285714285716,0.0033407655239052927,0.9375,0.05590169943749474
24,0.7812,llama8b_inst,m,within_A,0.9928571428571429,0.006055651770647539,0.9125,0.03061862178478973
25,0.8125,llama8b_inst,m,within_A,0.99375,0.0053571428571428685,0.9125,0.05
26,0.8438,llama8b_inst,m,within_A,0.9973214285714287,0.0035714285714285587,0.9125,0.03061862178478973
27,0.875,llama8b_inst,m,within_A,0.9946428571428572,0.0071428571428571175,0.925,0.046770717334674264
28,0.9062,llama8b_inst,m,within_A,0.9955357142857142,0.0069160416896560765,0.9375,0.0
29,0.9375,llama8b_inst,m,within_A,0.9973214285714287,0.002187044413199258,0.925,0.025
30,0.9688,llama8b_inst,m,within_A,0.9991071428571429,0.0017857142857142794,0.9625,0.049999999999999996
31,1.0,llama8b_inst,m,within_A,0.9982142857142857,0.0035714285714285587,0.925,0.046770717334674264
