layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0312,llama8b_inst,a,within_B_clinical,0.8161356209150327,0.06904360206966725,0.5205263157894737,0.08532811041264655
1,0.0625,llama8b_inst,a,within_B_clinical,0.8849877450980392,0.06529254033840153,0.6021052631578947,0.11207437182489405
2,0.0938,llama8b_inst,a,within_B_clinical,0.9229268790849673,0.056527894897961714,0.6452631578947368,0.09804741913427382
3,0.125,llama8b_inst,a,within_B_clinical,0.9408496732026144,0.024492534595581934,0.6878947368421052,0.1036668433224053
4,0.1562,llama8b_inst,a,within_B_clinical,0.9443729575163399,0.02522468560635825,0.6668421052631579,0.0966989789024456
5,0.1875,llama8b_inst,a,within_B_clinical,0.9530637254901961,0.020861383581803384,0.7294736842105263,0.08929393709662525
6,0.2188,llama8b_inst,a,within_B_clinical,0.9289011437908498,0.017376981164388784,0.6552631578947368,0.0882266032328432
7,0.25,llama8b_inst,a,within_B_clinical,0.9371221405228758,0.015473030404716235,0.6457894736842105,0.03908935711079398
8,0.2812,llama8b_inst,a,within_B_clinical,0.9635927287581699,0.014840931393012872,0.6973684210526315,0.04243293551736079
9,0.3125,llama8b_inst,a,within_B_clinical,0.9405739379084966,0.01731769610040869,0.6147368421052631,0.061594689845590724
10,0.3438,llama8b_inst,a,within_B_clinical,0.9620608660130718,0.015667427392411296,0.8015789473684212,0.041160452202141366
11,0.375,llama8b_inst,a,within_B_clinical,0.9580473856209151,0.02061180256297395,0.7610526315789473,0.09541279320947083
12,0.4062,llama8b_inst,a,within_B_clinical,0.9652165032679738,0.012426184220937947,0.7589473684210526,0.08060711460663851
13,0.4375,llama8b_inst,a,within_B_clinical,0.9679942810457517,0.02422534152799497,0.7926315789473684,0.10753341296102849
14,0.4688,llama8b_inst,a,within_B_clinical,0.9728962418300652,0.019048320222178713,0.8442105263157895,0.0730499013595683
15,0.5,llama8b_inst,a,within_B_clinical,0.9742238562091503,0.006349660903550096,0.7921052631578946,0.05545080922554074
16,0.5312,llama8b_inst,a,within_B_clinical,0.9651041666666668,0.014394750465034013,0.7715789473684211,0.04887657585786905
17,0.5625,llama8b_inst,a,within_B_clinical,0.975,0.02250564448988805,0.8026315789473684,0.05884389414473131
18,0.5938,llama8b_inst,a,within_B_clinical,0.9754901960784312,0.025350361461815744,0.801578947368421,0.07083983729848942
19,0.625,llama8b_inst,a,within_B_clinical,0.9682393790849673,0.021929821860750938,0.8026315789473685,0.11102643741962624
20,0.6562,llama8b_inst,a,within_B_clinical,0.9706597222222222,0.015805828130705146,0.8026315789473684,0.05884389414473131
21,0.6875,llama8b_inst,a,within_B_clinical,0.9617340686274509,0.02379617500063212,0.7289473684210526,0.09100850771468726
22,0.7188,llama8b_inst,a,within_B_clinical,0.9607434640522875,0.026584248926243687,0.7910526315789473,0.05916313893219533
23,0.75,llama8b_inst,a,within_B_clinical,0.9646752450980391,0.025226128533604338,0.7610526315789473,0.06834813928735967
24,0.7812,llama8b_inst,a,within_B_clinical,0.973815359477124,0.008922252702322464,0.7510526315789473,0.0720033855775271
25,0.8125,llama8b_inst,a,within_B_clinical,0.9735294117647058,0.017826933815893325,0.8026315789473685,0.08238145180262382
26,0.8438,llama8b_inst,a,within_B_clinical,0.9741115196078433,0.022571570006080854,0.8026315789473685,0.04852391819627834
27,0.875,llama8b_inst,a,within_B_clinical,0.9655024509803922,0.02571438664038547,0.8231578947368421,0.09113625609226678
28,0.9062,llama8b_inst,a,within_B_clinical,0.9714562908496731,0.019866343078605214,0.8236842105263158,0.06842105263157892
29,0.9375,llama8b_inst,a,within_B_clinical,0.9542892156862746,0.029463515286866228,0.7505263157894737,0.058380735258366505
30,0.9688,llama8b_inst,a,within_B_clinical,0.9608864379084968,0.03136763856310325,0.791578947368421,0.05780854828524622
31,1.0,llama8b_inst,a,within_B_clinical,0.9709252450980392,0.01948765439213319,0.75,0.05129891760425769
