layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
0,0.0312,llama8b_inst,h,within_B_clinical,0.826205065359477,0.061607843670844514,0.5194736842105263,0.0830111963879679
1,0.0625,llama8b_inst,h,within_B_clinical,0.8829146241830065,0.06294002133261196,0.6336842105263158,0.1474285591579924
2,0.0938,llama8b_inst,h,within_B_clinical,0.9170445261437908,0.06099624144235689,0.5931578947368421,0.10382704561751747
3,0.125,llama8b_inst,h,within_B_clinical,0.9506638071895426,0.029332518797471462,0.718421052631579,0.09832390364352317
4,0.1562,llama8b_inst,h,within_B_clinical,0.9509599673202616,0.024622362899292104,0.6657894736842105,0.08136644649337005
5,0.1875,llama8b_inst,h,within_B_clinical,0.9470588235294116,0.027428232379149722,0.6452631578947368,0.06382107954199627
6,0.2188,llama8b_inst,h,within_B_clinical,0.9381842320261438,0.024378961247528568,0.6457894736842105,0.061188596334036276
7,0.25,llama8b_inst,h,within_B_clinical,0.9314950980392158,0.014415276099506057,0.6452631578947368,0.07930445558668363
8,0.2812,llama8b_inst,h,within_B_clinical,0.9528696895424836,0.014208039577198456,0.6873684210526315,0.08829565042320324
9,0.3125,llama8b_inst,h,within_B_clinical,0.9528594771241832,0.013229847950026963,0.7284210526315789,0.06364722719086728
10,0.3438,llama8b_inst,h,within_B_clinical,0.960671977124183,0.009458452720045776,0.7494736842105263,0.04178828050795624
11,0.375,llama8b_inst,h,within_B_clinical,0.9595690359477125,0.010537038395455042,0.7699999999999999,0.07307265007077304
12,0.4062,llama8b_inst,h,within_B_clinical,0.964266748366013,0.007334862829347327,0.801578947368421,0.06253198627485956
13,0.4375,llama8b_inst,h,within_B_clinical,0.9812806372549019,0.009472016597519412,0.8021052631578947,0.061161427563511346
14,0.4688,llama8b_inst,h,within_B_clinical,0.9812806372549019,0.014785578575555246,0.8131578947368421,0.09575476525610657
15,0.5,llama8b_inst,h,within_B_clinical,0.9772977941176471,0.015970622370688962,0.7926315789473685,0.09077078373604253
16,0.5312,llama8b_inst,h,within_B_clinical,0.9746017156862745,0.01774910074290673,0.8031578947368422,0.10407753342575389
17,0.5625,llama8b_inst,h,within_B_clinical,0.9708946078431373,0.020006620080713737,0.8031578947368422,0.10407753342575389
18,0.5938,llama8b_inst,h,within_B_clinical,0.9758578431372549,0.01854720808359248,0.8031578947368422,0.10407753342575389
19,0.625,llama8b_inst,h,within_B_clinical,0.9724264705882353,0.01816843462966863,0.8131578947368421,0.08978274794332618
20,0.6562,llama8b_inst,h,within_B_clinical,0.973345588235294,0.021457673686124168,0.8236842105263158,0.09546503761693184
21,0.6875,llama8b_inst,h,within_B_clinical,0.9753370098039216,0.01938106061651208,0.8236842105263158,0.08305123072662894
22,0.7188,llama8b_inst,h,within_B_clinical,0.9765625,0.019160902705093227,0.8131578947368421,0.07645178445438919
23,0.75,llama8b_inst,h,within_B_clinical,0.9765625,0.019160902705093227,0.8026315789473685,0.07535695296461237
24,0.7812,llama8b_inst,h,within_B_clinical,0.9775428921568627,0.0200629812897628,0.8131578947368421,0.07645178445438919
25,0.8125,llama8b_inst,h,within_B_clinical,0.9782781862745097,0.020835450800696466,0.8131578947368421,0.07645178445438919
26,0.8438,llama8b_inst,h,within_B_clinical,0.9777879901960784,0.020400593251012872,0.8236842105263158,0.0760885910252682
27,0.875,llama8b_inst,h,within_B_clinical,0.9775428921568627,0.02155186618950852,0.8131578947368421,0.08978274794332618
28,0.9062,llama8b_inst,h,within_B_clinical,0.9775428921568627,0.02155186618950852,0.8131578947368421,0.0764517844543892
29,0.9375,llama8b_inst,h,within_B_clinical,0.9755821078431373,0.021614491052248105,0.8026315789473684,0.05884389414473131
30,0.9688,llama8b_inst,h,within_B_clinical,0.9763174019607842,0.02190437316385616,0.7921052631578948,0.06467476698655004
31,1.0,llama8b_inst,h,within_B_clinical,0.9743566176470587,0.02203425749463917,0.781578947368421,0.07608859102526822
