layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
0,0.0238,gemma9b_base,a,A_to_B,0.550843253968254,0.10416666666666667,NaN
0,0.0238,gemma9b_base,a,B_to_A,0.5183928571428572,0.125,NaN
1,0.0476,gemma9b_base,a,A_to_B,0.6021825396825397,0.16666666666666666,NaN
1,0.0476,gemma9b_base,a,B_to_A,0.5203571428571427,0.1,NaN
2,0.0714,gemma9b_base,a,A_to_B,0.5148809523809523,0.14583333333333334,NaN
2,0.0714,gemma9b_base,a,B_to_A,0.49857142857142855,0.1375,NaN
3,0.0952,gemma9b_base,a,A_to_B,0.5420386904761905,0.13541666666666666,NaN
3,0.0952,gemma9b_base,a,B_to_A,0.5367857142857143,0.175,NaN
4,0.119,gemma9b_base,a,A_to_B,0.5740327380952381,0.125,NaN
4,0.119,gemma9b_base,a,B_to_A,0.5576785714285714,0.1375,NaN
5,0.1429,gemma9b_base,a,A_to_B,0.5303819444444444,0.08333333333333333,NaN
5,0.1429,gemma9b_base,a,B_to_A,0.5153571428571428,0.1,NaN
6,0.1667,gemma9b_base,a,A_to_B,0.6238839285714286,0.1875,NaN
6,0.1667,gemma9b_base,a,B_to_A,0.5480357142857143,0.1375,NaN
7,0.1905,gemma9b_base,a,A_to_B,0.5621279761904763,0.15625,NaN
7,0.1905,gemma9b_base,a,B_to_A,0.5216071428571429,0.1375,NaN
8,0.2143,gemma9b_base,a,A_to_B,0.6463293650793651,0.22916666666666666,NaN
8,0.2143,gemma9b_base,a,B_to_A,0.5869642857142857,0.125,NaN
9,0.2381,gemma9b_base,a,A_to_B,0.6755952380952381,0.19791666666666666,NaN
9,0.2381,gemma9b_base,a,B_to_A,0.5967857142857143,0.1125,NaN
10,0.2619,gemma9b_base,a,A_to_B,0.7173859126984127,0.1875,NaN
10,0.2619,gemma9b_base,a,B_to_A,0.6380357142857143,0.1625,NaN
11,0.2857,gemma9b_base,a,A_to_B,0.6439732142857143,0.13541666666666666,NaN
11,0.2857,gemma9b_base,a,B_to_A,0.6094642857142857,0.1375,NaN
12,0.3095,gemma9b_base,a,A_to_B,0.6153273809523809,0.125,NaN
12,0.3095,gemma9b_base,a,B_to_A,0.5844642857142857,0.15,NaN
13,0.3333,gemma9b_base,a,A_to_B,0.6442212301587302,0.16666666666666666,NaN
13,0.3333,gemma9b_base,a,B_to_A,0.6121428571428571,0.175,NaN
14,0.3571,gemma9b_base,a,A_to_B,0.6240079365079365,0.14583333333333334,NaN
14,0.3571,gemma9b_base,a,B_to_A,0.5553571428571429,0.1125,NaN
15,0.381,gemma9b_base,a,A_to_B,0.6581101190476191,0.14583333333333334,NaN
15,0.381,gemma9b_base,a,B_to_A,0.6,0.175,NaN
16,0.4048,gemma9b_base,a,A_to_B,0.7537202380952381,0.17708333333333334,NaN
