layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
0,0.0238,gemma9b_base,h,A_to_B,0.5457589285714286,0.10416666666666667,NaN
0,0.0238,gemma9b_base,h,B_to_A,0.5228571428571429,0.1375,NaN
1,0.0476,gemma9b_base,h,A_to_B,0.5424107142857143,0.14583333333333334,NaN
1,0.0476,gemma9b_base,h,B_to_A,0.5214285714285714,0.0875,NaN
2,0.0714,gemma9b_base,h,A_to_B,0.5094246031746031,0.15625,NaN
2,0.0714,gemma9b_base,h,B_to_A,0.49964285714285717,0.125,NaN
3,0.0952,gemma9b_base,h,A_to_B,0.5083085317460317,0.14583333333333334,NaN
3,0.0952,gemma9b_base,h,B_to_A,0.5171428571428571,0.1625,NaN
4,0.119,gemma9b_base,h,A_to_B,0.5756448412698413,0.125,NaN
4,0.119,gemma9b_base,h,B_to_A,0.5517857142857143,0.1875,NaN
5,0.1429,gemma9b_base,h,A_to_B,0.5783730158730159,0.14583333333333334,NaN
5,0.1429,gemma9b_base,h,B_to_A,0.5525,0.1375,NaN
6,0.1667,gemma9b_base,h,A_to_B,0.6005704365079365,0.14583333333333334,NaN
6,0.1667,gemma9b_base,h,B_to_A,0.5349999999999999,0.1375,NaN
7,0.1905,gemma9b_base,h,A_to_B,0.6121031746031746,0.17708333333333334,NaN
7,0.1905,gemma9b_base,h,B_to_A,0.5391071428571429,0.1375,NaN
8,0.2143,gemma9b_base,h,A_to_B,0.6346726190476191,0.17708333333333334,NaN
8,0.2143,gemma9b_base,h,B_to_A,0.5510714285714285,0.1,NaN
9,0.2381,gemma9b_base,h,A_to_B,0.6500496031746031,0.20833333333333334,NaN
9,0.2381,gemma9b_base,h,B_to_A,0.5660714285714287,0.1,NaN
10,0.2619,gemma9b_base,h,A_to_B,0.6846478174603174,0.19791666666666666,NaN
10,0.2619,gemma9b_base,h,B_to_A,0.5855357142857143,0.1625,NaN
11,0.2857,gemma9b_base,h,A_to_B,0.6630704365079365,0.17708333333333334,NaN
11,0.2857,gemma9b_base,h,B_to_A,0.573392857142857,0.125,NaN
12,0.3095,gemma9b_base,h,A_to_B,0.6418650793650793,0.16666666666666666,NaN
12,0.3095,gemma9b_base,h,B_to_A,0.5430357142857143,0.0625,NaN
13,0.3333,gemma9b_base,h,A_to_B,0.6325644841269842,0.1875,NaN
13,0.3333,gemma9b_base,h,B_to_A,0.5575,0.0625,NaN
14,0.3571,gemma9b_base,h,A_to_B,0.6334325396825397,0.14583333333333334,NaN
14,0.3571,gemma9b_base,h,B_to_A,0.5541071428571429,0.1125,NaN
15,0.381,gemma9b_base,h,A_to_B,0.6489335317460319,0.11458333333333333,NaN
15,0.381,gemma9b_base,h,B_to_A,0.5708928571428571,0.1125,NaN
16,0.4048,gemma9b_base,h,A_to_B,0.6930803571428572,0.13541666666666666,NaN
16,0.4048,gemma9b_base,h,B_to_A,0.60875,0.15,NaN
17,0.4286,gemma9b_base,h,A_to_B,0.8055555555555556,0.23958333333333334,NaN
17,0.4286,gemma9b_base,h,B_to_A,0.7416071428571429,0.2125,NaN
18,0.4524,gemma9b_base,h,A_to_B,0.785094246031746,0.2604166666666667,NaN
18,0.4524,gemma9b_base,h,B_to_A,0.7358928571428571,0.2625,NaN
19,0.4762,gemma9b_base,h,A_to_B,0.8084077380952381,0.28125,NaN
19,0.4762,gemma9b_base,h,B_to_A,0.7298214285714286,0.1875,NaN
20,0.5,gemma9b_base,h,A_to_B,0.8359375,0.3125,NaN
20,0.5,gemma9b_base,h,B_to_A,0.7589285714285714,0.2375,NaN
21,0.5238,gemma9b_base,h,A_to_B,0.9076140873015872,0.5104166666666666,NaN
21,0.5238,gemma9b_base,h,B_to_A,0.8830357142857144,0.4375,NaN
22,0.5476,gemma9b_base,h,A_to_B,0.9015376984126984,0.46875,NaN
22,0.5476,gemma9b_base,h,B_to_A,0.86375,0.4625,NaN
23,0.5714,gemma9b_base,h,A_to_B,0.9107142857142857,0.4895833333333333,NaN
23,0.5714,gemma9b_base,h,B_to_A,0.90125,0.475,NaN
24,0.5952,gemma9b_base,h,A_to_B,0.9055059523809524,0.4895833333333333,NaN
24,0.5952,gemma9b_base,h,B_to_A,0.8766071428571429,0.425,NaN
25,0.619,gemma9b_base,h,A_to_B,0.9108382936507937,0.5104166666666666,NaN
25,0.619,gemma9b_base,h,B_to_A,0.9044642857142857,0.475,NaN
26,0.6429,gemma9b_base,h,A_to_B,0.9124503968253969,0.53125,NaN
26,0.6429,gemma9b_base,h,B_to_A,0.9087500000000001,0.5375,NaN
27,0.6667,gemma9b_base,h,A_to_B,0.9182787698412699,0.5729166666666666,NaN
27,0.6667,gemma9b_base,h,B_to_A,0.9194642857142856,0.6,NaN
28,0.6905,gemma9b_base,h,A_to_B,0.916046626984127,0.59375,NaN
28,0.6905,gemma9b_base,h,B_to_A,0.9291071428571428,0.6375,NaN
29,0.7143,gemma9b_base,h,A_to_B,0.9166666666666666,0.6041666666666666,NaN
29,0.7143,gemma9b_base,h,B_to_A,0.9305357142857142,0.675,NaN
30,0.7381,gemma9b_base,h,A_to_B,0.9192708333333334,0.6041666666666666,NaN
30,0.7381,gemma9b_base,h,B_to_A,0.9323214285714285,0.6625,NaN
31,0.7619,gemma9b_base,h,A_to_B,0.9221230158730159,0.6041666666666666,NaN
31,0.7619,gemma9b_base,h,B_to_A,0.9501785714285714,0.7125,NaN
32,0.7857,gemma9b_base,h,A_to_B,0.9237351190476191,0.6354166666666666,NaN
32,0.7857,gemma9b_base,h,B_to_A,0.9483928571428571,0.7,NaN
33,0.8095,gemma9b_base,h,A_to_B,0.9346478174603174,0.6458333333333334,NaN
33,0.8095,gemma9b_base,h,B_to_A,0.9542857142857143,0.7,NaN
34,0.8333,gemma9b_base,h,A_to_B,0.9295634920634921,0.625,NaN
34,0.8333,gemma9b_base,h,B_to_A,0.9519642857142857,0.6875,NaN
