layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
0,0.0238,gemma9b_base,m,A_to_B,0.495907738095238,0.09375,NaN
0,0.0238,gemma9b_base,m,B_to_A,0.5453571428571429,0.1375,NaN
1,0.0476,gemma9b_base,m,A_to_B,0.5441468253968254,0.17708333333333334,NaN
1,0.0476,gemma9b_base,m,B_to_A,0.5189285714285714,0.0875,NaN
2,0.0714,gemma9b_base,m,A_to_B,0.49987599206349204,0.125,NaN
2,0.0714,gemma9b_base,m,B_to_A,0.51,0.1625,NaN
3,0.0952,gemma9b_base,m,A_to_B,0.5057043650793651,0.13541666666666666,NaN
3,0.0952,gemma9b_base,m,B_to_A,0.5019642857142858,0.125,NaN
4,0.119,gemma9b_base,m,A_to_B,0.5535714285714286,0.09375,NaN
4,0.119,gemma9b_base,m,B_to_A,0.55125,0.15,NaN
5,0.1429,gemma9b_base,m,A_to_B,0.5524553571428571,0.15625,NaN
5,0.1429,gemma9b_base,m,B_to_A,0.56,0.15,NaN
6,0.1667,gemma9b_base,m,A_to_B,0.5772569444444444,0.17708333333333334,NaN
6,0.1667,gemma9b_base,m,B_to_A,0.49214285714285716,0.1625,NaN
7,0.1905,gemma9b_base,m,A_to_B,0.5868055555555556,0.19791666666666666,NaN
7,0.1905,gemma9b_base,m,B_to_A,0.5375,0.1375,NaN
8,0.2143,gemma9b_base,m,A_to_B,0.642733134920635,0.19791666666666666,NaN
8,0.2143,gemma9b_base,m,B_to_A,0.5821428571428571,0.1625,NaN
9,0.2381,gemma9b_base,m,A_to_B,0.6505456349206349,0.20833333333333334,NaN
9,0.2381,gemma9b_base,m,B_to_A,0.5610714285714286,0.1,NaN
10,0.2619,gemma9b_base,m,A_to_B,0.6732390873015873,0.1875,NaN
10,0.2619,gemma9b_base,m,B_to_A,0.6007142857142858,0.1375,NaN
11,0.2857,gemma9b_base,m,A_to_B,0.6411210317460317,0.14583333333333334,NaN
11,0.2857,gemma9b_base,m,B_to_A,0.5544642857142857,0.125,NaN
12,0.3095,gemma9b_base,m,A_to_B,0.6341765873015872,0.15625,NaN
12,0.3095,gemma9b_base,m,B_to_A,0.5473214285714285,0.075,NaN
13,0.3333,gemma9b_base,m,A_to_B,0.6490575396825398,0.22916666666666666,NaN
13,0.3333,gemma9b_base,m,B_to_A,0.5580357142857143,0.075,NaN
14,0.3571,gemma9b_base,m,A_to_B,0.5840773809523809,0.13541666666666666,NaN
14,0.3571,gemma9b_base,m,B_to_A,0.5089285714285714,0.1125,NaN
15,0.381,gemma9b_base,m,A_to_B,0.5815972222222222,0.10416666666666667,NaN
15,0.381,gemma9b_base,m,B_to_A,0.5121428571428572,0.1,NaN
16,0.4048,gemma9b_base,m,A_to_B,0.65625,0.11458333333333333,NaN
16,0.4048,gemma9b_base,m,B_to_A,0.5667857142857142,0.125,NaN
17,0.4286,gemma9b_base,m,A_to_B,0.800843253968254,0.21875,NaN
17,0.4286,gemma9b_base,m,B_to_A,0.7791071428571428,0.275,NaN
18,0.4524,gemma9b_base,m,A_to_B,0.800843253968254,0.3020833333333333,NaN
18,0.4524,gemma9b_base,m,B_to_A,0.7776785714285714,0.3,NaN
19,0.4762,gemma9b_base,m,A_to_B,0.822296626984127,0.3020833333333333,NaN
19,0.4762,gemma9b_base,m,B_to_A,0.8035714285714286,0.325,NaN
20,0.5,gemma9b_base,m,A_to_B,0.8479662698412698,0.3125,NaN
20,0.5,gemma9b_base,m,B_to_A,0.79375,0.3,NaN
21,0.5238,gemma9b_base,m,A_to_B,0.9091021825396826,0.5520833333333334,NaN
21,0.5238,gemma9b_base,m,B_to_A,0.8732142857142857,0.4375,NaN
22,0.5476,gemma9b_base,m,A_to_B,0.890625,0.4479166666666667,NaN
22,0.5476,gemma9b_base,m,B_to_A,0.8616071428571428,0.45,NaN
23,0.5714,gemma9b_base,m,A_to_B,0.8840525793650793,0.4791666666666667,NaN
23,0.5714,gemma9b_base,m,B_to_A,0.8705357142857143,0.45,NaN
24,0.5952,gemma9b_base,m,A_to_B,0.8975694444444444,0.5104166666666666,NaN
24,0.5952,gemma9b_base,m,B_to_A,0.84125,0.425,NaN
25,0.619,gemma9b_base,m,A_to_B,0.9187748015873016,0.4895833333333333,NaN
25,0.619,gemma9b_base,m,B_to_A,0.8780357142857143,0.4875,NaN
26,0.6429,gemma9b_base,m,A_to_B,0.9211309523809523,0.5208333333333334,NaN
26,0.6429,gemma9b_base,m,B_to_A,0.9203571428571429,0.625,NaN
27,0.6667,gemma9b_base,m,A_to_B,0.9210069444444444,0.59375,NaN
27,0.6667,gemma9b_base,m,B_to_A,0.9369642857142857,0.625,NaN
28,0.6905,gemma9b_base,m,A_to_B,0.9391121031746033,0.6145833333333334,NaN
28,0.6905,gemma9b_base,m,B_to_A,0.9323214285714286,0.675,NaN
29,0.7143,gemma9b_base,m,A_to_B,0.9205109126984127,0.6041666666666666,NaN
29,0.7143,gemma9b_base,m,B_to_A,0.9351785714285714,0.725,NaN
30,0.7381,gemma9b_base,m,A_to_B,0.9272073412698413,0.59375,NaN
30,0.7381,gemma9b_base,m,B_to_A,0.9310714285714285,0.7,NaN
31,0.7619,gemma9b_base,m,A_to_B,0.9322916666666666,0.6145833333333334,NaN
31,0.7619,gemma9b_base,m,B_to_A,0.9608928571428571,0.725,NaN
32,0.7857,gemma9b_base,m,A_to_B,0.9304315476190477,0.6458333333333334,NaN
32,0.7857,gemma9b_base,m,B_to_A,0.9342857142857143,0.7,NaN
33,0.8095,gemma9b_base,m,A_to_B,0.9425843253968254,0.6145833333333334,NaN
33,0.8095,gemma9b_base,m,B_to_A,0.9476785714285714,0.75,NaN
34,0.8333,gemma9b_base,m,A_to_B,0.9311755952380952,0.6770833333333334,NaN
34,0.8333,gemma9b_base,m,B_to_A,0.9355357142857142,0.6875,NaN
35,0.8571,gemma9b_base,m,A_to_B,0.9439484126984128,0.6979166666666666,NaN
35,0.8571,gemma9b_base,m,B_to_A,0.9728571428571429,0.7625,NaN
36,0.881,gemma9b_base,m,A_to_B,0.9279513888888888,0.5833333333333334,NaN
36,0.881,gemma9b_base,m,B_to_A,0.9666071428571429,0.7875,NaN
37,0.9048,gemma9b_base,m,A_to_B,0.9263392857142857,0.59375,NaN
37,0.9048,gemma9b_base,m,B_to_A,0.9519642857142857,0.7375,NaN
38,0.9286,gemma9b_base,m,A_to_B,0.9409722222222222,0.6145833333333334,NaN
38,0.9286,gemma9b_base,m,B_to_A,0.9680357142857143,0.775,NaN
39,0.9524,gemma9b_base,m,A_to_B,0.947296626984127,0.6770833333333334,NaN
39,0.9524,gemma9b_base,m,B_to_A,0.9783928571428572,0.825,NaN
40,0.9762,gemma9b_base,m,A_to_B,0.9476686507936508,0.6354166666666666,NaN
40,0.9762,gemma9b_base,m,B_to_A,0.9539285714285713,0.7625,NaN
41,1.0,gemma9b_base,m,A_to_B,0.9387400793650793,0.6458333333333334,NaN
41,1.0,gemma9b_base,m,B_to_A,0.9455357142857144,0.675,NaN
