layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
0,0.0238,gemma9b_inst,a,A_to_B,0.5797371031746033,0.15625,NaN
0,0.0238,gemma9b_inst,a,B_to_A,0.5233928571428572,0.1375,NaN
1,0.0476,gemma9b_inst,a,A_to_B,0.5551835317460317,0.19791666666666666,NaN
1,0.0476,gemma9b_inst,a,B_to_A,0.5103571428571428,0.125,NaN
2,0.0714,gemma9b_inst,a,A_to_B,0.5008680555555556,0.11458333333333333,NaN
2,0.0714,gemma9b_inst,a,B_to_A,0.5169642857142858,0.175,NaN
3,0.0952,gemma9b_inst,a,A_to_B,0.5093005952380953,0.14583333333333334,NaN
3,0.0952,gemma9b_inst,a,B_to_A,0.5183928571428572,0.1375,NaN
4,0.119,gemma9b_inst,a,A_to_B,0.5324900793650793,0.07291666666666667,NaN
4,0.119,gemma9b_inst,a,B_to_A,0.5107142857142857,0.1625,NaN
5,0.1429,gemma9b_inst,a,A_to_B,0.4867311507936508,0.14583333333333334,NaN
5,0.1429,gemma9b_inst,a,B_to_A,0.49785714285714283,0.1,NaN
6,0.1667,gemma9b_inst,a,A_to_B,0.580109126984127,0.15625,NaN
6,0.1667,gemma9b_inst,a,B_to_A,0.5623214285714286,0.15,NaN
7,0.1905,gemma9b_inst,a,A_to_B,0.5234375,0.15625,NaN
7,0.1905,gemma9b_inst,a,B_to_A,0.5267857142857142,0.125,NaN
8,0.2143,gemma9b_inst,a,A_to_B,0.6096230158730158,0.1875,NaN
8,0.2143,gemma9b_inst,a,B_to_A,0.5516071428571429,0.1,NaN
9,0.2381,gemma9b_inst,a,A_to_B,0.6436011904761905,0.17708333333333334,NaN
9,0.2381,gemma9b_inst,a,B_to_A,0.6192857142857142,0.1125,NaN
10,0.2619,gemma9b_inst,a,A_to_B,0.6591021825396826,0.17708333333333334,NaN
10,0.2619,gemma9b_inst,a,B_to_A,0.6385714285714286,0.1375,NaN
11,0.2857,gemma9b_inst,a,A_to_B,0.6888640873015872,0.20833333333333334,NaN
