layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
0,0.0238,gemma9b_inst,h,A_to_B,0.5589037698412699,0.16666666666666666,NaN
0,0.0238,gemma9b_inst,h,B_to_A,0.5241071428571429,0.1375,NaN
1,0.0476,gemma9b_inst,h,A_to_B,0.5595238095238095,0.10416666666666667,NaN
1,0.0476,gemma9b_inst,h,B_to_A,0.5246428571428572,0.125,NaN
2,0.0714,gemma9b_inst,h,A_to_B,0.5057043650793651,0.14583333333333334,NaN
2,0.0714,gemma9b_inst,h,B_to_A,0.5332142857142858,0.15,NaN
3,0.0952,gemma9b_inst,h,A_to_B,0.49603174603174605,0.13541666666666666,NaN
3,0.0952,gemma9b_inst,h,B_to_A,0.5171428571428571,0.125,NaN
4,0.119,gemma9b_inst,h,A_to_B,0.5265376984126984,0.0625,NaN
4,0.119,gemma9b_inst,h,B_to_A,0.4880357142857143,0.1375,NaN
5,0.1429,gemma9b_inst,h,A_to_B,0.5324900793650793,0.09375,NaN
5,0.1429,gemma9b_inst,h,B_to_A,0.49517857142857147,0.1375,NaN
6,0.1667,gemma9b_inst,h,A_to_B,0.5510912698412698,0.15625,NaN
6,0.1667,gemma9b_inst,h,B_to_A,0.5126785714285714,0.1125,NaN
7,0.1905,gemma9b_inst,h,A_to_B,0.5652281746031746,0.14583333333333334,NaN
7,0.1905,gemma9b_inst,h,B_to_A,0.51625,0.125,NaN
8,0.2143,gemma9b_inst,h,A_to_B,0.5808531746031746,0.16666666666666666,NaN
8,0.2143,gemma9b_inst,h,B_to_A,0.5478571428571428,0.1125,NaN
9,0.2381,gemma9b_inst,h,A_to_B,0.6190476190476191,0.15625,NaN
9,0.2381,gemma9b_inst,h,B_to_A,0.5660714285714286,0.125,NaN
10,0.2619,gemma9b_inst,h,A_to_B,0.6604662698412699,0.15625,NaN
10,0.2619,gemma9b_inst,h,B_to_A,0.6203571428571428,0.1375,NaN
11,0.2857,gemma9b_inst,h,A_to_B,0.6702628968253969,0.17708333333333334,NaN
11,0.2857,gemma9b_inst,h,B_to_A,0.6039285714285714,0.1375,NaN
12,0.3095,gemma9b_inst,h,A_to_B,0.6870039682539683,0.20833333333333334,NaN
12,0.3095,gemma9b_inst,h,B_to_A,0.6007142857142858,0.1125,NaN
13,0.3333,gemma9b_inst,h,A_to_B,0.7039930555555555,0.21875,NaN
13,0.3333,gemma9b_inst,h,B_to_A,0.5944642857142857,0.1,NaN
14,0.3571,gemma9b_inst,h,A_to_B,0.7053571428571428,0.1875,NaN
14,0.3571,gemma9b_inst,h,B_to_A,0.5992857142857143,0.1125,NaN
15,0.381,gemma9b_inst,h,A_to_B,0.6470734126984128,0.1875,NaN
15,0.381,gemma9b_inst,h,B_to_A,0.5939285714285714,0.1375,NaN
16,0.4048,gemma9b_inst,h,A_to_B,0.6960565476190477,0.21875,NaN
16,0.4048,gemma9b_inst,h,B_to_A,0.6576785714285713,0.2125,NaN
17,0.4286,gemma9b_inst,h,A_to_B,0.7904265873015873,0.3958333333333333,NaN
17,0.4286,gemma9b_inst,h,B_to_A,0.7792857142857144,0.3125,NaN
18,0.4524,gemma9b_inst,h,A_to_B,0.8152281746031746,0.3229166666666667,NaN
18,0.4524,gemma9b_inst,h,B_to_A,0.7808928571428572,0.2625,NaN
19,0.4762,gemma9b_inst,h,A_to_B,0.8216765873015873,0.3125,NaN
19,0.4762,gemma9b_inst,h,B_to_A,0.8001785714285715,0.275,NaN
20,0.5,gemma9b_inst,h,A_to_B,0.8544146825396826,0.3854166666666667,NaN
20,0.5,gemma9b_inst,h,B_to_A,0.8253571428571429,0.2625,NaN
21,0.5238,gemma9b_inst,h,A_to_B,0.9066220238095238,0.4583333333333333,NaN
21,0.5238,gemma9b_inst,h,B_to_A,0.8678571428571429,0.4125,NaN
22,0.5476,gemma9b_inst,h,A_to_B,0.9140625,0.4375,NaN
22,0.5476,gemma9b_inst,h,B_to_A,0.85625,0.3625,NaN
