layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
0,0.0238,gemma9b_inst,m,A_to_B,0.4868551587301588,0.10416666666666667,NaN
0,0.0238,gemma9b_inst,m,B_to_A,0.5339285714285715,0.125,NaN
1,0.0476,gemma9b_inst,m,A_to_B,0.5734126984126984,0.14583333333333334,NaN
1,0.0476,gemma9b_inst,m,B_to_A,0.5398214285714286,0.1,NaN
2,0.0714,gemma9b_inst,m,A_to_B,0.5048363095238095,0.13541666666666666,NaN
2,0.0714,gemma9b_inst,m,B_to_A,0.5448214285714286,0.1625,NaN
3,0.0952,gemma9b_inst,m,A_to_B,0.4521329365079365,0.08333333333333333,NaN
3,0.0952,gemma9b_inst,m,B_to_A,0.4810714285714286,0.1125,NaN
4,0.119,gemma9b_inst,m,A_to_B,0.48759920634920634,0.07291666666666667,NaN
4,0.119,gemma9b_inst,m,B_to_A,0.46053571428571427,0.1375,NaN
5,0.1429,gemma9b_inst,m,A_to_B,0.5202132936507937,0.11458333333333333,NaN
5,0.1429,gemma9b_inst,m,B_to_A,0.4808928571428571,0.125,NaN
6,0.1667,gemma9b_inst,m,A_to_B,0.5662202380952381,0.13541666666666666,NaN
6,0.1667,gemma9b_inst,m,B_to_A,0.5046428571428572,0.15,NaN
7,0.1905,gemma9b_inst,m,A_to_B,0.5529513888888888,0.125,NaN
7,0.1905,gemma9b_inst,m,B_to_A,0.5189285714285714,0.1125,NaN
8,0.2143,gemma9b_inst,m,A_to_B,0.568576388888889,0.15625,NaN
8,0.2143,gemma9b_inst,m,B_to_A,0.5691071428571429,0.1,NaN
9,0.2381,gemma9b_inst,m,A_to_B,0.6235119047619047,0.15625,NaN
9,0.2381,gemma9b_inst,m,B_to_A,0.5448214285714286,0.1,NaN
10,0.2619,gemma9b_inst,m,A_to_B,0.6752232142857144,0.20833333333333334,NaN
10,0.2619,gemma9b_inst,m,B_to_A,0.6271428571428571,0.1125,NaN
11,0.2857,gemma9b_inst,m,A_to_B,0.6553819444444444,0.22916666666666666,NaN
11,0.2857,gemma9b_inst,m,B_to_A,0.6323214285714285,0.125,NaN
12,0.3095,gemma9b_inst,m,A_to_B,0.6571180555555556,0.1875,NaN
12,0.3095,gemma9b_inst,m,B_to_A,0.6258928571428571,0.125,NaN
13,0.3333,gemma9b_inst,m,A_to_B,0.6803075396825398,0.1875,NaN
