layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
0,0.0625,llama1b_base,a,A_to_B,0.558531746031746,0.11458333333333333,NaN
0,0.0625,llama1b_base,a,B_to_A,0.5528571428571428,0.1375,NaN
1,0.125,llama1b_base,a,A_to_B,0.5961061507936508,0.16666666666666666,NaN
1,0.125,llama1b_base,a,B_to_A,0.5525,0.1375,NaN
2,0.1875,llama1b_base,a,A_to_B,0.5416666666666667,0.16666666666666666,NaN
2,0.1875,llama1b_base,a,B_to_A,0.5667857142857143,0.1625,NaN
3,0.25,llama1b_base,a,A_to_B,0.6416170634920635,0.17708333333333334,NaN
3,0.25,llama1b_base,a,B_to_A,0.6298214285714285,0.2125,NaN
4,0.3125,llama1b_base,a,A_to_B,0.6383928571428572,0.22916666666666666,NaN
4,0.3125,llama1b_base,a,B_to_A,0.5626785714285714,0.1625,NaN
5,0.375,llama1b_base,a,A_to_B,0.6021825396825398,0.17708333333333334,NaN
5,0.375,llama1b_base,a,B_to_A,0.6144642857142857,0.175,NaN
6,0.4375,llama1b_base,a,A_to_B,0.6566220238095238,0.1875,NaN
6,0.4375,llama1b_base,a,B_to_A,0.6108928571428571,0.1625,NaN
7,0.5,llama1b_base,a,A_to_B,0.6507936507936508,0.1875,NaN
7,0.5,llama1b_base,a,B_to_A,0.6039285714285715,0.1875,NaN
8,0.5625,llama1b_base,a,A_to_B,0.7227182539682538,0.22916666666666666,NaN
8,0.5625,llama1b_base,a,B_to_A,0.7117857142857144,0.275,NaN
9,0.625,llama1b_base,a,A_to_B,0.7492559523809523,0.3854166666666667,NaN
9,0.625,llama1b_base,a,B_to_A,0.7875,0.3,NaN
10,0.6875,llama1b_base,a,A_to_B,0.7406994047619048,0.20833333333333334,NaN
10,0.6875,llama1b_base,a,B_to_A,0.8,0.2375,NaN
11,0.75,llama1b_base,a,A_to_B,0.6086309523809523,0.16666666666666666,NaN
11,0.75,llama1b_base,a,B_to_A,0.7958928571428572,0.325,NaN
12,0.8125,llama1b_base,a,A_to_B,0.7203621031746033,0.21875,NaN
12,0.8125,llama1b_base,a,B_to_A,0.8748214285714285,0.5125,NaN
13,0.875,llama1b_base,a,A_to_B,0.8121279761904763,0.4479166666666667,NaN
13,0.875,llama1b_base,a,B_to_A,0.9532142857142857,0.525,NaN
14,0.9375,llama1b_base,a,A_to_B,0.7808779761904762,0.2916666666666667,NaN
14,0.9375,llama1b_base,a,B_to_A,0.8773214285714286,0.4,NaN
15,1.0,llama1b_base,a,A_to_B,0.7921626984126984,0.3541666666666667,NaN
15,1.0,llama1b_base,a,B_to_A,0.8821428571428571,0.475,NaN
