layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
0,0.0625,llama1b_base,m,A_to_B,0.5643601190476191,0.10416666666666667,NaN
0,0.0625,llama1b_base,m,B_to_A,0.5780357142857142,0.125,NaN
1,0.125,llama1b_base,m,A_to_B,0.5783730158730159,0.13541666666666666,NaN
1,0.125,llama1b_base,m,B_to_A,0.5676785714285715,0.125,NaN
2,0.1875,llama1b_base,m,A_to_B,0.5876736111111112,0.11458333333333333,NaN
2,0.1875,llama1b_base,m,B_to_A,0.5735714285714286,0.15,NaN
3,0.25,llama1b_base,m,A_to_B,0.650421626984127,0.13541666666666666,NaN
3,0.25,llama1b_base,m,B_to_A,0.6141071428571429,0.1875,NaN
4,0.3125,llama1b_base,m,A_to_B,0.6257440476190476,0.15625,NaN
4,0.3125,llama1b_base,m,B_to_A,0.5841071428571428,0.1625,NaN
5,0.375,llama1b_base,m,A_to_B,0.6564980158730158,0.22916666666666666,NaN
5,0.375,llama1b_base,m,B_to_A,0.5905357142857143,0.1375,NaN
6,0.4375,llama1b_base,m,A_to_B,0.6374007936507937,0.17708333333333334,NaN
6,0.4375,llama1b_base,m,B_to_A,0.5978571428571429,0.175,NaN
7,0.5,llama1b_base,m,A_to_B,0.6197916666666666,0.1875,NaN
7,0.5,llama1b_base,m,B_to_A,0.5555357142857142,0.1375,NaN
8,0.5625,llama1b_base,m,A_to_B,0.6639384920634921,0.22916666666666666,NaN
8,0.5625,llama1b_base,m,B_to_A,0.6294642857142857,0.1625,NaN
9,0.625,llama1b_base,m,A_to_B,0.7264384920634921,0.3020833333333333,NaN
9,0.625,llama1b_base,m,B_to_A,0.71875,0.2375,NaN
10,0.6875,llama1b_base,m,A_to_B,0.7857142857142858,0.4583333333333333,NaN
10,0.6875,llama1b_base,m,B_to_A,0.8266071428571429,0.4,NaN
11,0.75,llama1b_base,m,A_to_B,0.7801339285714286,0.4270833333333333,NaN
11,0.75,llama1b_base,m,B_to_A,0.8835714285714286,0.4125,NaN
12,0.8125,llama1b_base,m,A_to_B,0.8138640873015872,0.4479166666666667,NaN
12,0.8125,llama1b_base,m,B_to_A,0.9442857142857143,0.675,NaN
13,0.875,llama1b_base,m,A_to_B,0.8152281746031746,0.46875,NaN
13,0.875,llama1b_base,m,B_to_A,0.9621428571428571,0.625,NaN
14,0.9375,llama1b_base,m,A_to_B,0.8289930555555556,0.4479166666666667,NaN
14,0.9375,llama1b_base,m,B_to_A,0.9553571428571428,0.575,NaN
15,1.0,llama1b_base,m,A_to_B,0.8484623015873015,0.46875,NaN
15,1.0,llama1b_base,m,B_to_A,0.95625,0.575,NaN
