layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
0,0.0312,llama8b_base,h,A_to_B,0.5814732142857143,0.14583333333333334,NaN
0,0.0312,llama8b_base,h,B_to_A,0.5614285714285714,0.1375,NaN
1,0.0625,llama8b_base,h,A_to_B,0.5699404761904763,0.09375,NaN
1,0.0625,llama8b_base,h,B_to_A,0.5332142857142856,0.0875,NaN
2,0.0938,llama8b_base,h,A_to_B,0.5496031746031745,0.17708333333333334,NaN
2,0.0938,llama8b_base,h,B_to_A,0.5298214285714286,0.1625,NaN
3,0.125,llama8b_base,h,A_to_B,0.5689484126984127,0.15625,NaN
3,0.125,llama8b_base,h,B_to_A,0.5417857142857143,0.125,NaN
4,0.1562,llama8b_base,h,A_to_B,0.5972222222222222,0.14583333333333334,NaN
4,0.1562,llama8b_base,h,B_to_A,0.5149999999999999,0.1,NaN
5,0.1875,llama8b_base,h,A_to_B,0.5700644841269841,0.15625,NaN
5,0.1875,llama8b_base,h,B_to_A,0.5025,0.1625,NaN
6,0.2188,llama8b_base,h,A_to_B,0.5713045634920635,0.13541666666666666,NaN
6,0.2188,llama8b_base,h,B_to_A,0.47785714285714287,0.075,NaN
7,0.25,llama8b_base,h,A_to_B,0.6081349206349207,0.13541666666666666,NaN
7,0.25,llama8b_base,h,B_to_A,0.48178571428571426,0.1125,NaN
8,0.2812,llama8b_base,h,A_to_B,0.6052827380952381,0.125,NaN
8,0.2812,llama8b_base,h,B_to_A,0.5076785714285714,0.125,NaN
9,0.3125,llama8b_base,h,A_to_B,0.6227678571428572,0.15625,NaN
9,0.3125,llama8b_base,h,B_to_A,0.5273214285714285,0.125,NaN
10,0.3438,llama8b_base,h,A_to_B,0.6576140873015872,0.125,NaN
10,0.3438,llama8b_base,h,B_to_A,0.6087499999999999,0.2,NaN
11,0.375,llama8b_base,h,A_to_B,0.6794394841269841,0.14583333333333334,NaN
11,0.375,llama8b_base,h,B_to_A,0.6087499999999999,0.1875,NaN
12,0.4062,llama8b_base,h,A_to_B,0.7498759920634921,0.15625,NaN
12,0.4062,llama8b_base,h,B_to_A,0.7308928571428571,0.2875,NaN
13,0.4375,llama8b_base,h,A_to_B,0.8923611111111112,0.3958333333333333,NaN
13,0.4375,llama8b_base,h,B_to_A,0.8344642857142857,0.325,NaN
14,0.4688,llama8b_base,h,A_to_B,0.9136904761904762,0.4583333333333333,NaN
14,0.4688,llama8b_base,h,B_to_A,0.8423214285714286,0.3,NaN
15,0.5,llama8b_base,h,A_to_B,0.9169146825396826,0.4895833333333333,NaN
15,0.5,llama8b_base,h,B_to_A,0.8660714285714286,0.3,NaN
16,0.5312,llama8b_base,h,A_to_B,0.9264632936507937,0.5208333333333334,NaN
16,0.5312,llama8b_base,h,B_to_A,0.8821428571428571,0.35,NaN
17,0.5625,llama8b_base,h,A_to_B,0.9174107142857142,0.5416666666666666,NaN
17,0.5625,llama8b_base,h,B_to_A,0.8975,0.425,NaN
18,0.5938,llama8b_base,h,A_to_B,0.8985615079365079,0.5,NaN
18,0.5938,llama8b_base,h,B_to_A,0.9151785714285714,0.5125,NaN
19,0.625,llama8b_base,h,A_to_B,0.9138144841269842,0.5520833333333334,NaN
19,0.625,llama8b_base,h,B_to_A,0.91625,0.475,NaN
20,0.6562,llama8b_base,h,A_to_B,0.910094246031746,0.5416666666666666,NaN
20,0.6562,llama8b_base,h,B_to_A,0.9233928571428572,0.5625,NaN
21,0.6875,llama8b_base,h,A_to_B,0.9236111111111112,0.5520833333333334,NaN
21,0.6875,llama8b_base,h,B_to_A,0.9312499999999999,0.625,NaN
22,0.7188,llama8b_base,h,A_to_B,0.9187748015873015,0.5520833333333334,NaN
22,0.7188,llama8b_base,h,B_to_A,0.9303571428571428,0.5875,NaN
23,0.75,llama8b_base,h,A_to_B,0.9254712301587302,0.5520833333333334,NaN
23,0.75,llama8b_base,h,B_to_A,0.9312499999999999,0.5875,NaN
24,0.7812,llama8b_base,h,A_to_B,0.9201388888888888,0.5833333333333334,NaN
24,0.7812,llama8b_base,h,B_to_A,0.9330357142857142,0.625,NaN
25,0.8125,llama8b_base,h,A_to_B,0.9263392857142857,0.5833333333333334,NaN
25,0.8125,llama8b_base,h,B_to_A,0.9410714285714286,0.6375,NaN
26,0.8438,llama8b_base,h,A_to_B,0.9270833333333334,0.5833333333333334,NaN
26,0.8438,llama8b_base,h,B_to_A,0.94125,0.6375,NaN
27,0.875,llama8b_base,h,A_to_B,0.9207589285714286,0.5520833333333334,NaN
27,0.875,llama8b_base,h,B_to_A,0.9473214285714285,0.6625,NaN
28,0.9062,llama8b_base,h,A_to_B,0.9232390873015873,0.5520833333333334,NaN
28,0.9062,llama8b_base,h,B_to_A,0.9435714285714286,0.6375,NaN
29,0.9375,llama8b_base,h,A_to_B,0.9228670634920635,0.5520833333333334,NaN
29,0.9375,llama8b_base,h,B_to_A,0.9403571428571429,0.65,NaN
30,0.9688,llama8b_base,h,A_to_B,0.9263392857142857,0.5625,NaN
30,0.9688,llama8b_base,h,B_to_A,0.94,0.6375,NaN
31,1.0,llama8b_base,h,A_to_B,0.925843253968254,0.5520833333333334,NaN
31,1.0,llama8b_base,h,B_to_A,0.93625,0.625,NaN
