layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
0,0.0312,llama8b_inst,a,A_to_B,0.5564236111111112,0.15625,NaN
0,0.0312,llama8b_inst,a,B_to_A,0.5417857142857143,0.125,NaN
1,0.0625,llama8b_inst,a,A_to_B,0.609375,0.13541666666666666,NaN
1,0.0625,llama8b_inst,a,B_to_A,0.5592857142857143,0.125,NaN
2,0.0938,llama8b_inst,a,A_to_B,0.5549355158730158,0.16666666666666666,NaN
2,0.0938,llama8b_inst,a,B_to_A,0.5246428571428572,0.125,NaN
3,0.125,llama8b_inst,a,A_to_B,0.6097470238095237,0.13541666666666666,NaN
3,0.125,llama8b_inst,a,B_to_A,0.5732142857142857,0.175,NaN
4,0.1562,llama8b_inst,a,A_to_B,0.6396329365079365,0.1875,NaN
4,0.1562,llama8b_inst,a,B_to_A,0.55875,0.1,NaN
5,0.1875,llama8b_inst,a,A_to_B,0.5989583333333333,0.13541666666666666,NaN
5,0.1875,llama8b_inst,a,B_to_A,0.5441071428571429,0.1625,NaN
6,0.2188,llama8b_inst,a,A_to_B,0.5895337301587301,0.16666666666666666,NaN
6,0.2188,llama8b_inst,a,B_to_A,0.5426785714285713,0.125,NaN
7,0.25,llama8b_inst,a,A_to_B,0.6462053571428572,0.1875,NaN
7,0.25,llama8b_inst,a,B_to_A,0.5732142857142857,0.15,NaN
8,0.2812,llama8b_inst,a,A_to_B,0.7067212301587301,0.20833333333333334,NaN
8,0.2812,llama8b_inst,a,B_to_A,0.7044642857142858,0.175,NaN
9,0.3125,llama8b_inst,a,A_to_B,0.7364831349206349,0.20833333333333334,NaN
9,0.3125,llama8b_inst,a,B_to_A,0.7330357142857143,0.225,NaN
10,0.3438,llama8b_inst,a,A_to_B,0.7614087301587302,0.3125,NaN
10,0.3438,llama8b_inst,a,B_to_A,0.7255357142857143,0.3125,NaN
11,0.375,llama8b_inst,a,A_to_B,0.6831597222222222,0.16666666666666666,NaN
11,0.375,llama8b_inst,a,B_to_A,0.6832142857142858,0.225,NaN
12,0.4062,llama8b_inst,a,A_to_B,0.8226686507936508,0.2708333333333333,NaN
12,0.4062,llama8b_inst,a,B_to_A,0.7982142857142858,0.3875,NaN
13,0.4375,llama8b_inst,a,A_to_B,0.8978174603174602,0.40625,NaN
13,0.4375,llama8b_inst,a,B_to_A,0.9103571428571429,0.525,NaN
14,0.4688,llama8b_inst,a,A_to_B,0.8774801587301588,0.4166666666666667,NaN
14,0.4688,llama8b_inst,a,B_to_A,0.8419642857142857,0.375,NaN
15,0.5,llama8b_inst,a,A_to_B,0.9011656746031746,0.4375,NaN
15,0.5,llama8b_inst,a,B_to_A,0.8901785714285715,0.55,NaN
16,0.5312,llama8b_inst,a,A_to_B,0.8893849206349207,0.5416666666666666,NaN
16,0.5312,llama8b_inst,a,B_to_A,0.895,0.5375,NaN
17,0.5625,llama8b_inst,a,A_to_B,0.871155753968254,0.3645833333333333,NaN
17,0.5625,llama8b_inst,a,B_to_A,0.9076785714285714,0.5375,NaN
18,0.5938,llama8b_inst,a,A_to_B,0.8833085317460319,0.4479166666666667,NaN
18,0.5938,llama8b_inst,a,B_to_A,0.9019642857142858,0.55,NaN
19,0.625,llama8b_inst,a,A_to_B,0.7540922619047619,0.3229166666666667,NaN
19,0.625,llama8b_inst,a,B_to_A,0.864642857142857,0.4125,NaN
20,0.6562,llama8b_inst,a,A_to_B,0.8267609126984127,0.5416666666666666,NaN
20,0.6562,llama8b_inst,a,B_to_A,0.87625,0.525,NaN
21,0.6875,llama8b_inst,a,A_to_B,0.9117063492063491,0.6145833333333334,NaN
21,0.6875,llama8b_inst,a,B_to_A,0.9516071428571429,0.675,NaN
22,0.7188,llama8b_inst,a,A_to_B,0.8628472222222222,0.4166666666666667,NaN
22,0.7188,llama8b_inst,a,B_to_A,0.8351785714285714,0.475,NaN
23,0.75,llama8b_inst,a,A_to_B,0.8768601190476191,0.5416666666666666,NaN
23,0.75,llama8b_inst,a,B_to_A,0.8883928571428571,0.5875,NaN
24,0.7812,llama8b_inst,a,A_to_B,0.8453621031746031,0.4166666666666667,NaN
24,0.7812,llama8b_inst,a,B_to_A,0.7516071428571428,0.4125,NaN
25,0.8125,llama8b_inst,a,A_to_B,0.876984126984127,0.5625,NaN
25,0.8125,llama8b_inst,a,B_to_A,0.9694642857142857,0.7375,NaN
26,0.8438,llama8b_inst,a,A_to_B,0.8991815476190477,0.5208333333333334,NaN
26,0.8438,llama8b_inst,a,B_to_A,0.9328571428571428,0.625,NaN
27,0.875,llama8b_inst,a,A_to_B,0.8984375,0.5625,NaN
27,0.875,llama8b_inst,a,B_to_A,0.8975,0.575,NaN
28,0.9062,llama8b_inst,a,A_to_B,0.8795882936507937,0.5208333333333334,NaN
28,0.9062,llama8b_inst,a,B_to_A,0.9330357142857142,0.575,NaN
29,0.9375,llama8b_inst,a,A_to_B,0.8746279761904763,0.6041666666666666,NaN
29,0.9375,llama8b_inst,a,B_to_A,0.92625,0.6125,NaN
30,0.9688,llama8b_inst,a,A_to_B,0.8764880952380952,0.5208333333333334,NaN
30,0.9688,llama8b_inst,a,B_to_A,0.8883928571428571,0.55,NaN
31,1.0,llama8b_inst,a,A_to_B,0.8913690476190477,0.5520833333333334,NaN
31,1.0,llama8b_inst,a,B_to_A,0.9396428571428571,0.6875,NaN
