layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
0,0.0312,llama8b_inst,h,A_to_B,0.5438988095238095,0.17708333333333334,NaN
0,0.0312,llama8b_inst,h,B_to_A,0.5430357142857143,0.125,NaN
1,0.0625,llama8b_inst,h,A_to_B,0.5591517857142858,0.125,NaN
1,0.0625,llama8b_inst,h,B_to_A,0.5414285714285714,0.1125,NaN
2,0.0938,llama8b_inst,h,A_to_B,0.5353422619047619,0.15625,NaN
2,0.0938,llama8b_inst,h,B_to_A,0.5419642857142857,0.1375,NaN
3,0.125,llama8b_inst,h,A_to_B,0.5744047619047619,0.14583333333333334,NaN
3,0.125,llama8b_inst,h,B_to_A,0.5489285714285714,0.15,NaN
4,0.1562,llama8b_inst,h,A_to_B,0.6150793650793651,0.15625,NaN
4,0.1562,llama8b_inst,h,B_to_A,0.5389285714285714,0.15,NaN
5,0.1875,llama8b_inst,h,A_to_B,0.5905257936507936,0.14583333333333334,NaN
5,0.1875,llama8b_inst,h,B_to_A,0.5330357142857143,0.15,NaN
6,0.2188,llama8b_inst,h,A_to_B,0.6216517857142858,0.16666666666666666,NaN
6,0.2188,llama8b_inst,h,B_to_A,0.5249999999999999,0.1125,NaN
7,0.25,llama8b_inst,h,A_to_B,0.6248759920634921,0.13541666666666666,NaN
7,0.25,llama8b_inst,h,B_to_A,0.5664285714285715,0.15,NaN
8,0.2812,llama8b_inst,h,A_to_B,0.6831597222222222,0.16666666666666666,NaN
8,0.2812,llama8b_inst,h,B_to_A,0.6417857142857143,0.1625,NaN
9,0.3125,llama8b_inst,h,A_to_B,0.7158978174603174,0.17708333333333334,NaN
9,0.3125,llama8b_inst,h,B_to_A,0.6835714285714286,0.175,NaN
10,0.3438,llama8b_inst,h,A_to_B,0.7238343253968254,0.17708333333333334,NaN
10,0.3438,llama8b_inst,h,B_to_A,0.7051785714285714,0.2,NaN
11,0.375,llama8b_inst,h,A_to_B,0.7279265873015873,0.1875,NaN
11,0.375,llama8b_inst,h,B_to_A,0.6901785714285715,0.1625,NaN
12,0.4062,llama8b_inst,h,A_to_B,0.7965029761904762,0.22916666666666666,NaN
12,0.4062,llama8b_inst,h,B_to_A,0.7478571428571428,0.275,NaN
13,0.4375,llama8b_inst,h,A_to_B,0.8990575396825398,0.4479166666666667,NaN
13,0.4375,llama8b_inst,h,B_to_A,0.8185714285714285,0.3375,NaN
14,0.4688,llama8b_inst,h,A_to_B,0.9115823412698413,0.4895833333333333,NaN
14,0.4688,llama8b_inst,h,B_to_A,0.8217857142857143,0.3125,NaN
15,0.5,llama8b_inst,h,A_to_B,0.9250992063492064,0.5520833333333334,NaN
15,0.5,llama8b_inst,h,B_to_A,0.8646428571428573,0.4,NaN
16,0.5312,llama8b_inst,h,A_to_B,0.9211309523809523,0.53125,NaN
16,0.5312,llama8b_inst,h,B_to_A,0.8833928571428571,0.475,NaN
17,0.5625,llama8b_inst,h,A_to_B,0.9170386904761905,0.53125,NaN
17,0.5625,llama8b_inst,h,B_to_A,0.9075,0.5125,NaN
18,0.5938,llama8b_inst,h,A_to_B,0.9010416666666667,0.46875,NaN
18,0.5938,llama8b_inst,h,B_to_A,0.9203571428571429,0.55,NaN
19,0.625,llama8b_inst,h,A_to_B,0.9128224206349207,0.5,NaN
19,0.625,llama8b_inst,h,B_to_A,0.9371428571428572,0.6375,NaN
20,0.6562,llama8b_inst,h,A_to_B,0.910218253968254,0.5208333333333334,NaN
20,0.6562,llama8b_inst,h,B_to_A,0.9383928571428571,0.6125,NaN
21,0.6875,llama8b_inst,h,A_to_B,0.9170386904761905,0.5416666666666666,NaN
21,0.6875,llama8b_inst,h,B_to_A,0.9469642857142857,0.6375,NaN
22,0.7188,llama8b_inst,h,A_to_B,0.9117063492063492,0.5416666666666666,NaN
22,0.7188,llama8b_inst,h,B_to_A,0.9492857142857143,0.6375,NaN
23,0.75,llama8b_inst,h,A_to_B,0.9138144841269842,0.5729166666666666,NaN
23,0.75,llama8b_inst,h,B_to_A,0.9451785714285714,0.6375,NaN
24,0.7812,llama8b_inst,h,A_to_B,0.9088541666666667,0.5729166666666666,NaN
24,0.7812,llama8b_inst,h,B_to_A,0.9473214285714285,0.6625,NaN
25,0.8125,llama8b_inst,h,A_to_B,0.9020337301587302,0.5729166666666666,NaN
25,0.8125,llama8b_inst,h,B_to_A,0.9498214285714286,0.6625,NaN
26,0.8438,llama8b_inst,h,A_to_B,0.9058779761904762,0.5729166666666666,NaN
26,0.8438,llama8b_inst,h,B_to_A,0.9501785714285713,0.6625,NaN
27,0.875,llama8b_inst,h,A_to_B,0.9050099206349207,0.5520833333333334,NaN
27,0.875,llama8b_inst,h,B_to_A,0.9492857142857143,0.6625,NaN
28,0.9062,llama8b_inst,h,A_to_B,0.9041418650793651,0.5729166666666666,NaN
28,0.9062,llama8b_inst,h,B_to_A,0.9498214285714285,0.6625,NaN
29,0.9375,llama8b_inst,h,A_to_B,0.9021577380952381,0.59375,NaN
29,0.9375,llama8b_inst,h,B_to_A,0.9460714285714286,0.65,NaN
30,0.9688,llama8b_inst,h,A_to_B,0.9057539682539681,0.5729166666666666,NaN
30,0.9688,llama8b_inst,h,B_to_A,0.9430357142857143,0.65,NaN
31,1.0,llama8b_inst,h,A_to_B,0.904265873015873,0.5520833333333334,NaN
31,1.0,llama8b_inst,h,B_to_A,0.9408928571428572,0.625,NaN
