layer,norm_depth,model_key,act_type,condition,auroc_mean,acc_mean,auroc_std
0,0.0312,llama8b_inst,m,A_to_B,0.5362103174603174,0.15625,NaN
0,0.0312,llama8b_inst,m,B_to_A,0.5448214285714286,0.125,NaN
1,0.0625,llama8b_inst,m,A_to_B,0.5584077380952381,0.125,NaN
1,0.0625,llama8b_inst,m,B_to_A,0.5351785714285715,0.1125,NaN
2,0.0938,llama8b_inst,m,A_to_B,0.5260416666666667,0.14583333333333334,NaN
2,0.0938,llama8b_inst,m,B_to_A,0.5491071428571428,0.1375,NaN
3,0.125,llama8b_inst,m,A_to_B,0.605406746031746,0.13541666666666666,NaN
3,0.125,llama8b_inst,m,B_to_A,0.5789285714285715,0.1625,NaN
4,0.1562,llama8b_inst,m,A_to_B,0.6129712301587302,0.16666666666666666,NaN
4,0.1562,llama8b_inst,m,B_to_A,0.5491071428571429,0.1375,NaN
5,0.1875,llama8b_inst,m,A_to_B,0.6013144841269842,0.14583333333333334,NaN
5,0.1875,llama8b_inst,m,B_to_A,0.5569642857142857,0.1875,NaN
6,0.2188,llama8b_inst,m,A_to_B,0.6067708333333334,0.16666666666666666,NaN
6,0.2188,llama8b_inst,m,B_to_A,0.5355357142857142,0.1125,NaN
7,0.25,llama8b_inst,m,A_to_B,0.6349206349206349,0.1875,NaN
7,0.25,llama8b_inst,m,B_to_A,0.5658928571428572,0.1375,NaN
8,0.2812,llama8b_inst,m,A_to_B,0.6447172619047619,0.1875,NaN
8,0.2812,llama8b_inst,m,B_to_A,0.6278571428571429,0.1375,NaN
9,0.3125,llama8b_inst,m,A_to_B,0.693328373015873,0.125,NaN
9,0.3125,llama8b_inst,m,B_to_A,0.7110714285714286,0.2,NaN
10,0.3438,llama8b_inst,m,A_to_B,0.7341269841269842,0.21875,NaN
10,0.3438,llama8b_inst,m,B_to_A,0.7332142857142858,0.2,NaN
11,0.375,llama8b_inst,m,A_to_B,0.7201140873015873,0.16666666666666666,NaN
11,0.375,llama8b_inst,m,B_to_A,0.7005357142857143,0.1625,NaN
12,0.4062,llama8b_inst,m,A_to_B,0.7672371031746031,0.16666666666666666,NaN
12,0.4062,llama8b_inst,m,B_to_A,0.7214285714285713,0.2375,NaN
13,0.4375,llama8b_inst,m,A_to_B,0.8909970238095237,0.4583333333333333,NaN
13,0.4375,llama8b_inst,m,B_to_A,0.845,0.275,NaN
14,0.4688,llama8b_inst,m,A_to_B,0.882936507936508,0.4270833333333333,NaN
14,0.4688,llama8b_inst,m,B_to_A,0.8517857142857143,0.3875,NaN
15,0.5,llama8b_inst,m,A_to_B,0.9246031746031745,0.5208333333333334,NaN
15,0.5,llama8b_inst,m,B_to_A,0.8946428571428571,0.5375,NaN
16,0.5312,llama8b_inst,m,A_to_B,0.9118303571428571,0.4895833333333333,NaN
16,0.5312,llama8b_inst,m,B_to_A,0.8905357142857143,0.55,NaN
17,0.5625,llama8b_inst,m,A_to_B,0.9055059523809524,0.5104166666666666,NaN
17,0.5625,llama8b_inst,m,B_to_A,0.8989285714285714,0.475,NaN
18,0.5938,llama8b_inst,m,A_to_B,0.8812003968253967,0.4895833333333333,NaN
18,0.5938,llama8b_inst,m,B_to_A,0.9133928571428572,0.525,NaN
19,0.625,llama8b_inst,m,A_to_B,0.9213789682539683,0.5416666666666666,NaN
19,0.625,llama8b_inst,m,B_to_A,0.9628571428571429,0.625,NaN
20,0.6562,llama8b_inst,m,A_to_B,0.9074900793650793,0.53125,NaN
20,0.6562,llama8b_inst,m,B_to_A,0.9339285714285714,0.575,NaN
21,0.6875,llama8b_inst,m,A_to_B,0.9203869047619048,0.5625,NaN
21,0.6875,llama8b_inst,m,B_to_A,0.9442857142857143,0.675,NaN
22,0.7188,llama8b_inst,m,A_to_B,0.8994295634920635,0.4895833333333333,NaN
22,0.7188,llama8b_inst,m,B_to_A,0.9475,0.6125,NaN
23,0.75,llama8b_inst,m,A_to_B,0.9191468253968254,0.59375,NaN
23,0.75,llama8b_inst,m,B_to_A,0.94875,0.6625,NaN
24,0.7812,llama8b_inst,m,A_to_B,0.8958333333333333,0.5208333333333334,NaN
24,0.7812,llama8b_inst,m,B_to_A,0.9316071428571429,0.6375,NaN
25,0.8125,llama8b_inst,m,A_to_B,0.890625,0.5833333333333334,NaN
25,0.8125,llama8b_inst,m,B_to_A,0.9323214285714285,0.6,NaN
26,0.8438,llama8b_inst,m,A_to_B,0.9177827380952381,0.5833333333333334,NaN
26,0.8438,llama8b_inst,m,B_to_A,0.9450000000000001,0.6625,NaN
27,0.875,llama8b_inst,m,A_to_B,0.9143105158730158,0.6041666666666666,NaN
27,0.875,llama8b_inst,m,B_to_A,0.9564285714285714,0.6875,NaN
28,0.9062,llama8b_inst,m,A_to_B,0.8937251984126984,0.6041666666666666,NaN
28,0.9062,llama8b_inst,m,B_to_A,0.9519642857142858,0.7,NaN
29,0.9375,llama8b_inst,m,A_to_B,0.9055059523809523,0.59375,NaN
29,0.9375,llama8b_inst,m,B_to_A,0.9532142857142858,0.65,NaN
30,0.9688,llama8b_inst,m,A_to_B,0.8999255952380952,0.5833333333333334,NaN
30,0.9688,llama8b_inst,m,B_to_A,0.9417857142857142,0.6,NaN
31,1.0,llama8b_inst,m,A_to_B,0.9153025793650793,0.6145833333333334,NaN
31,1.0,llama8b_inst,m,B_to_A,0.9430357142857142,0.7,NaN
