layer,norm_depth,stimulus_set,token,count,token_type
10,0.2619,seta,<bos>,707,punctuation
10,0.2619,seta,:,240,function_word
10,0.2619,seta,Answer,162,context_word
10,0.2619,seta,"",88,function_word
10,0.2619,seta,.,63,function_word
10,0.2619,setb,<bos>,851,punctuation
10,0.2619,setb,:,288,function_word
10,0.2619,setb,Answer,192,context_word
10,0.2619,setb,"",178,function_word
10,0.2619,setb,.,15,function_word
11,0.2857,seta,<bos>,807,punctuation
11,0.2857,seta,:,160,function_word
11,0.2857,seta,Answer,143,context_word
11,0.2857,seta,"",121,function_word
11,0.2857,seta,?,49,function_word
11,0.2857,setb,<bos>,953,punctuation
11,0.2857,setb,Answer,270,context_word
11,0.2857,setb,:,192,function_word
11,0.2857,setb,"",108,function_word
11,0.2857,setb,?,13,function_word
12,0.3095,seta,<bos>,619,punctuation
12,0.3095,seta,:,368,function_word
12,0.3095,seta,"",168,function_word
12,0.3095,seta,?,57,function_word
12,0.3095,seta,.,27,function_word
12,0.3095,setb,<bos>,859,punctuation
12,0.3095,setb,:,383,function_word
12,0.3095,setb,"",162,function_word
12,0.3095,setb,?,68,function_word
12,0.3095,setb,.,22,function_word
