layer,norm_depth,stimulus_set,token,count,token_type
10,0.2619,seta,<bos>,655,punctuation
10,0.2619,seta,:,314,function_word
10,0.2619,seta,"",148,function_word
10,0.2619,seta,Answer,106,context_word
10,0.2619,seta,.,34,function_word
10,0.2619,setb,<bos>,803,punctuation
10,0.2619,setb,:,368,function_word
10,0.2619,setb,"",188,function_word
10,0.2619,setb,Answer,141,context_word
10,0.2619,setb,.,19,function_word
11,0.2857,seta,<bos>,810,punctuation
11,0.2857,seta,:,160,function_word
11,0.2857,seta,Answer,155,context_word
11,0.2857,seta,"",88,function_word
11,0.2857,seta,?,53,function_word
11,0.2857,setb,<bos>,1025,punctuation
11,0.2857,setb,:,197,function_word
11,0.2857,setb,"",157,function_word
11,0.2857,setb,Answer,146,context_word
11,0.2857,setb,?,7,function_word
12,0.3095,seta,<bos>,712,punctuation
12,0.3095,seta,:,201,function_word
12,0.3095,seta,"",160,function_word
12,0.3095,seta,emotions,79,context_word
12,0.3095,seta,I,47,function_word
12,0.3095,setb,<bos>,1025,punctuation
12,0.3095,setb,:,192,function_word
12,0.3095,setb,"",138,function_word
12,0.3095,setb,emotions,96,context_word
12,0.3095,setb,.,39,function_word
