layer,norm_depth,stimulus_set,token,count,token_type
4,0.3125,seta,<|begin_of_text|>,2022,punctuation
4,0.3125,seta,:,246,function_word
4,0.3125,seta,?,132,function_word
4,0.3125,seta,Answer,101,context_word
4,0.3125,seta,.,41,function_word
4,0.3125,setb,<|begin_of_text|>,2327,punctuation
4,0.3125,setb,:,302,function_word
4,0.3125,setb,?,213,function_word
4,0.3125,setb,Answer,146,context_word
4,0.3125,setb,"",48,function_word
5,0.375,seta,<|begin_of_text|>,2414,punctuation
5,0.375,seta,"",134,function_word
5,0.375,seta,Answer,8,context_word
5,0.375,seta,?,2,function_word
5,0.375,seta,.,1,function_word
5,0.375,setb,<|begin_of_text|>,2948,punctuation
5,0.375,setb,"",100,function_word
5,0.375,setb,Answer,21,context_word
5,0.375,setb,.,2,function_word
5,0.375,setb,?,1,function_word
6,0.4375,seta,<|begin_of_text|>,2270,punctuation
6,0.4375,seta,"",170,function_word
6,0.4375,seta,.,40,function_word
6,0.4375,seta,Answer,38,context_word
6,0.4375,seta,?,15,function_word
6,0.4375,setb,<|begin_of_text|>,2852,punctuation
6,0.4375,setb,"",158,function_word
6,0.4375,setb,?,27,function_word
6,0.4375,setb,in,12,function_word
6,0.4375,setb,Answer,10,context_word
7,0.5,seta,<|begin_of_text|>,2063,punctuation
7,0.5,seta,"",272,function_word
7,0.5,seta,joy,116,emotion_keyword
7,0.5,seta,.,41,function_word
7,0.5,seta,Answer,36,context_word
7,0.5,setb,<|begin_of_text|>,2501,punctuation
7,0.5,setb,"",304,function_word
7,0.5,setb,joy,145,emotion_keyword
7,0.5,setb,Answer,92,context_word
7,0.5,setb,.,14,function_word
8,0.5625,seta,<|begin_of_text|>,1641,punctuation
8,0.5625,seta,joy,237,emotion_keyword
8,0.5625,seta,.,189,function_word
8,0.5625,seta,:,113,function_word
8,0.5625,seta,emotions,92,context_word
8,0.5625,setb,<|begin_of_text|>,2008,punctuation
8,0.5625,setb,joy,315,emotion_keyword
8,0.5625,setb,.,280,function_word
8,0.5625,setb,:,143,function_word
8,0.5625,setb,"",131,function_word
9,0.625,seta,<|begin_of_text|>,1290,punctuation
9,0.625,seta,sadness,267,emotion_keyword
9,0.625,seta,:,255,function_word
9,0.625,seta,emotions,243,context_word
9,0.625,seta,.,134,function_word
9,0.625,setb,<|begin_of_text|>,1298,punctuation
9,0.625,setb,sadness,459,emotion_keyword
9,0.625,setb,emotions,337,context_word
9,0.625,setb,:,288,function_word
9,0.625,setb,.,280,function_word
10,0.6875,seta,<|begin_of_text|>,2053,punctuation
10,0.6875,seta,:,99,function_word
10,0.6875,seta,sadness,94,emotion_keyword
10,0.6875,seta,joy,56,emotion_keyword
10,0.6875,seta,disgust,26,emotion_keyword
10,0.6875,setb,<|begin_of_text|>,2539,punctuation
10,0.6875,setb,:,183,function_word
10,0.6875,setb,sadness,168,emotion_keyword
10,0.6875,setb,joy,83,emotion_keyword
10,0.6875,setb,died,41,context_word
11,0.75,seta,<|begin_of_text|>,2046,punctuation
11,0.75,seta,:,135,function_word
11,0.75,seta,sadness,62,emotion_keyword
11,0.75,seta,joy,38,emotion_keyword
11,0.75,seta,trust,21,context_word
11,0.75,setb,<|begin_of_text|>,2464,punctuation
11,0.75,setb,:,184,function_word
11,0.75,setb,sadness,165,emotion_keyword
11,0.75,setb,.,105,function_word
11,0.75,setb,joy,23,emotion_keyword
12,0.8125,seta,<|begin_of_text|>,2445,punctuation
12,0.8125,seta,:,52,function_word
12,0.8125,seta,joy,18,emotion_keyword
12,0.8125,seta,angry,14,emotion_keyword
12,0.8125,seta,sadness,7,emotion_keyword
12,0.8125,setb,<|begin_of_text|>,2963,punctuation
12,0.8125,setb,:,100,function_word
12,0.8125,setb,joy,5,emotion_keyword
12,0.8125,setb,polite,2,context_word
12,0.8125,setb,operated,1,context_word
