layer,norm_depth,stimulus_set,token,count,token_type
8,0.2812,seta,<|begin_of_text|>,1980,punctuation
8,0.2812,seta,:,208,function_word
8,0.2812,seta,"",171,function_word
8,0.2812,seta,?,62,function_word
8,0.2812,seta,joy,58,emotion_keyword
8,0.2812,setb,<|begin_of_text|>,2420,punctuation
8,0.2812,setb,"",234,function_word
8,0.2812,setb,:,221,function_word
8,0.2812,setb,?,90,function_word
8,0.2812,setb,joy,45,emotion_keyword
9,0.3125,seta,<|begin_of_text|>,1640,punctuation
9,0.3125,seta,.,273,function_word
9,0.3125,seta,:,210,function_word
9,0.3125,seta,emotions,83,context_word
9,0.3125,seta,sadness,73,emotion_keyword
9,0.3125,setb,<|begin_of_text|>,1950,punctuation
9,0.3125,setb,.,364,function_word
9,0.3125,setb,:,252,function_word
9,0.3125,setb,emotions,148,context_word
9,0.3125,setb,Answer,103,context_word
10,0.3438,seta,<|begin_of_text|>,1598,punctuation
10,0.3438,seta,:,157,function_word
10,0.3438,seta,joy,146,emotion_keyword
10,0.3438,seta,sadness,127,emotion_keyword
10,0.3438,seta,.,121,function_word
10,0.3438,setb,<|begin_of_text|>,1993,punctuation
10,0.3438,setb,joy,213,emotion_keyword
10,0.3438,setb,sadness,213,emotion_keyword
10,0.3438,setb,.,175,function_word
10,0.3438,setb,:,165,function_word
11,0.375,seta,<|begin_of_text|>,1564,punctuation
11,0.375,seta,.,456,function_word
11,0.375,seta,:,187,function_word
11,0.375,seta,Answer,125,context_word
11,0.375,seta,joy,82,emotion_keyword
11,0.375,setb,<|begin_of_text|>,1811,punctuation
11,0.375,setb,.,623,function_word
11,0.375,setb,:,243,function_word
11,0.375,setb,Answer,196,context_word
11,0.375,setb,joy,100,emotion_keyword
12,0.4062,seta,<|begin_of_text|>,1885,punctuation
12,0.4062,seta,:,329,function_word
12,0.4062,seta,.,237,function_word
12,0.4062,seta,joy,19,emotion_keyword
12,0.4062,seta,surprise,14,emotion_keyword
12,0.4062,setb,<|begin_of_text|>,2072,punctuation
12,0.4062,setb,.,529,function_word
12,0.4062,setb,:,348,function_word
12,0.4062,setb,joy,38,emotion_keyword
12,0.4062,setb,sadness,24,emotion_keyword
