layer,head,norm_depth,seta_emo_kw_prop,setb_emo_kw_prop,emo_sensitivity
0,0,0.0238,0.0,0.0,0.0
0,1,0.0238,0.32499998807907104,0.0625,0.26249998807907104
0,2,0.0238,0.0,0.0,0.0
0,3,0.0238,0.0,0.0,0.0
0,4,0.0238,0.0,0.0,0.0
0,5,0.0238,0.0,0.0,0.0
0,6,0.0238,0.0,0.0,0.0
0,7,0.0238,0.0,0.0,0.0
0,8,0.0238,0.0,0.0,0.0
0,9,0.0238,0.0,0.0,0.0
0,10,0.0238,0.0,0.0,0.0
0,11,0.0238,0.0,0.0,0.0
0,12,0.0238,0.0,0.0,0.0
0,13,0.0238,0.0,0.0,0.0
0,14,0.0238,0.0,0.0,0.0
0,15,0.0238,0.0,0.0,0.0
1,0,0.0476,0.0,0.0,0.0
1,1,0.0476,0.0,0.0,0.0
1,2,0.0476,0.0,0.0,0.0
1,3,0.0476,0.0,0.0,0.0
1,4,0.0476,0.0,0.0,0.0
1,5,0.0476,0.0,0.0,0.0
1,6,0.0476,0.0,0.0,0.0
1,7,0.0476,0.0,0.0,0.0
1,8,0.0476,0.0,0.0,0.0
1,9,0.0476,0.0,0.0,0.0
1,10,0.0476,0.0,0.0,0.0
1,11,0.0476,0.0,0.0,0.0
1,12,0.0476,0.0,0.0,0.0
1,13,0.0476,0.0,0.0,0.0
1,14,0.0476,0.0,0.0,0.0
1,15,0.0476,0.0,0.0,0.0
2,0,0.0714,0.0,0.0,0.0
2,1,0.0714,0.0,0.0,0.0
2,2,0.0714,0.0,0.0,0.0
2,3,0.0714,0.0,0.0,0.0
2,4,0.0714,0.0,0.0,0.0
2,5,0.0714,0.0,0.0,0.0
2,6,0.0714,0.0,0.0,0.0
2,7,0.0714,0.0,0.0,0.0
2,8,0.0714,0.0,0.0,0.0
2,9,0.0714,0.0,0.0,0.0
2,10,0.0714,0.0,0.0,0.0
2,11,0.0714,0.0,0.0,0.0
2,12,0.0714,0.0,0.0,0.0
2,13,0.0714,0.0,0.0,0.0
2,14,0.0714,0.0,0.0,0.0
2,15,0.0714,0.0,0.0,0.0
3,0,0.0952,0.0,0.0,0.0
3,1,0.0952,0.0,0.0,0.0
3,2,0.0952,0.0,0.0,0.0
3,3,0.0952,0.0,0.0,0.0
3,4,0.0952,0.0,0.0,0.0
3,5,0.0952,0.0,0.0,0.0
3,6,0.0952,0.0,0.0,0.0
3,7,0.0952,0.0,0.0,0.0
3,8,0.0952,0.0,0.0,0.0
3,9,0.0952,0.0,0.0,0.0
3,10,0.0952,0.0,0.0,0.0
3,11,0.0952,0.0,0.0,0.0
3,12,0.0952,0.0,0.0,0.0
3,13,0.0952,0.0,0.0,0.0
3,14,0.0952,0.0,0.0,0.0
3,15,0.0952,0.0,0.0,0.0
4,0,0.119,0.0,0.0,0.0
4,1,0.119,0.0,0.0,0.0
4,2,0.119,0.0,0.0,0.0
4,3,0.119,0.0,0.0,0.0
4,4,0.119,0.125,0.010416666977107525,0.1145833358168602
4,5,0.119,0.0,0.0,0.0
4,6,0.119,0.0,0.0,0.0
4,7,0.119,0.0,0.0,0.0
4,8,0.119,0.0,0.0,0.0
4,9,0.119,0.0,0.0,0.0
4,10,0.119,0.02500000037252903,0.0,0.02500000037252903
4,11,0.119,0.0,0.0,0.0
4,12,0.119,0.0,0.0,0.0
4,13,0.119,0.0,0.0,0.0
4,14,0.119,0.0,0.0,0.0
4,15,0.119,0.0,0.0,0.0
5,0,0.1429,0.0,0.0,0.0
5,1,0.1429,0.0,0.0,0.0
5,2,0.1429,0.0,0.0,0.0
5,3,0.1429,0.0,0.0,0.0
5,4,0.1429,0.0,0.0,0.0
5,5,0.1429,0.0,0.0,0.0
5,6,0.1429,0.0,0.0,0.0
5,7,0.1429,0.0,0.0,0.0
5,8,0.1429,0.0,0.0,0.0
5,9,0.1429,0.0,0.0,0.0
5,10,0.1429,0.0,0.0,0.0
5,11,0.1429,0.0,0.0,0.0
5,12,0.1429,0.0,0.0,0.0
5,13,0.1429,0.0,0.0,0.0
5,14,0.1429,0.0,0.0,0.0
5,15,0.1429,0.0,0.0,0.0
6,0,0.1667,0.0,0.0,0.0
6,1,0.1667,0.0,0.0,0.0
6,2,0.1667,0.0,0.0,0.0
6,3,0.1667,0.0,0.0,0.0
6,4,0.1667,0.0,0.0,0.0
6,5,0.1667,0.0,0.0,0.0
6,6,0.1667,0.0,0.0,0.0
6,7,0.1667,0.0,0.0,0.0
6,8,0.1667,0.0,0.0,0.0
6,9,0.1667,0.0,0.0,0.0
6,10,0.1667,0.0,0.0,0.0
6,11,0.1667,0.0,0.0,0.0
6,12,0.1667,0.0,0.0,0.0
6,13,0.1667,0.0,0.0,0.0
6,14,0.1667,0.0,0.0,0.0
6,15,0.1667,0.0,0.0,0.0
7,0,0.1905,0.0,0.0,0.0
7,1,0.1905,0.800000011920929,0.3958333432674408,0.40416666865348816
7,2,0.1905,0.0,0.0,0.0
7,3,0.1905,0.0,0.0,0.0
7,4,0.1905,0.0,0.0,0.0
7,5,0.1905,0.0,0.0,0.0
7,6,0.1905,0.0,0.0,0.0
7,7,0.1905,0.0,0.0,0.0
7,8,0.1905,0.0,0.0,0.0
7,9,0.1905,0.0,0.0,0.0
7,10,0.1905,0.0,0.0,0.0
7,11,0.1905,0.0,0.0,0.0
7,12,0.1905,0.0,0.0,0.0
7,13,0.1905,0.0,0.0,0.0
7,14,0.1905,0.0,0.0,0.0
7,15,0.1905,0.0,0.0,0.0
8,0,0.2143,0.0,0.0,0.0
8,1,0.2143,0.0,0.0,0.0
8,2,0.2143,0.0,0.0,0.0
8,3,0.2143,0.0,0.0,0.0
8,4,0.2143,0.0,0.0,0.0
8,5,0.2143,0.0,0.0,0.0
8,6,0.2143,0.0,0.0,0.0
8,7,0.2143,0.0,0.0,0.0
8,8,0.2143,0.0,0.0,0.0
8,9,0.2143,0.0,0.0,0.0
8,10,0.2143,0.012500000186264515,0.0,0.012500000186264515
8,11,0.2143,0.0,0.0,0.0
8,12,0.2143,0.0,0.0,0.0
8,13,0.2143,0.0,0.0,0.0
8,14,0.2143,0.0,0.0,0.0
8,15,0.2143,0.0,0.0,0.0
9,0,0.2381,0.0,0.0,0.0
9,1,0.2381,0.0,0.0,0.0
9,2,0.2381,0.0,0.0,0.0
9,3,0.2381,0.0,0.0,0.0
9,4,0.2381,0.0,0.0,0.0
9,5,0.2381,0.0,0.0,0.0
9,6,0.2381,0.0,0.0,0.0
9,7,0.2381,0.0,0.0,0.0
9,8,0.2381,0.0,0.0,0.0
9,9,0.2381,0.0,0.0,0.0
9,10,0.2381,0.0,0.0,0.0
9,11,0.2381,0.0,0.0,0.0
9,12,0.2381,0.0,0.0,0.0
9,13,0.2381,0.0,0.0,0.0
9,14,0.2381,0.0,0.0,0.0
9,15,0.2381,0.0,0.0,0.0
10,0,0.2619,0.0,0.0,0.0
10,1,0.2619,0.0,0.0,0.0
10,2,0.2619,0.0,0.0,0.0
10,3,0.2619,0.05000000074505806,0.0,0.05000000074505806
10,4,0.2619,0.0,0.0,0.0
10,5,0.2619,0.0,0.0,0.0
10,6,0.2619,0.0,0.0,0.0
10,7,0.2619,0.0,0.0,0.0
10,8,0.2619,0.0,0.0,0.0
10,9,0.2619,0.0,0.0,0.0
10,10,0.2619,0.0,0.0,0.0
10,11,0.2619,0.0,0.0,0.0
10,12,0.2619,0.0,0.0,0.0
10,13,0.2619,0.0,0.0,0.0
10,14,0.2619,0.0,0.0,0.0
10,15,0.2619,0.0,0.0,0.0
11,0,0.2857,0.0,0.0,0.0
11,1,0.2857,0.0,0.0,0.0
11,2,0.2857,0.0,0.0,0.0
11,3,0.2857,0.0,0.0,0.0
11,4,0.2857,0.0,0.0,0.0
11,5,0.2857,0.0,0.0,0.0
11,6,0.2857,0.0,0.0,0.0
11,7,0.2857,0.0,0.0,0.0
11,8,0.2857,0.0,0.0,0.0
11,9,0.2857,0.0,0.0,0.0
11,10,0.2857,0.0,0.0,0.0
11,11,0.2857,0.0,0.0,0.0
11,12,0.2857,0.0,0.0,0.0
11,13,0.2857,0.0,0.0,0.0
11,14,0.2857,0.0,0.0,0.0
11,15,0.2857,0.0,0.0,0.0
12,0,0.3095,0.0,0.0,0.0
12,1,0.3095,0.0,0.0,0.0
12,2,0.3095,0.0,0.0,0.0
