layer,head,norm_depth,seta_emo_kw_prop,setb_emo_kw_prop,emo_sensitivity
0,0,0.0238,0.02500000037252903,0.02083333395421505,0.00416666641831398
0,1,0.0238,0.5874999761581421,0.6458333134651184,-0.05833333730697632
0,2,0.0238,0.0,0.0,0.0
0,3,0.0238,0.0,0.0,0.0
0,4,0.0238,0.0,0.0,0.0
0,5,0.0238,0.0,0.0,0.0
0,6,0.0238,0.0,0.0,0.0
0,7,0.0238,0.0,0.0,0.0
0,8,0.0238,0.0,0.0,0.0
0,9,0.0238,0.0,0.0,0.0
0,10,0.0238,0.0,0.0,0.0
0,11,0.0238,0.0,0.0,0.0
0,12,0.0238,0.0,0.0,0.0
0,13,0.0238,0.0,0.0,0.0
0,14,0.0238,0.0,0.0,0.0
0,15,0.0238,0.0,0.0,0.0
1,0,0.0476,0.0,0.0,0.0
1,1,0.0476,0.0,0.0,0.0
1,2,0.0476,0.0,0.0,0.0
1,3,0.0476,0.0,0.0,0.0
1,4,0.0476,0.0,0.0,0.0
1,5,0.0476,0.0,0.0,0.0
1,6,0.0476,0.0,0.0,0.0
1,7,0.0476,0.0,0.0,0.0
1,8,0.0476,0.0,0.0,0.0
1,9,0.0476,0.0,0.0,0.0
1,10,0.0476,0.0,0.0,0.0
1,11,0.0476,0.0,0.0,0.0
1,12,0.0476,0.0,0.0,0.0
1,13,0.0476,0.0,0.0,0.0
1,14,0.0476,0.0,0.0,0.0
1,15,0.0476,0.0,0.0,0.0
2,0,0.0714,0.0,0.0,0.0
2,1,0.0714,0.0,0.0,0.0
2,2,0.0714,0.0,0.0,0.0
2,3,0.0714,0.0,0.0,0.0
2,4,0.0714,0.0,0.0,0.0
2,5,0.0714,0.0,0.0,0.0
2,6,0.0714,0.0,0.0,0.0
2,7,0.0714,0.0,0.0,0.0
2,8,0.0714,0.0,0.0,0.0
2,9,0.0714,0.0,0.0,0.0
2,10,0.0714,0.0,0.0,0.0
2,11,0.0714,0.0,0.0,0.0
2,12,0.0714,0.0,0.0,0.0
2,13,0.0714,0.0,0.0,0.0
2,14,0.0714,0.0,0.0,0.0
2,15,0.0714,0.0,0.0,0.0
3,0,0.0952,0.0,0.0,0.0
3,1,0.0952,0.0,0.0,0.0
3,2,0.0952,0.0,0.0,0.0
3,3,0.0952,0.0,0.0,0.0
3,4,0.0952,0.0,0.0,0.0
3,5,0.0952,0.0,0.0,0.0
3,6,0.0952,0.0,0.0,0.0
3,7,0.0952,0.0,0.0,0.0
3,8,0.0952,0.0,0.0,0.0
3,9,0.0952,0.0,0.0,0.0
3,10,0.0952,0.0,0.0,0.0
3,11,0.0952,0.0,0.0,0.0
3,12,0.0952,0.0,0.0,0.0
3,13,0.0952,0.0,0.0,0.0
3,14,0.0952,0.0,0.0,0.0
