layer,norm_depth,act_type,knockout_type,stimulus_set,accuracy_drop,n_changed,n_total,is_critical,model_key
31,1.0,a,zero,setb,0.23958333333333334,23,96,true,llama8b_inst
14,0.4688,a,random,seta,0.2,16,80,true,llama8b_inst
31,1.0,a,random,seta,0.2,16,80,true,llama8b_inst
31,1.0,a,random,setb,0.2916666666666667,28,96,true,llama8b_inst
16,0.5312,m,zero,seta,0.2,16,80,true,llama8b_inst
18,0.5938,m,zero,seta,0.275,22,80,true,llama8b_inst
27,0.875,m,zero,seta,0.225,18,80,true,llama8b_inst
31,1.0,m,zero,seta,0.375,30,80,true,llama8b_inst
12,0.4062,m,zero,setb,0.21875,21,96,true,llama8b_inst
18,0.5938,m,zero,setb,0.20833333333333334,20,96,true,llama8b_inst
30,0.9688,m,zero,setb,0.23958333333333334,23,96,true,llama8b_inst
31,1.0,m,zero,setb,0.5625,54,96,true,llama8b_inst
12,0.4062,m,random,seta,0.225,18,80,true,llama8b_inst
16,0.5312,m,random,seta,0.2125,17,80,true,llama8b_inst
17,0.5625,m,random,seta,0.2125,17,80,true,llama8b_inst
18,0.5938,m,random,seta,0.2875,23,80,true,llama8b_inst
27,0.875,m,random,seta,0.2375,19,80,true,llama8b_inst
31,1.0,m,random,seta,0.625,50,80,true,llama8b_inst
13,0.4375,m,random,setb,0.23958333333333334,23,96,true,llama8b_inst
14,0.4688,m,random,setb,0.22916666666666666,22,96,true,llama8b_inst
17,0.5625,m,random,setb,0.21875,21,96,true,llama8b_inst
18,0.5938,m,random,setb,0.2604166666666667,25,96,true,llama8b_inst
20,0.6562,m,random,setb,0.21875,21,96,true,llama8b_inst
21,0.6875,m,random,setb,0.23958333333333334,23,96,true,llama8b_inst
22,0.7188,m,random,setb,0.21875,21,96,true,llama8b_inst
25,0.8125,m,random,setb,0.21875,21,96,true,llama8b_inst
27,0.875,m,random,setb,0.23958333333333334,23,96,true,llama8b_inst
29,0.9375,m,random,setb,0.23958333333333334,23,96,true,llama8b_inst
30,0.9688,m,random,setb,0.3020833333333333,29,96,true,llama8b_inst
31,1.0,m,random,setb,0.7395833333333334,71,96,true,llama8b_inst
