layer,norm_depth,act_type,knockout_type,stimulus_set,accuracy_drop,n_changed,n_total,is_critical
0,0.0238,a,zero,seta,0.0125,1,80,false
1,0.0476,a,zero,seta,0.0,0,80,false
2,0.0714,a,zero,seta,0.0125,1,80,false
3,0.0952,a,zero,seta,0.0,0,80,false
4,0.119,a,zero,seta,0.0,0,80,false
5,0.1429,a,zero,seta,0.0,0,80,false
6,0.1667,a,zero,seta,0.0125,1,80,false
7,0.1905,a,zero,seta,0.0,0,80,false
8,0.2143,a,zero,seta,0.0,0,80,false
9,0.2381,a,zero,seta,0.0125,1,80,false
10,0.2619,a,zero,seta,0.0,0,80,false
11,0.2857,a,zero,seta,0.0,0,80,false
12,0.3095,a,zero,seta,0.0,0,80,false
13,0.3333,a,zero,seta,0.0,0,80,false
14,0.3571,a,zero,seta,0.0125,1,80,false
15,0.381,a,zero,seta,0.025,2,80,false
16,0.4048,a,zero,seta,0.0125,1,80,false
17,0.4286,a,zero,seta,0.0,0,80,false
18,0.4524,a,zero,seta,0.05,4,80,false
19,0.4762,a,zero,seta,0.0125,1,80,false
20,0.5,a,zero,seta,0.0,0,80,false
21,0.5238,a,zero,seta,0.0125,1,80,false
22,0.5476,a,zero,seta,0.025,2,80,false
23,0.5714,a,zero,seta,0.0125,1,80,false
24,0.5952,a,zero,seta,0.0625,5,80,false
25,0.619,a,zero,seta,0.05,4,80,false
26,0.6429,a,zero,seta,0.0375,3,80,false
27,0.6667,a,zero,seta,0.0375,3,80,false
28,0.6905,a,zero,seta,0.0,0,80,false
29,0.7143,a,zero,seta,0.025,2,80,false
30,0.7381,a,zero,seta,0.075,6,80,false
31,0.7619,a,zero,seta,0.0375,3,80,false
32,0.7857,a,zero,seta,0.0125,1,80,false
33,0.8095,a,zero,seta,0.0125,1,80,false
34,0.8333,a,zero,seta,0.025,2,80,false
35,0.8571,a,zero,seta,0.0125,1,80,false
36,0.881,a,zero,seta,0.0125,1,80,false
