layer,norm_depth,act_type,knockout_type,stimulus_set,accuracy_drop,n_changed,n_total,is_critical
0,0.0625,a,zero,seta,0.0375,3,80,false
1,0.125,a,zero,seta,0.025,2,80,false
2,0.1875,a,zero,seta,0.025,2,80,false
3,0.25,a,zero,seta,0.0375,3,80,false
4,0.3125,a,zero,seta,0.025,2,80,false
5,0.375,a,zero,seta,0.0375,3,80,false
6,0.4375,a,zero,seta,0.025,2,80,false
7,0.5,a,zero,seta,0.175,14,80,false
8,0.5625,a,zero,seta,0.1,8,80,false
9,0.625,a,zero,seta,0.3875,31,80,true
10,0.6875,a,zero,seta,0.125,10,80,false
11,0.75,a,zero,seta,0.1125,9,80,false
12,0.8125,a,zero,seta,0.0375,3,80,false
13,0.875,a,zero,seta,0.1,8,80,false
14,0.9375,a,zero,seta,0.2125,17,80,true
15,1.0,a,zero,seta,0.0875,7,80,false
0,0.0625,a,zero,setb,0.1875,18,96,false
1,0.125,a,zero,setb,0.07291666666666667,7,96,false
2,0.1875,a,zero,setb,0.08333333333333333,8,96,false
3,0.25,a,zero,setb,0.10416666666666667,10,96,false
4,0.3125,a,zero,setb,0.0625,6,96,false
5,0.375,a,zero,setb,0.25,24,96,true
6,0.4375,a,zero,setb,0.13541666666666666,13,96,false
7,0.5,a,zero,setb,0.3854166666666667,37,96,true
8,0.5625,a,zero,setb,0.375,36,96,true
9,0.625,a,zero,setb,0.6041666666666666,58,96,true
10,0.6875,a,zero,setb,0.19791666666666666,19,96,false
11,0.75,a,zero,setb,0.19791666666666666,19,96,false
12,0.8125,a,zero,setb,0.22916666666666666,22,96,true
13,0.875,a,zero,setb,0.15625,15,96,false
14,0.9375,a,zero,setb,0.5416666666666666,52,96,true
15,1.0,a,zero,setb,0.3125,30,96,true
0,0.0625,a,random,seta,0.2,16,80,true
1,0.125,a,random,seta,0.0875,7,80,false
2,0.1875,a,random,seta,0.025,2,80,false
3,0.25,a,random,seta,0.025,2,80,false
4,0.3125,a,random,seta,0.075,6,80,false
5,0.375,a,random,seta,0.1375,11,80,false
6,0.4375,a,random,seta,0.1,8,80,false
7,0.5,a,random,seta,0.2875,23,80,true
8,0.5625,a,random,seta,0.2875,23,80,true
9,0.625,a,random,seta,0.5625,45,80,true
10,0.6875,a,random,seta,0.175,14,80,false
11,0.75,a,random,seta,0.1,8,80,false
12,0.8125,a,random,seta,0.0625,5,80,false
13,0.875,a,random,seta,0.1375,11,80,false
14,0.9375,a,random,seta,0.225,18,80,true
15,1.0,a,random,seta,0.2,16,80,true
0,0.0625,a,random,setb,0.3958333333333333,38,96,true
1,0.125,a,random,setb,0.19791666666666666,19,96,false
2,0.1875,a,random,setb,0.11458333333333333,11,96,false
3,0.25,a,random,setb,0.08333333333333333,8,96,false
4,0.3125,a,random,setb,0.1875,18,96,false
5,0.375,a,random,setb,0.22916666666666666,22,96,true
6,0.4375,a,random,setb,0.22916666666666666,22,96,true
7,0.5,a,random,setb,0.4479166666666667,43,96,true
8,0.5625,a,random,setb,0.5208333333333334,50,96,true
9,0.625,a,random,setb,0.6666666666666666,64,96,true
10,0.6875,a,random,setb,0.3541666666666667,34,96,true
11,0.75,a,random,setb,0.28125,27,96,true
12,0.8125,a,random,setb,0.2708333333333333,26,96,true
13,0.875,a,random,setb,0.19791666666666666,19,96,false
14,0.9375,a,random,setb,0.5208333333333334,50,96,true
15,1.0,a,random,setb,0.4583333333333333,44,96,true
0,0.0625,m,zero,seta,0.025,2,80,false
1,0.125,m,zero,seta,0.075,6,80,false
2,0.1875,m,zero,seta,0.0375,3,80,false
3,0.25,m,zero,seta,0.075,6,80,false
4,0.3125,m,zero,seta,0.05,4,80,false
5,0.375,m,zero,seta,0.0375,3,80,false
6,0.4375,m,zero,seta,0.075,6,80,false
7,0.5,m,zero,seta,0.1375,11,80,false
8,0.5625,m,zero,seta,0.125,10,80,false
9,0.625,m,zero,seta,0.0625,5,80,false
10,0.6875,m,zero,seta,0.325,26,80,true
11,0.75,m,zero,seta,0.075,6,80,false
12,0.8125,m,zero,seta,0.1625,13,80,false
13,0.875,m,zero,seta,0.0875,7,80,false
