layer,norm_depth,act_type,knockout_type,stimulus_set,accuracy_drop,n_changed,n_total,is_critical
0,0.0625,a,zero,seta,0.1,8,80,false
1,0.125,a,zero,seta,0.1,8,80,false
2,0.1875,a,zero,seta,0.0375,3,80,false
3,0.25,a,zero,seta,0.0375,3,80,false
4,0.3125,a,zero,seta,0.05,4,80,false
5,0.375,a,zero,seta,0.1125,9,80,false
6,0.4375,a,zero,seta,0.0875,7,80,false
7,0.5,a,zero,seta,0.125,10,80,false
8,0.5625,a,zero,seta,0.1375,11,80,false
9,0.625,a,zero,seta,0.525,42,80,true
10,0.6875,a,zero,seta,0.1375,11,80,false
11,0.75,a,zero,seta,0.1,8,80,false
12,0.8125,a,zero,seta,0.1,8,80,false
13,0.875,a,zero,seta,0.1,8,80,false
14,0.9375,a,zero,seta,0.125,10,80,false
15,1.0,a,zero,seta,0.0625,5,80,false
0,0.0625,a,zero,setb,0.25,24,96,true
1,0.125,a,zero,setb,0.15625,15,96,false
2,0.1875,a,zero,setb,0.09375,9,96,false
3,0.25,a,zero,setb,0.1875,18,96,false
4,0.3125,a,zero,setb,0.16666666666666666,16,96,false
5,0.375,a,zero,setb,0.3229166666666667,31,96,true
6,0.4375,a,zero,setb,0.2604166666666667,25,96,true
7,0.5,a,zero,setb,0.3541666666666667,34,96,true
8,0.5625,a,zero,setb,0.4583333333333333,44,96,true
9,0.625,a,zero,setb,0.9166666666666666,88,96,true
10,0.6875,a,zero,setb,0.3333333333333333,32,96,true
11,0.75,a,zero,setb,0.4270833333333333,41,96,true
12,0.8125,a,zero,setb,0.22916666666666666,22,96,true
13,0.875,a,zero,setb,0.3125,30,96,true
14,0.9375,a,zero,setb,0.3229166666666667,31,96,true
15,1.0,a,zero,setb,0.3333333333333333,32,96,true
0,0.0625,a,random,seta,0.2375,19,80,true
1,0.125,a,random,seta,0.15,12,80,false
2,0.1875,a,random,seta,0.075,6,80,false
3,0.25,a,random,seta,0.0375,3,80,false
4,0.3125,a,random,seta,0.0875,7,80,false
5,0.375,a,random,seta,0.1125,9,80,false
6,0.4375,a,random,seta,0.175,14,80,false
7,0.5,a,random,seta,0.3,24,80,true
8,0.5625,a,random,seta,0.3,24,80,true
9,0.625,a,random,seta,0.7375,59,80,true
10,0.6875,a,random,seta,0.2,16,80,true
11,0.75,a,random,seta,0.1375,11,80,false
12,0.8125,a,random,seta,0.0875,7,80,false
13,0.875,a,random,seta,0.1625,13,80,false
14,0.9375,a,random,seta,0.1375,11,80,false
15,1.0,a,random,seta,0.1375,11,80,false
0,0.0625,a,random,setb,0.5833333333333334,56,96,true
1,0.125,a,random,setb,0.34375,33,96,true
2,0.1875,a,random,setb,0.22916666666666666,22,96,true
3,0.25,a,random,setb,0.22916666666666666,22,96,true
4,0.3125,a,random,setb,0.3020833333333333,29,96,true
5,0.375,a,random,setb,0.4791666666666667,46,96,true
6,0.4375,a,random,setb,0.3125,30,96,true
7,0.5,a,random,setb,0.59375,57,96,true
8,0.5625,a,random,setb,0.5729166666666666,55,96,true
9,0.625,a,random,setb,0.9583333333333334,92,96,true
10,0.6875,a,random,setb,0.4375,42,96,true
11,0.75,a,random,setb,0.4895833333333333,47,96,true
12,0.8125,a,random,setb,0.3020833333333333,29,96,true
13,0.875,a,random,setb,0.3958333333333333,38,96,true
14,0.9375,a,random,setb,0.3541666666666667,34,96,true
15,1.0,a,random,setb,0.5104166666666666,49,96,true
0,0.0625,m,zero,seta,0.0375,3,80,false
1,0.125,m,zero,seta,0.1,8,80,false
2,0.1875,m,zero,seta,0.05,4,80,false
3,0.25,m,zero,seta,0.125,10,80,false
4,0.3125,m,zero,seta,0.0625,5,80,false
5,0.375,m,zero,seta,0.1,8,80,false
6,0.4375,m,zero,seta,0.1375,11,80,false
7,0.5,m,zero,seta,0.35,28,80,true
8,0.5625,m,zero,seta,0.1875,15,80,false
9,0.625,m,zero,seta,0.1625,13,80,false
10,0.6875,m,zero,seta,0.25,20,80,true
11,0.75,m,zero,seta,0.1375,11,80,false
12,0.8125,m,zero,seta,0.15,12,80,false
13,0.875,m,zero,seta,0.2125,17,80,true
14,0.9375,m,zero,seta,0.2625,21,80,true
15,1.0,m,zero,seta,0.075,6,80,false
0,0.0625,m,zero,setb,0.16666666666666666,16,96,false
1,0.125,m,zero,setb,0.28125,27,96,true
2,0.1875,m,zero,setb,0.14583333333333334,14,96,false
3,0.25,m,zero,setb,0.3229166666666667,31,96,true
4,0.3125,m,zero,setb,0.3020833333333333,29,96,true
5,0.375,m,zero,setb,0.3125,30,96,true
6,0.4375,m,zero,setb,0.375,36,96,true
7,0.5,m,zero,setb,0.3958333333333333,38,96,true
8,0.5625,m,zero,setb,0.5625,54,96,true
9,0.625,m,zero,setb,0.5625,54,96,true
10,0.6875,m,zero,setb,0.625,60,96,true
11,0.75,m,zero,setb,0.5625,54,96,true
12,0.8125,m,zero,setb,0.3333333333333333,32,96,true
13,0.875,m,zero,setb,0.5208333333333334,50,96,true
14,0.9375,m,zero,setb,0.4895833333333333,47,96,true
15,1.0,m,zero,setb,0.5833333333333334,56,96,true
0,0.0625,m,random,seta,0.05,4,80,false
1,0.125,m,random,seta,0.1625,13,80,false
2,0.1875,m,random,seta,0.0875,7,80,false
3,0.25,m,random,seta,0.2,16,80,true
4,0.3125,m,random,seta,0.175,14,80,false
5,0.375,m,random,seta,0.1,8,80,false
6,0.4375,m,random,seta,0.2,16,80,true
7,0.5,m,random,seta,0.2875,23,80,true
8,0.5625,m,random,seta,0.2625,21,80,true
9,0.625,m,random,seta,0.2625,21,80,true
10,0.6875,m,random,seta,0.375,30,80,true
11,0.75,m,random,seta,0.1875,15,80,false
12,0.8125,m,random,seta,0.225,18,80,true
13,0.875,m,random,seta,0.2,16,80,true
14,0.9375,m,random,seta,0.3,24,80,true
15,1.0,m,random,seta,0.375,30,80,true
0,0.0625,m,random,setb,0.22916666666666666,22,96,true
1,0.125,m,random,setb,0.4166666666666667,40,96,true
2,0.1875,m,random,setb,0.25,24,96,true
3,0.25,m,random,setb,0.34375,33,96,true
4,0.3125,m,random,setb,0.3020833333333333,29,96,true
5,0.375,m,random,setb,0.4166666666666667,40,96,true
6,0.4375,m,random,setb,0.46875,45,96,true
7,0.5,m,random,setb,0.5833333333333334,56,96,true
8,0.5625,m,random,setb,0.8125,78,96,true
9,0.625,m,random,setb,0.65625,63,96,true
10,0.6875,m,random,setb,0.7604166666666666,73,96,true
11,0.75,m,random,setb,0.7708333333333334,74,96,true
12,0.8125,m,random,setb,0.5729166666666666,55,96,true
13,0.875,m,random,setb,0.59375,57,96,true
14,0.9375,m,random,setb,0.625,60,96,true
15,1.0,m,random,setb,0.8333333333333334,80,96,true
