layer,norm_depth,zs_binary_auroc,fs_binary_auroc,delta_binary,zs_8class_auroc,fs_8class_auroc,delta_8class
0,0.0625,0.9789750692520777,0.9784210526315789,0.0005540166204988095,0.8357128267973856,0.8460069444444445,-0.010294117647058898
1,0.125,0.9896952908587258,0.9870637119113574,0.002631578947368318,0.9116013071895426,0.9012663398692811,0.010334967320261512
2,0.1875,0.9930470914127424,0.9967590027700831,-0.0037119113573407247,0.8954963235294118,0.909313725490196,-0.013817401960784181
3,0.25,0.9989473684210527,0.9983933518005541,0.0005540166204985875,0.9116625816993466,0.9103962418300654,0.0012663398692811523
4,0.3125,1.0,1.0,0.0,0.921997549019608,0.907843137254902,0.014154411764705999
5,0.375,1.0,1.0,0.0,0.9172589869281046,0.9105698529411764,0.006689133986928164
6,0.4375,1.0,1.0,0.0,0.9121323529411764,0.8935355392156863,0.018596813725490158
7,0.5,1.0,1.0,0.0,0.8922794117647059,0.9031862745098038,-0.01090686274509789
8,0.5625,1.0,1.0,0.0,0.902267156862745,0.9233864379084966,-0.02111928104575167
9,0.625,1.0,1.0,0.0,0.9376940359477125,0.9334558823529413,0.004238153594771199
10,0.6875,1.0,1.0,0.0,0.9202920751633987,0.9314644607843137,-0.011172385620914937
11,0.75,1.0,1.0,0.0,0.895230800653595,0.9305044934640524,-0.03527369281045745
12,0.8125,1.0,1.0,0.0,0.9020016339869281,0.9217422385620914,-0.019740604575163245
13,0.875,1.0,1.0,0.0,0.8971915849673202,0.9153288398692808,-0.01813725490196061
14,0.9375,1.0,1.0,0.0,0.8913398692810457,0.9061478758169933,-0.014808006535947604
15,1.0,1.0,1.0,0.0,0.8848243464052288,0.9088643790849673,-0.024040032679738532
